PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,q,delta
492.4000000000003,1.5266704459157379,0.6631944444444444,203.10000000000105,18.799999999999866,79.44000000000005,288,71,53,25,65,2023,MECH_RATIO,0.5,-361.5500000000011
551.6200000000015,1.5887589121803378,0.6770833333333334,214.10000000000105,19.54899999999987,75.92000000000007,288,71,45,20,57,2023,MECH_RATIO,0.7,-302.3299999999999
681.1900000000019,1.7054650524549786,0.6840277777777778,239.79000000000087,19.569999999999933,139.51,288,71,38,14,47,2023,MECH_RATIO,0.8,-172.75999999999954
663.7400000000011,1.690978367236463,0.6875,228.62000000000103,19.569999999999933,139.51,288,71,30,10,35,2023,MECH_RATIO,0.9,-190.21000000000026
789.7300000000012,1.8536237366913495,0.7013888888888888,213.3000000000011,21.92149999999999,139.51,288,71,18,3,20,2023,MECH_RATIO,0.95,-64.22000000000025
611.3000000000011,1.697942593565184,0.6666666666666666,157.22000000000094,19.394999999999843,79.44000000000005,288,71,55,23,67,2023,MECH_RATIO_DELTA,0.5,-242.65000000000032
577.150000000001,1.6124387189880958,0.6666666666666666,203.99000000000092,19.394999999999843,79.44000000000005,288,71,50,21,63,2023,MECH_RATIO_DELTA,0.7,-276.8000000000004
606.1700000000017,1.6541661720427812,0.6840277777777778,217.38000000000102,20.829499999999932,75.92000000000007,288,71,45,18,57,2023,MECH_RATIO_DELTA,0.8,-247.77999999999975
693.1200000000015,1.7182292961949786,0.6875,239.79000000000087,20.829499999999932,139.51,288,71,35,11,42,2023,MECH_RATIO_DELTA,0.9,-160.82999999999993
784.8300000000013,1.861418740190324,0.7048611111111112,225.71000000000095,21.419499999999875,139.51,288,71,21,4,25,2023,MECH_RATIO_DELTA,0.95,-69.12000000000012
672.0500000000027,1.7401594748783058,0.6736111111111112,158.2400000000007,19.93250000000004,71.1400000000001,288,71,45,21,53,2023,MECH_PRICE_RETRACE,0.5,-181.89999999999873
616.9300000000021,1.6444883205883614,0.6770833333333334,158.44000000000074,19.93250000000004,71.1400000000001,288,71,26,12,29,2023,MECH_PRICE_RETRACE,0.7,-237.0199999999993
615.2000000000019,1.6421108664113,0.6770833333333334,164.85000000000082,19.93250000000004,71.1400000000001,288,71,22,11,25,2023,MECH_PRICE_RETRACE,0.8,-238.74999999999955
757.4400000000016,1.798069729951851,0.6875,186.86000000000104,21.233999999999952,135.6500000000001,288,71,14,4,16,2023,MECH_PRICE_RETRACE,0.9,-96.50999999999976
843.4800000000016,1.9335797850557312,0.6979166666666666,161.8000000000004,22.10300000000005,135.6500000000001,288,71,5,1,6,2023,MECH_PRICE_RETRACE,0.95,-10.4699999999998
649.5200000000016,1.752464694910741,0.6770833333333334,156.0800000000006,19.93250000000004,71.1400000000001,288,71,48,20,57,2023,MECH_D1,0.5,-204.42999999999984
635.7900000000013,1.7002169627418828,0.6770833333333334,183.2600000000009,21.233999999999952,71.1400000000001,288,71,40,15,46,2023,MECH_D1,0.7,-218.16000000000008
616.0200000000011,1.6553613413194062,0.6770833333333334,214.81000000000085,21.92149999999999,71.1400000000001,288,71,34,11,38,2023,MECH_D1,0.8,-237.9300000000003
823.7300000000014,1.9677165446834537,0.6944444444444444,161.8000000000004,22.342500000000058,71.1400000000001,288,71,16,4,20,2023,MECH_D1,0.9,-30.220000000000027
763.3200000000013,1.8724155666038085,0.6909722222222222,161.8000000000004,21.92149999999999,71.1400000000001,288,71,7,3,8,2023,MECH_D1,0.95,-90.63000000000011
577.7500000000005,1.6456389338995376,0.65625,139.14000000000033,19.225999999999853,79.44000000000005,288,71,55,25,68,2023,SMALL__LOGIT,0.5,-276.20000000000095
588.950000000001,1.6225226463158136,0.6666666666666666,196.83000000000084,19.569999999999933,79.44000000000005,288,71,38,18,53,2023,SMALL__LOGIT,0.7,-265.00000000000045
538.1400000000015,1.5464126880978033,0.6631944444444444,213.36000000000058,19.569999999999933,79.44000000000005,288,71,33,16,46,2023,SMALL__LOGIT,0.8,-315.80999999999995
683.7800000000013,1.7350497178177937,0.6875,167.59000000000037,21.076499999999847,75.92000000000007,288,71,26,10,35,2023,SMALL__LOGIT,0.9,-170.17000000000007
708.5900000000013,1.792172075707948,0.6944444444444444,167.59000000000037,21.076499999999847,71.1400000000001,288,71,21,8,27,2023,SMALL__LOGIT,0.95,-145.36000000000013
481.790000000002,1.5678070971467668,0.6458333333333334,110.58000000000038,16.79149999999999,79.75,288,71,61,38,80,2023,SMALL__TREE2,0.5,-372.1599999999994
719.180000000001,1.8605719755893289,0.6736111111111112,122.12000000000057,21.076499999999847,79.44000000000005,288,71,47,19,59,2023,SMALL__TREE2,0.7,-134.77000000000044
697.5600000000011,1.8106355533346528,0.6909722222222222,148.60000000000036,21.076499999999847,75.92000000000007,288,71,36,15,46,2023,SMALL__TREE2,0.8,-156.39000000000033
697.5600000000011,1.8106355533346528,0.6909722222222222,148.60000000000036,21.076499999999847,75.92000000000007,288,71,36,15,46,2023,SMALL__TREE2,0.9,-156.39000000000033
697.5600000000011,1.8106355533346528,0.6909722222222222,148.60000000000036,21.076499999999847,75.92000000000007,288,71,36,15,46,2023,SMALL__TREE2,0.95,-156.39000000000033
552.3300000000015,1.5975851212308119,0.6701388888888888,147.08000000000038,19.3805000000001,75.92000000000007,288,71,37,20,45,2023,SMALL__HGB,0.5,-301.6199999999999
785.3400000000013,1.8605899886034913,0.6840277777777778,160.27000000000044,21.92149999999999,135.6500000000001,288,71,24,11,26,2023,SMALL__HGB,0.7,-68.61000000000013
808.9800000000018,1.9056286942504064,0.6875,164.50000000000045,21.92149999999999,139.51,288,71,15,8,17,2023,SMALL__HGB,0.8,-44.96999999999957
838.1300000000017,1.928480430712651,0.6909722222222222,177.94000000000005,22.10300000000005,139.51,288,71,6,4,5,2023,SMALL__HGB,0.9,-15.819999999999709
831.5400000000018,1.9145037832130951,0.6909722222222222,177.94000000000005,22.10300000000005,139.51,288,71,5,3,4,2023,SMALL__HGB,0.95,-22.409999999999627
502.5000000000018,1.5504134947149382,0.6527777777777778,162.15000000000032,19.225999999999853,79.44000000000005,288,71,50,27,64,2023,GEOM_DELTA__LOGIT,0.5,-351.4499999999996
539.950000000001,1.576420099708562,0.6736111111111112,191.95000000000095,19.341499999999993,75.92000000000007,288,71,41,19,52,2023,GEOM_DELTA__LOGIT,0.7,-314.00000000000045
660.3300000000011,1.7232213265574363,0.6875,158.4600000000005,19.569999999999933,71.1400000000001,288,71,33,15,41,2023,GEOM_DELTA__LOGIT,0.8,-193.62000000000035
