PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,selected_q,val_delta,base_pnl,oracle_pnl,delta,oracle_recovery
1211.3399999999986,1.882457073337751,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,241,84,15,2,17,2024,MECH_RATIO,0.95,-64.22000000000025,1287.8899999999983,2001.3899999999983,-76.54999999999973,-0.10728801681849996
1217.0999999999988,1.8895304220719882,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,17,2,19,2024,MECH_RATIO_DELTA,0.95,-69.12000000000012,1287.8899999999983,2001.3899999999983,-70.78999999999951,-0.09921513665031466
1203.7699999999988,1.8586703759183951,0.6224066390041494,159.83000000000084,42.92000000000007,133.47000000000003,241,84,8,2,8,2024,MECH_PRICE_RETRACE,0.95,-10.4699999999998,1287.8899999999983,2001.3899999999983,-84.11999999999944,-0.11789768745620104
839.6699999999985,1.616117812802675,0.6141078838174274,139.79999999999927,36.970000000000255,133.47000000000003,241,84,22,9,29,2024,MECH_D1,0.9,-30.220000000000027,1287.8899999999983,2001.3899999999983,-448.2199999999998,-0.6281990189208126
1321.0199999999984,1.9611542407287472,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,6,0,4,2024,SMALL__LOGIT,0.95,-145.36000000000013,1287.8899999999983,2001.3899999999983,33.13000000000011,0.046433076384022574
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,SMALL__TREE2,0.7,-134.77000000000044,1287.8899999999983,2001.3899999999983,-161.6099999999999,-0.22650315346881555
1099.5599999999984,1.7894034029722143,0.6141078838174274,152.7700000000009,42.92000000000007,133.47000000000003,241,84,7,3,8,2024,SMALL__HGB,0.9,-15.819999999999709,1287.8899999999983,2001.3899999999983,-188.32999999999993,-0.2639523475823405
1281.0999999999983,1.9226104741602792,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,1,1,1,2024,GEOM_DELTA__LOGIT,0.95,-138.37000000000012,1287.8899999999983,2001.3899999999983,-6.789999999999964,-0.009516468114926369
1293.8599999999985,1.9404419246983557,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,1,1,1,2024,GEOM_DELTA__HGB,0.95,29.350000000000136,1287.8899999999983,2001.3899999999983,5.970000000000255,0.008367203924317106
1287.8899999999983,1.9320581572910087,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,0,0,0,2024,FULL__LOGIT,0.95,-126.75999999999954,1287.8899999999983,2001.3899999999983,0.0,0.0
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,FULL__TREE2,0.7,-218.33000000000038,1287.8899999999983,2001.3899999999983,-161.6099999999999,-0.22650315346881555
1301.289999999998,1.9391120476884636,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,9,4,9,2024,FULL__HGB,0.7,-0.8299999999999272,1287.8899999999983,2001.3899999999983,13.399999999999636,0.018780658724596548
