method,PnL,base,oracle,delta,min_year_delta,armed,early,DDmax,pooled_recovery
SMALL__LOGIT,7754.750000000002,7428.370000000001,11625.619999999995,326.38000000000056,-140.16999999999962,20,3,440.34999999999854,0.07776043838227434
GEOM_DELTA__LOGIT,7631.090000000004,7428.370000000001,11625.619999999995,202.72000000000207,-431.9199999999978,54,23,440.34999999999854,0.04829829054738277
MECH_PRICE_RETRACE,7524.960000000004,7428.370000000001,11625.619999999995,96.59000000000287,-88.47999999999865,42,14,431.3999999999987,0.023012686878313895
FULL__HGB,7513.759999999998,7428.370000000001,11625.619999999995,85.3899999999976,11.369999999998981,25,9,440.34999999999854,0.02034427303591583
SMALL__HGB,7439.51,7428.370000000001,11625.619999999995,11.139999999998508,-188.32999999999993,35,11,440.34999999999854,0.0026541187682407584
FULL__LOGIT,7231.640000000006,7428.370000000001,11625.619999999995,-196.72999999999547,-517.3199999999956,41,19,440.34999999999854,-0.04687116564417076
MECH_RATIO,7143.5300000000025,7428.370000000001,11625.619999999995,-284.8399999999988,-128.73999999999887,45,9,440.34999999999854,-0.06786348204181289
GEOM_DELTA__HGB,6815.790000000004,7428.370000000001,11625.619999999995,-612.5799999999977,-664.259999999998,43,19,440.34999999999854,-0.1459479421049493
MECH_RATIO_DELTA,6774.110000000001,7428.370000000001,11625.619999999995,-654.2600000000007,-421.17000000000144,47,10,529.989999999998,-0.15587825361844102
FULL__TREE2,6724.32,7428.370000000001,11625.619999999995,-704.0500000000009,-412.08000000000266,91,30,526.1399999999976,-0.16774078265531045
SMALL__TREE2,6657.729999999999,7428.370000000001,11625.619999999995,-770.6400000000024,-496.4899999999989,120,36,474.4499999999989,-0.18360593245577542
MECH_D1,6593.81,7428.370000000001,11625.619999999995,-834.5600000000004,-515.880000000001,58,26,424.3099999999986,-0.19883495145631103
