family,model,weight,mean_auc,min_auc,mean_ap,mean_lastmax,mean_routepct,mean_pairauc,years
MECH_SINGLE,h4liq_same_d1_S,ROW,0.6949271899642966,0.6537569573283859,0.42182100331203043,0.6357582834128676,0.7206621911415955,0.6672813870873946,3
H4_GEOM,LOGIT,ROW,0.6682785761898512,0.6263141620284477,0.4193464856190266,0.6107557450841034,0.7270734020403479,0.6508040353472143,3
MECH_SINGLE,h4liq_distance_ratio,ROW,0.6664737423208166,0.6450989486703772,0.4371962257442285,0.5945104409923173,0.7059393662359663,0.6133724605251514,3
H4_GEOM_DELTA,LOGIT,ROW,0.6585637772339034,0.6246134817563389,0.403228978390996,0.6334314820455546,0.7432571316757267,0.7006390563962529,3
H4_GEOM,TREE3,ROW,0.6530976324005356,0.6298442249240122,0.3718994924575611,0.8118590719870037,0.7234649265128436,0.6571693151793276,3
H4_GEOM_DELTA,TREE3,ROW,0.6479984647370886,0.6298442249240122,0.3658173065671684,0.7398720682302772,0.706720318221766,0.6352590359161073,3
H4_GEOM_DELTA,TREE2,ROW,0.6468000965698981,0.6203617810760668,0.36185153741777487,0.818348732527837,0.7071704624108048,0.6401372928281565,3
H4_GEOM,TREE2,ROW,0.646357879882228,0.6304885590599876,0.3624044515402522,0.890843402037432,0.7205380678579286,0.6486043160010619,3
H4_H1_LIQ,TREE3,ROW,0.6456247692211791,0.6070478723404256,0.36885141748445727,0.7541036315023523,0.7032887797689055,0.6275047091692899,3
H4_H1_LIQ,LOGIT,ROW,0.6446663519185208,0.6148732220160793,0.4021816069550215,0.6195129793210817,0.7354974421674796,0.6947541750420348,3
H4_H1_LIQ,TREE2,ROW,0.640040413328452,0.6193009118541033,0.36018033896481105,0.7996412495346398,0.7017377337637903,0.6264364546592331,3
COMBINED_NO_COUNT,TREE2,ROW,0.6345083777951456,0.6068336425479283,0.357435779422088,0.7723034487426812,0.696871964776664,0.6148610637033666,3
COMBINED_WITH_COUNT,TREE2,ROW,0.6345083777951456,0.6068336425479283,0.357435779422088,0.7723034487426812,0.696871964776664,0.6148610637033666,3
COMBINED_NO_COUNT,TREE3,ROW,0.6228384954162579,0.6035095856524428,0.3543189198281216,0.735523064947372,0.7078489438264878,0.6302022098329984,3
COMBINED_WITH_COUNT,TREE3,ROW,0.6209574399637738,0.5978664192949907,0.3535601077454114,0.7423257860358073,0.7073954290872587,0.6276769573077458,3
COMBINED_NO_COUNT,LOGIT,ROW,0.6072470466000425,0.5858029381965553,0.3674164146424544,0.5957034555115578,0.7093628652652075,0.6529405443673278,3
COMBINED_WITH_COUNT,LOGIT,ROW,0.607238201149567,0.5858662613981763,0.3638616624909212,0.5917352015433038,0.7080401139424563,0.6511674947219378,3
MECH_SINGLE,h4liq_nearest_margin_S,ROW,0.6040807868804151,0.5679457953394124,0.41194804802272394,0.5492858835076319,0.6649500713773625,0.5271282916777285,3
MECH_SINGLE,dfirst_h4liq_same_d1_S,ROW,0.5956422270063756,0.5717768490374874,0.3632980234578491,0.5900345212711949,0.6979969298765288,0.6153588450209226,3
MECH_SINGLE,h4liq_same_age1_h,ROW,0.5545684461944559,0.5403463963604438,0.32864172744535175,0.8972738349070971,0.8195169751527929,0.8154590333876942,3
MECH_SINGLE,dprev_h4liq_same_d1_S,ROW,0.5455522983561429,0.5016362040067044,0.34778709472645697,0.6198937286357329,0.6742828016552619,0.5386799787613304,3
MECH_SINGLE,h4liq_same_active_n,ROW,0.5270582011156416,0.49730876393110435,0.3218954310865763,0.9506210444376756,0.8263561368941769,0.8804487301045499,3
MECH_SINGLE,h4liq_opp_d1_S,ROW,0.5227209059668211,0.5123313911724798,0.3344727056180026,0.6924476258164957,0.7458671452273556,0.6625485139252348,3
JOURNEY_NO_COUNT,TREE3,ROW,0.5137930851969722,0.4806449038231303,0.2946412938992591,0.8713236538396453,0.6629398173662148,0.5799373585668954,3
JOURNEY_NO_COUNT,TREE2,ROW,0.5019203751441009,0.460411844520712,0.2909495602888336,0.9246116356990557,0.6493063802987399,0.5325912441056371,3
HTF_COMPACT,TREE2,ROW,0.5005663893346824,0.49644403215831795,0.2817742186894039,0.819871729786442,0.6523939168234759,0.5212592129050201,3
MECH_SINGLE,current_liq_age_median_h,ROW,0.49649743109326455,0.4438103599648815,0.3059434569223142,0.6107557450841032,0.6607782251173749,0.53487313687564,3
HTF_COMPACT,LOGIT,ROW,0.4754988666800573,0.4240561896400351,0.2803793429725631,0.5787643415575184,0.6549125169189239,0.5197895728246166,3
HTF_COMPACT,TREE3,ROW,0.4618311349915987,0.44658317872603587,0.26878906784686163,0.6959843638948117,0.6275555465665837,0.4813197683973654,3
JOURNEY_NO_COUNT,LOGIT,ROW,0.4507022383228915,0.4204645223082449,0.29763607502144024,0.5045605306799337,0.6281453350348633,0.560969519980784,3
