year,rule,PnL,delta,PF,DD,flagged_children,armed_routes,early,flag_precision_all
2022,COUNT_NEW_MIN,310.75,62.33000000000061,1.3441001904593168,109.76999999999862,92,39,28,0.26601941747572816
2023,COUNT_NEW_MIN,444.1800000000012,-409.7700000000002,1.455578575970791,175.45000000000118,131,44,38,0.26601941747572816
2024,COUNT_NEW_MIN,1064.4599999999987,-223.4299999999996,1.9496560768674873,168.42999999999938,115,53,33,0.26601941747572816
2025,COUNT_NEW_MIN,2314.640000000005,-396.569999999997,2.321556424676701,250.42000000000007,104,42,32,0.26601941747572816
2026,COUNT_NEW_MIN,2711.7099999999987,-717.5600000000022,1.963611941253185,440.2000000000007,73,30,22,0.26601941747572816
2022,D1_NEW_MAX,300.2500000000002,51.83000000000084,1.3434215191755599,138.66999999999848,46,32,19,0.3514644351464435
2023,D1_NEW_MAX,482.36000000000104,-371.5900000000004,1.514654574553216,169.4500000000005,54,36,28,0.3514644351464435
2024,D1_NEW_MAX,1129.329999999998,-158.56000000000017,1.9593764600942936,168.42999999999938,57,42,26,0.3514644351464435
2025,D1_NEW_MAX,2757.1400000000035,45.930000000001655,2.5869984401351536,250.42000000000007,49,34,25,0.3514644351464435
2026,D1_NEW_MAX,2951.8699999999985,-477.40000000000236,2.067877608311869,440.2000000000007,33,24,13,0.3514644351464435
2022,RATIO_NEW_MAX,339.7300000000007,91.31000000000131,1.3893887468910113,138.66999999999848,58,36,21,0.35294117647058826
2023,RATIO_NEW_MAX,493.9600000000012,-359.99000000000024,1.5196297075531264,169.4500000000005,63,38,28,0.35294117647058826
2024,RATIO_NEW_MAX,957.489999999998,-330.4000000000003,1.8162049271161853,168.42999999999938,62,47,31,0.35294117647058826
2025,RATIO_NEW_MAX,2407.740000000004,-303.469999999998,2.3323409788894156,277.59000000000015,51,32,26,0.35294117647058826
2026,RATIO_NEW_MAX,3627.4299999999967,198.15999999999576,2.478646344992886,440.2000000000007,38,26,12,0.35294117647058826
2022,COUNTMIN_AND_D1MAX,250.95000000000005,2.530000000000655,1.271711473705865,138.66999999999848,43,31,19,0.34763948497854075
2023,COUNTMIN_AND_D1MAX,482.36000000000104,-371.5900000000004,1.514654574553216,169.4500000000005,54,36,28,0.34763948497854075
2024,COUNTMIN_AND_D1MAX,1129.329999999998,-158.56000000000017,1.9593764600942936,168.42999999999938,57,42,26,0.34763948497854075
2025,COUNTMIN_AND_D1MAX,2757.1400000000035,45.930000000001655,2.5869984401351536,250.42000000000007,47,33,24,0.34763948497854075
2026,COUNTMIN_AND_D1MAX,2933.7099999999987,-495.5600000000022,2.0578332107365904,440.2000000000007,32,23,13,0.34763948497854075
2022,COUNTMIN_AND_RATIOMAX,287.63000000000056,39.21000000000117,1.3092529674866684,138.66999999999848,44,31,18,0.35071090047393366
2023,COUNTMIN_AND_RATIOMAX,476.4600000000012,-377.49000000000024,1.501220281927206,169.4500000000005,47,33,26,0.35071090047393366
2024,COUNTMIN_AND_RATIOMAX,1058.7199999999978,-229.17000000000053,1.8708440949545109,168.42999999999938,51,40,25,0.35071090047393366
2025,COUNTMIN_AND_RATIOMAX,2503.1100000000038,-208.0999999999981,2.403277346728263,268.5,40,30,24,0.35071090047393366
2026,COUNTMIN_AND_RATIOMAX,3233.1099999999983,-196.16000000000258,2.1753301754755876,440.2000000000007,29,20,10,0.35071090047393366
2022,D1MAX_AND_RATIOMAX,328.2100000000005,79.7900000000011,1.3708000994193015,138.66999999999848,42,31,17,0.3645320197044335
2023,D1MAX_AND_RATIOMAX,476.4600000000012,-377.49000000000024,1.501220281927206,169.4500000000005,46,33,26,0.3645320197044335
2024,D1MAX_AND_RATIOMAX,1030.979999999998,-256.9100000000003,1.8310132755132456,168.42999999999938,49,39,25,0.3645320197044335
2025,D1MAX_AND_RATIOMAX,2645.000000000003,-66.20999999999867,2.4828228012737172,268.5,40,30,24,0.3645320197044335
2026,D1MAX_AND_RATIOMAX,3251.269999999998,-178.00000000000273,2.1858461628242023,440.2000000000007,26,20,9,0.3645320197044335
2022,THREE_EXTREMA,278.9100000000003,30.49000000000092,1.2984782329523568,138.66999999999848,39,30,17,0.3604060913705584
2023,THREE_EXTREMA,476.4600000000012,-377.49000000000024,1.501220281927206,169.4500000000005,46,33,26,0.3604060913705584
2024,THREE_EXTREMA,1030.979999999998,-256.9100000000003,1.8310132755132456,168.42999999999938,49,39,25,0.3604060913705584
2025,THREE_EXTREMA,2645.000000000003,-66.20999999999867,2.4828228012737172,268.5,38,29,23,0.3604060913705584
2026,THREE_EXTREMA,3233.1099999999983,-196.16000000000258,2.1753301754755876,440.2000000000007,25,19,9,0.3604060913705584
2022,OPP_CLOSER_AND_D1MAX,275.28999999999996,26.870000000000573,1.2729562242823855,186.42999999999824,4,4,2,0.29411764705882354
2023,OPP_CLOSER_AND_D1MAX,863.8100000000018,9.860000000000355,1.9744929040409773,161.8000000000004,3,3,2,0.29411764705882354
2024,OPP_CLOSER_AND_D1MAX,1285.4799999999982,-2.410000000000082,1.9224564777473179,152.7700000000009,3,3,2,0.29411764705882354
2025,OPP_CLOSER_AND_D1MAX,2694.6800000000026,-16.52999999999929,2.360832655782082,319.3000000000002,4,4,4,0.29411764705882354
2026,OPP_CLOSER_AND_D1MAX,3318.4200000000005,-110.85000000000036,2.09825089771806,440.34999999999854,3,2,1,0.29411764705882354
