feature,auc_all,within_pair,last_max,sign
anchor_age_h,0.5104651162790697,1.0,1.0,1
accepted_rank_raw,0.5137479121161506,1.0,1.0,1
accepted_age_h,0.5104651162790697,1.0,1.0,1
route_same_arrival_count,0.5159915842220224,1.0,1.0,1
route_arrival_count,0.5159915842220224,1.0,1.0,1
route_age_h,0.5117355132982141,1.0,1.0,1
accepted_progress_S,0.5115347552357703,0.9922651933701657,0.976,1
route_progress_S,0.5130653347038416,0.9922651933701657,0.976,1
dfirst_route_progress_S,0.5115154824617756,0.9922651933701657,0.976,1
dfirst_accepted_progress_S,0.5115347552357703,0.9922651933701657,0.976,1
closed_children_count,0.5103029037646152,0.96353591160221,1.0,1
closed_cont_count,0.5139213670821021,0.9624309392265193,1.0,1
anchor_unreal_S,0.5014840035975845,0.950828729281768,0.964,1
anchor_unreal_R,0.5004882436078633,0.9464088397790055,0.956,1
h1liq_same_active_n,0.504435950147758,0.9187845303867404,0.956,-1
h4liq_same_active_n,0.5103366311191058,0.8917127071823204,0.944,-1
dfirst_h4liq_same_active_n,0.5194253501220609,0.8917127071823204,0.944,-1
closed_cont_cum_pnl_S,0.5042400102788127,0.8729281767955801,0.864,1
h4liq_same_age2_h,0.5276821277142489,0.8685082872928177,0.9,1
h4liq_same_age1_h,0.5440543492226648,0.8668508287292818,0.896,1
anchor_mfe_S,0.5178562251060003,0.8640883977900552,0.52,1
h1liq_same_age1_h,0.5373120904535527,0.86353591160221,0.896,1
dfirst_anchor_mfe_S,0.5113837851728126,0.8552486187845304,0.488,1
dfirst_h4liq_opp_active_n,0.5005573043813439,0.8397790055248618,1.0,1
h4liq_same_age3_h,0.5083531414621612,0.8397790055248618,0.876,1
h4liq_opp_d3_S,0.5087369908775536,0.7176795580110498,0.616,1
h4liq_opp_d2_S,0.5038352820249261,0.6928176795580111,0.592,1
h4_body_mean_12b,0.5232124502120006,0.669060773480663,0.608,1
h1_net_48h,0.5130797892843376,0.6629834254143646,0.596,1
h4_net_12b,0.5343135680328922,0.6580110497237569,0.596,1
h4liq_same_d1_S,0.68403571887447,0.6513812154696133,0.4,1
h1liq_opp_d3_S,0.5166709495053321,0.6486187845303868,0.464,1
dfirst_h4liq_same_d1_S,0.5910991905434922,0.6480662983425415,0.408,1
h4liq_distance_ratio,0.6688166516767313,0.643646408839779,0.44,1
h4liq_log_distance_ratio,0.6688166516767313,0.643646408839779,0.44,1
dfirst_h4liq_opp_d1_S,0.5064081973532057,0.6419889502762431,0.54,1
h4liq_opp_d1_S,0.5113452396248234,0.6419889502762431,0.536,1
h1_range_48h,0.5141494282410382,0.6408839779005525,0.568,1
h4_range_12b,0.5196068354105101,0.6392265193370166,0.576,1
open_cont_after,0.5014936399845817,0.638121546961326,1.0,1
dfirst_h4liq_distance_ratio,0.5891365797250417,0.638121546961326,0.452,1
h1_eff_48h,0.5101631761531543,0.6353591160220995,0.564,1
h4_eff_12b,0.5376525761274573,0.6303867403314917,0.572,1
dfirst_h1liq_same_d1_S,0.5842862649363999,0.6215469613259669,0.42,1
open_children_after,0.50542849800848,0.6204419889502762,0.976,1
h1_path_l24,0.5091160220994475,0.6187845303867403,0.488,-1
h1liq_same_d1_S,0.6405563407426442,0.6160220994475138,0.408,1
h4_mean_range_12b,0.5206347166902223,0.6116022099447513,0.504,1
h1liq_opp_d2_S,0.5212128999100604,0.6099447513812155,0.436,1
h1liq_same_nearest,0.5812267120647565,0.6088397790055249,0.832,-1
h1_path_l22,0.5022806115893614,0.605524861878453,0.476,-1
h1liq_log_distance_ratio,0.628350250546062,0.6038674033149172,0.452,1
h1liq_distance_ratio,0.628350250546062,0.6038674033149172,0.452,1
h1_path_l23,0.5030997044841321,0.6033149171270719,0.468,-1
dfirst_h1liq_distance_ratio,0.5718135680328922,0.598342541436464,0.46,1
h4liq_opp_age1_h,0.5092043556469228,0.5955801104972376,0.468,1
h4_body_mean_6b,0.5150183091352949,0.5917127071823205,0.512,1
h1_mean_range_48h,0.5216433251959398,0.5911602209944752,0.456,1
h4liq_same_nearest,0.5832921110111782,0.5906077348066299,0.844,-1
h1_net_24h,0.5073654117949377,0.5900552486187846,0.496,1
h1liq_same_d2_S,0.6089746884234871,0.5883977900552486,0.372,1
h1_range_24h,0.5015530643710651,0.5883977900552486,0.46,1
closed_cont_win_rate,0.5162806758319414,0.580110497237569,0.852,-1
h1liq_opp_age3_h,0.5025472182962868,0.5790055248618785,0.412,1
h4liq_opp_age2_h,0.5027399460362328,0.5779005524861879,0.468,1
h4_mean_range_6b,0.5166677373763331,0.5773480662983426,0.448,1
dprev_h4liq_same_active_n,0.5058541051008609,0.5767955801104973,0.62,1
current_sl_atr180,0.5112585121418476,0.5756906077348066,0.392,1
h1liq_opp_d1_S,0.5112585121418476,0.5756906077348066,0.392,1
dfirst_h1liq_opp_d1_S,0.5073268662469486,0.5756906077348066,0.392,1
sl_atr180,0.5112585121418476,0.5756906077348066,0.392,1
h4_range_6b,0.5055280740074521,0.5751381215469613,0.472,1
h4liq_nearest_margin_S,0.6072529872799691,0.5729281767955801,0.388,-1
h1_closechg_l11,0.5442872285750996,0.5723756906077349,0.492,1
h1_range_l11,0.5253918797378903,0.5723756906077349,0.4,1
h4liq_same_d3_S,0.5892554284980084,0.5723756906077349,0.416,1
h4_mean_range_3b,0.5089843248104844,0.5707182320441989,0.468,1
h1_body_l11,0.5452781703713221,0.5701657458563536,0.488,1
h1_range_l18,0.543325195939869,0.569060773480663,0.408,1
dprev_h1liq_same_d1_S,0.5625401516124888,0.569060773480663,0.476,1
dprev_h4liq_same_d1_S,0.5577348066298342,0.5685082872928177,0.46,1
h4liq_same_d2_S,0.6096974174482848,0.5679558011049723,0.348,1
atr14_atr180,0.514653732493897,0.567403314917127,0.448,1
h4liq_opp_gap12_S,0.5086518694590775,0.5662983425414365,0.432,1
