year,q,auc,delta,events,early,changed,pf,dd
2023,0.8,0.616341391291491,-306.48,22,12,24,1.5593004135731745,217.94000000000096
2023,0.9,0.616341391291491,-131.02999999999997,13,4,13,1.7496489264271926,201.910000000001
2023,0.95,0.616341391291491,-131.23000000000047,11,4,11,1.7499949082466053,200.4700000000014
2023,0.975,0.616341391291491,-13.630000000000337,6,1,5,1.9364090869222017,173.13000000000056
2024,0.8,0.6649604052222301,-177.08000000000152,29,6,32,1.8452688049309403,144.60999999999922
2024,0.9,0.6649604052222301,-30.700000000000728,14,3,15,1.9239152801458024,144.60999999999922
2024,0.95,0.6649604052222301,-42.73999999999978,12,3,13,1.9104569285103192,144.60999999999922
2024,0.975,0.6649604052222301,19.41000000000031,8,0,9,1.9611439914715274,142.11000000000058
2025,0.8,0.6785642570281123,-8.389999999998508,27,8,36,2.3748512131848045,263.4199999999996
2025,0.9,0.6785642570281123,233.67000000000007,18,5,20,2.518245465700177,292.3399999999997
2025,0.95,0.6785642570281123,274.3100000000004,6,2,8,2.54982453954609,305.82000000000016
2025,0.975,0.6785642570281123,171.40999999999985,4,0,4,2.4907584580536417,319.3000000000002
2026,0.8,0.6654905913978495,-502.2500000000009,19,7,20,2.003166791190563,586.8499999999995
2026,0.9,0.6654905913978495,320.48,10,1,12,2.330415685050099,440.34999999999854
2026,0.95,0.6654905913978495,190.1100000000015,5,1,5,2.2480964992137737,440.34999999999854
2026,0.975,0.6654905913978495,161.01000000000113,3,0,3,2.219661171259009,440.34999999999854
