family,feature,year,auc,ap,sign,n
HA_CORE,ha_opp_body_strength_S,2024,0.5906756081900549,0.6779774931355788,1.0,345
HA_CORE,ha_opp_body_strength_S,2025,0.5813587684069612,0.6346273775793383,1.0,346
HA_CORE,ha_opp_body_strength_S,2026,0.5734206989247312,0.6615998283854592,1.0,221
HA_CORE,ha_opp_body_strength_S,AVG,0.5818183585072492,,,912
HA_CORE,ha_body_frac,2024,0.577905400585004,0.6911035781887276,1.0,345
HA_CORE,ha_body_frac,2025,0.5762717536813922,0.6238628898530127,1.0,346
HA_CORE,ha_body_frac,2026,0.5898857526881721,0.6776511696873218,1.0,221
HA_CORE,ha_body_frac,AVG,0.5813543023181894,,,912
HA_CORE,ha_opp_streak,2024,0.5428943425840052,0.6429284530688174,1.0,345
HA_CORE,ha_opp_streak,2025,0.4910809906291834,0.5076026556997695,1.0,346
HA_CORE,ha_opp_streak,2026,0.590809811827957,0.6748421694918252,1.0,221
HA_CORE,ha_opp_streak,AVG,0.5415950483470485,,,912
HA_CORE,ha_prior_primary_streak,2024,0.5588571020903189,0.6512864293438247,-1.0,345
HA_CORE,ha_prior_primary_streak,2025,0.5164658634538153,0.5254711733646876,-1.0,346
HA_CORE,ha_prior_primary_streak,2026,0.5481770833333334,0.6112933140603445,-1.0,221
HA_CORE,ha_prior_primary_streak,AVG,0.5411666829591559,,,912
HA_CORE,ha_primary_wick_frac,2024,0.5414853392309338,0.6401270260108243,-1.0,345
HA_CORE,ha_primary_wick_frac,2025,0.5631024096385542,0.5995663789559033,-1.0,346
HA_CORE,ha_primary_wick_frac,2026,0.552755376344086,0.6279642521073083,-1.0,221
HA_CORE,ha_primary_wick_frac,AVG,0.5524477084045246,,,912
HA_CORE,ha_opp_wick_frac,2024,0.5920667760576444,0.6942718511753934,-1.0,345
HA_CORE,ha_opp_wick_frac,2025,0.5961178045515395,0.6147433297482583,-1.0,346
HA_CORE,ha_opp_wick_frac,2026,0.6420530913978494,0.697376013200735,-1.0,221
HA_CORE,ha_opp_wick_frac,AVG,0.6100792240023445,,,912
HA_CORE,ha_flips_3,2024,0.4964329029036171,0.6195286753218409,-1.0,345
HA_CORE,ha_flips_3,2025,0.4724899598393574,0.5065294450579878,-1.0,346
HA_CORE,ha_flips_3,2026,0.5663642473118279,0.6280005368000195,-1.0,221
HA_CORE,ha_flips_3,AVG,0.5117623700182675,,,912
HA_CORE,ha_flips_6,2024,0.519262324320468,0.6368645797570778,1.0,345
HA_CORE,ha_flips_6,2025,0.5901104417670683,0.5845159258092768,1.0,346
HA_CORE,ha_flips_6,2026,0.4529569892473118,0.5513014077659064,1.0,221
HA_CORE,ha_flips_6,AVG,0.5207765851116161,,,912
