rule,PnL,PF,WR,DD,P95,Max,event_routes,early_routes,changed,delta
ANY_HA,5979.4900000000025,1.853453283720347,0.6391571553994733,326.5500000000011,48.674000000000284,394.10000000000036,291,150,369,-2551.249999999999
OPPOSITE_NEAREST,6970.940000000001,1.9087607322294107,0.6382791922739245,496.0699999999988,53.8779999999999,509.3800000000001,242,87,298,-1559.8000000000002
NO_SAME_TARGET,8482.830000000004,2.030592806237867,0.6575943810359964,440.34999999999854,57.66899999999945,592.9399999999996,23,10,36,-47.909999999998035
H1_RSI_REV,6786.850000000004,1.921062631471807,0.6330114135206322,456.52000000000226,51.14799999999947,509.3800000000001,256,107,324,-1743.8899999999976
H1_KIJUN_REV,5978.200000000008,1.8070458224153612,0.6374012291483757,456.130000000001,50.69100000000025,287.75,261,112,333,-2552.5399999999936
H1_CLOUD_REV,6104.170000000003,1.8475871376957504,0.636523266022827,414.3100000000022,48.54299999999979,394.10000000000036,277,126,352,-2426.569999999999
H4_MACD_REV,7614.419999999998,1.9463515152720332,0.6505706760316067,478.2099999999973,54.93099999999966,537.1599999999999,142,56,182,-916.3200000000033
H4_DMI_REV,7993.3200000000015,1.98948903410772,0.6479367866549605,591.489999999998,57.51500000000014,592.9399999999996,99,29,99,-537.4200000000001
H4_EMA20_REV,7622.730000000002,1.9514200662760015,0.6435469710272168,589.6499999999987,55.30400000000016,592.9399999999996,143,44,154,-908.0099999999993
H4_KIJUN_REV,7426.220000000005,1.9081850411948664,0.6417910447761194,608.7599999999975,55.30400000000016,592.9399999999996,116,38,122,-1104.5199999999968
H4_CLOUD_REV,7700.020000000004,1.999147482868559,0.6435469710272168,559.3099999999986,53.83999999999988,592.9399999999996,181,64,204,-830.7199999999975
DONCHIAN_HALF,7907.340000000006,1.9762678466484613,0.6479367866549605,620.7599999999984,56.52899999999999,592.9399999999996,124,35,142,-623.399999999996
HA_NO_PRIMARY_WICK,6905.660000000004,1.9296708297040832,0.6453028972783144,462.2600000000011,52.16800000000005,287.75,202,84,261,-1625.0799999999972
HA_BODY_GT_PRIOR3,7345.520000000006,1.9862379531741334,0.6488147497805092,512.8299999999999,52.919999999999845,489.03000000000065,212,85,278,-1185.2199999999957
HA_BODY_FRAC_HALF,8300.990000000005,2.1036275767627695,0.6532045654082529,504.1200000000017,53.723000000000226,592.9399999999996,186,66,240,-229.74999999999636
H1_HA_OPP4,6536.090000000002,1.915218803734759,0.6417910447761194,326.5500000000011,51.14799999999947,394.10000000000036,274,134,354,-1994.6499999999996
H1_HA_OPP8,6399.960000000002,1.9169351823064795,0.6382791922739245,326.5500000000011,50.978999999999964,394.10000000000036,276,139,356,-2130.7799999999997
OPP_NEAR+H1_RSI,7067.930000000003,1.8960596060493509,0.636523266022827,553.3499999999985,53.723000000000226,592.9399999999996,226,77,278,-1462.8099999999986
OPP_NEAR+H1_KIJUN,6763.370000000004,1.8650912625829814,0.6356453028972783,537.8899999999976,53.8779999999999,509.3800000000001,231,81,286,-1767.3699999999972
OPP_NEAR+H1_CLOUD,7423.93,1.9672230249195177,0.6382791922739245,496.0699999999988,53.8779999999999,592.9399999999996,237,82,290,-1106.8100000000013
OPP_NEAR+H4_MACD,8109.889999999999,2.000115921296839,0.6505706760316067,568.909999999998,55.30400000000016,592.9399999999996,136,40,173,-420.8500000000022
OPP_NEAR+DONCHIAN,7982.4100000000035,1.9906303247368127,0.6479367866549605,620.7599999999984,56.52899999999999,592.9399999999996,119,31,142,-548.3299999999981
OPP_NEAR+HA_NOWICK,7495.390000000003,1.9448450950657585,0.6444249341527656,544.9799999999977,55.04500000000019,537.25,157,50,197,-1035.3499999999985
OPP_NEAR+H1_HA4,7163.240000000002,1.9117376401512605,0.6347673397717296,524.2099999999991,53.723000000000226,592.9399999999996,223,78,276,-1367.5
H1_RSI+H1_CLOUD,6783.700000000005,1.9194472229676807,0.6347673397717296,471.59000000000196,51.14799999999947,509.3800000000001,256,106,323,-1747.0399999999963
LIQ+RSI+CLOUD,7065.460000000003,1.8956919578057052,0.6356453028972783,553.3499999999985,53.723000000000226,592.9399999999996,226,77,278,-1465.2799999999988
LIQ+RSI+HA_NOWICK,7933.150000000003,1.9820296794383,0.6435469710272168,586.8399999999983,55.30400000000016,592.9399999999996,147,43,184,-597.5899999999983
CONSENSUS_GE8,7271.480000000005,1.9407451203119492,0.6409130816505707,512.8299999999999,51.227000000000025,592.9399999999996,205,69,249,-1259.2599999999966
CONSENSUS_GE10,7607.100000000008,1.9510004313012184,0.6444249341527656,602.8499999999976,53.83999999999988,592.9399999999996,146,40,170,-923.639999999994
CONSENSUS_GE12,8497.330000000004,2.052921598366345,0.6496927129060579,620.7599999999984,58.77599999999997,592.9399999999996,105,22,120,-33.409999999998035
CONSENSUS_GE14,8465.050000000005,2.0373289152654954,0.6496927129060579,636.8999999999978,59.37499999999986,592.9399999999996,60,13,66,-65.68999999999687
