child_id,at,event,source,minute
2024OOS-COU0004,2024-01-17 15:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-17 15:45:00
2024OOS-COU0004,2024-01-17 12:21:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-17 12:21:00
2024OOS-COU0004,2024-01-17 14:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-17 14:00:00
2024OOS-COU0005,2024-01-18 10:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-18 10:00:00
2024OOS-COU0005,2024-01-18 05:42:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-18 05:42:00
2024OOS-COU0005,2024-01-18 05:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-18 05:45:00
2024OOS-WIT0003,2024-01-23 05:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-23 05:45:00
2024OOS-WIT0003,2024-01-22 19:56:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-22 19:56:00
2024OOS-WIT0003,2024-01-22 23:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-22 23:45:00
2024OOS-COU0007,2024-01-23 16:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-23 16:00:00
2024OOS-COU0007,2024-01-23 11:48:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-23 11:48:00
2024OOS-COU0007,2024-01-23 15:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-23 15:30:00
2024OOS-COU0008,2024-01-24 04:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-24 04:00:00
2024OOS-COU0008,2024-01-24 03:45:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-24 03:45:00
2024OOS-COU0010,2024-01-25 15:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-25 15:00:00
2024OOS-COU0010,2024-01-25 02:37:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-25 02:37:00
2024OOS-COU0010,2024-01-25 03:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-25 03:00:00
2024OOS-COU0011,2024-01-25 20:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-25 20:00:00
2024OOS-COU0011,2024-01-25 16:13:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-25 16:13:00
2024OOS-COU0011,2024-01-25 18:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-25 18:30:00
2024OOS-COU0013,2024-01-29 02:15:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-29 02:15:00
2024OOS-COU0013,2024-01-29 01:00:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-29 01:00:00
2024OOS-WIT0004,2024-01-29 20:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-29 20:30:00
2024OOS-WIT0005,2024-01-31 03:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-01-31 03:45:00
2024OOS-WIT0005,2024-01-30 23:28:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-01-30 23:28:00
2024OOS-WIT0005,2024-01-31 02:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-01-31 02:45:00
2024OOS-COU0018,2024-02-02 16:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-02 16:00:00
2024OOS-COU0018,2024-02-02 04:18:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-02 04:18:00
2024OOS-COU0018,2024-02-02 05:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-02 05:15:00
2024OOS-COU0019,2024-02-03 00:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-03 00:00:00
2024OOS-COU0019,2024-02-02 23:30:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-02 23:30:00
2024OOS-COU0019,2024-02-02 23:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-02 23:30:00
2024OOS-WIT0009,2024-02-06 14:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-06 14:00:00
2024OOS-WIT0009,2024-02-06 10:32:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-06 10:32:00
2024OOS-WIT0009,2024-02-06 13:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-06 13:30:00
2024OOS-COU0024,2024-02-07 22:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-07 22:00:00
2024OOS-COU0024,2024-02-07 19:27:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-07 19:27:00
2024OOS-COU0024,2024-02-07 21:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-07 21:30:00
2024OOS-COU0025,2024-02-08 08:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-08 08:00:00
2024OOS-COU0025,2024-02-08 05:11:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-08 05:11:00
2024OOS-COU0027,2024-02-12 11:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-12 11:00:00
2024OOS-COU0027,2024-02-09 22:14:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-09 22:14:00
2024OOS-COU0027,2024-02-09 22:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-09 22:45:00
2024OOS-COU0029,2024-02-12 22:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-12 22:00:00
2024OOS-COU0029,2024-02-12 19:52:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-12 19:52:00
2024OOS-COU0029,2024-02-12 21:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-12 21:30:00
2024OOS-COU0033,2024-02-14 08:59:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-14 08:59:00
2024OOS-COU0033,2024-02-14 09:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-14 09:00:00
2024OOS-COU0034,2024-02-14 15:34:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-14 15:34:00
2024OOS-COU0034,2024-02-14 15:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-14 15:45:00
2024OOS-COU0035,2024-02-14 21:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-14 21:00:00
2024OOS-COU0035,2024-02-14 18:54:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-14 18:54:00
2024OOS-COU0035,2024-02-14 20:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-14 20:30:00
2024OOS-COU0037,2024-02-16 17:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-16 17:00:00
2024OOS-COU0037,2024-02-15 08:08:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-15 08:08:00
2024OOS-COU0037,2024-02-15 08:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-15 08:30:00
2024OOS-COU0038,2024-02-16 20:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-16 20:00:00
2024OOS-COU0038,2024-02-16 19:12:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-16 19:12:00
2024OOS-WIT0013,2024-02-21 18:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-21 18:00:00
2024OOS-WIT0013,2024-02-20 04:27:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-20 04:27:00
2024OOS-WIT0013,2024-02-20 16:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-20 16:45:00
2024OOS-WIT0014,2024-02-22 16:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-22 16:30:00
2024OOS-WIT0014,2024-02-21 23:56:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-21 23:56:00
2024OOS-WIT0014,2024-02-22 00:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-22 00:00:00
2024OOS-COU0041,2024-02-23 16:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-23 16:00:00
2024OOS-COU0041,2024-02-23 13:21:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-23 13:21:00
2024OOS-COU0043,2024-02-26 14:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-26 14:30:00
2024OOS-COU0043,2024-02-26 12:53:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-26 12:53:00
2024OOS-COU0043,2024-02-26 14:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-26 14:30:00
2024OOS-COU0045,2024-02-28 04:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-28 04:00:00
2024OOS-COU0045,2024-02-27 16:07:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-27 16:07:00
2024OOS-COU0045,2024-02-27 16:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-27 16:30:00
2024OOS-COU0046,2024-02-28 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-02-28 12:00:00
2024OOS-COU0046,2024-02-28 06:22:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-02-28 06:22:00
2024OOS-COU0046,2024-02-28 08:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-02-28 08:00:00
2024OOS-COU0053,2024-03-04 03:51:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-04 03:51:00
2024OOS-COU0053,2024-03-04 04:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-04 04:45:00
2024OOS-COU0054,2024-03-04 13:25:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-04 13:25:00
2024OOS-COU0054,2024-03-04 15:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-04 15:15:00
2024OOS-COU0055,2024-03-05 04:10:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-05 04:10:00
2024OOS-COU0055,2024-03-05 05:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-05 05:30:00
2024OOS-COU0058,2024-03-06 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-06 12:00:00
2024OOS-COU0058,2024-03-05 18:43:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-05 18:43:00
2024OOS-COU0058,2024-03-05 19:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-05 19:00:00
2024OOS-COU0060,2024-03-07 01:46:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-07 01:46:00
2024OOS-COU0060,2024-03-07 02:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-07 02:00:00
