child_id,branch,side,parent_id_at_entry,authorized_at,entry_at,entry_price,origin,initial_risk,zone_low,zone_high,mfe,mae,mfe_r,mae_r,exit_at,exit_price,realized_pnl,realized_r,terminal_reason,terminal_state,terminal_at,censored,review_count,auth_class,duration_minutes,loss_class,h4_flow_at_entry,h4_macro_at_entry,h4_macro_agree_n,h4_role_at_entry,h4_role_agree_n,h1_consensus_at_entry,h1_agree_n,h1_relation_at_entry,m15_consensus_at_entry,m15_agree_n,m15_supports_child,m5_consensus_at_entry,m5_agree_n,m5_supports_child,favorable_liquidity_delivery_count,first_favorable_delivery_at,first_favorable_delivery_object,first_post_delivery_m15_nonsupport_at,first_post_delivery_m15_nonsupport_consensus,counterfactual_r_at_first_post_delivery_m15_nonsupport,entry_dt,exit_dt,giveback,winner,hard_sl,r_event_count,management_calls,first_sched_review_at,first_sched_reasons,minutes_first_review_to_exit
2024OOS-COU0006,COUNTER,UP,2024OOS-MP003,2024-01-22 12:45:00,2024-01-22 15:50:06.358000,2022.17,2021.03,1.1400000000001,2022.14,2022.17,2.6299999999998818,1.1900000000000546,2.307017543859343,1.0438596491227632,2024-01-22 16:06:54.101000,2020.98,-1.1900000000000546,-1.0438596491227632,HARD_SL,CHILD_DEAD,2024-01-22 16:06:54.101000,False,0,FIRST,16.795717,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_DOWN,DOWN,2,MIG_DOWN,2,UP,3,COUNTERFLOW,DOWN,3,False,DOWN,2,False,0,,,,,,2024-01-22 15:50:06.358,2024-01-22 16:06:54.101,True,False,True,2,2,2024-01-22 15:53:00,R_MILESTONE_1,13.901683333333333
2024OOS-COU0046,COUNTER,DOWN,2024OOS-MP018,2024-02-28 04:45:00,2024-02-28 05:36:40.150000,2031.76,2033.58,1.8199999999999363,2031.75,2032.11,7.059999999999945,1.8299999999999272,3.879120879120985,1.0054945054945006,2024-02-28 15:21:35.489000,2033.59,-1.8299999999999272,-1.0054945054945006,HARD_SL,CHILD_DEAD,2024-02-28 15:21:35.489000,False,1,FIRST,584.922317,PROFITABLE_1R_PLUS_THEN_HARD_SL,UNRESOLVED_UP,UP,3,AMBIGUOUS,1,DOWN,2,COUNTERFLOW,DOWN,3,True,UP,2,False,19,2024-02-28 06:22:00,M5_SWING_LOW_20240228_0605_PIVOT,2024-02-28 08:00:00,BALANCE,0.302197802,2024-02-28 05:36:40.150,2024-02-28 15:21:35.489,True,False,True,3,6,2024-02-28 06:22:00,FIRST_FAVORABLE_DELIVERY,539.5914833333334
2024OOS-COU0063,COUNTER,DOWN,2024OOS-MP020,2024-03-08 15:15:00,2024-03-08 15:21:21.152000,2166.55,2171.01,4.460000000000036,2166.54,2166.55,9.070000000000164,4.569999999999709,2.033632286995536,1.0246636771299713,2024-03-08 15:30:51.013000,2171.12,-4.569999999999709,-1.0246636771299713,HARD_SL,CHILD_DEAD,2024-03-08 15:30:51.013000,False,0,FIRST,9.497683,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,4,2024-03-08 15:30:00,M5_SWING_LOW_20240308_0640_PIVOT,,,,2024-03-08 15:21:21.152,2024-03-08 15:30:51.013,True,False,True,2,1,2024-03-08 15:30:00,FIRST_FAVORABLE_DELIVERY|R_MILESTONE_1|R_MILESTONE_2,0.8502166666666666
2024OOS-COU0084,COUNTER,DOWN,2024OOS-MP028,2024-04-04 14:30:00,2024-04-04 17:02:36.306000,2293.69,2295.14,1.449999999999818,2293.49,2294.24,4.7800000000002,1.8299999999999272,3.2965517241384825,1.2620689655173496,2024-04-04 17:27:53.251000,2295.52,-1.8299999999999272,-1.2620689655173496,HARD_SL,CHILD_DEAD,2024-04-04 17:27:53.251000,False,0,FIRST,25.282417,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,2,DOWN,2,COUNTERFLOW,DOWN,2,True,DOWN,3,True,0,,,,,,2024-04-04 17:02:36.306,2024-04-04 17:27:53.251,True,False,True,3,3,2024-04-04 17:02:00,R_MILESTONE_1,25.887516666666667
2024OOS-COU0086,COUNTER,DOWN,2024OOS-MP029,2024-04-12 14:45:00,2024-04-12 15:25:58.251000,2397.33,2400.52,3.1900000000000546,2397.31,2399.15,5.029999999999745,3.200000000000273,1.5768025078368837,1.0031347962383128,2024-04-12 16:42:44.202000,2400.53,-3.200000000000273,-1.0031347962383128,HARD_SL,CHILD_DEAD,2024-04-12 16:42:44.202000,False,0,FIRST,76.76585,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,BALANCE,2,False,1,2024-04-12 16:30:00,M5_SWING_LOW_20240412_1610_PIVOT,2024-04-12 16:30:00,UP,0.203761755,2024-04-12 15:25:58.251,2024-04-12 16:42:44.202,True,False,True,1,2,2024-04-12 15:36:00,R_MILESTONE_1,66.7367
2024OOS-COU0093,COUNTER,DOWN,2024OOS-MP032,2024-04-19 11:30:00,2024-04-19 11:40:03.705000,2384.27,2385.32,1.050000000000182,2384.19,2384.52,1.5399999999999636,1.099999999999909,1.466666666666378,1.0476190476187794,2024-04-19 11:48:42.563000,2385.37,-1.099999999999909,-1.0476190476187794,HARD_SL,CHILD_DEAD,2024-04-19 11:48:42.563000,False,0,FIRST,8.647633,PROFITABLE_1R_PLUS_THEN_HARD_SL,UNRESOLVED_UP,UP,2,AMBIGUOUS,1,UP,2,ALIGNED,DOWN,2,True,DOWN,2,True,0,,,,,,2024-04-19 11:40:03.705,2024-04-19 11:48:42.563,True,False,True,1,1,2024-04-19 11:40:00,R_MILESTONE_1,8.709383333333333
2024OOS-COU0104,COUNTER,UP,2024OOS-MP036,2024-05-03 01:30:00,2024-05-03 01:51:15.925000,2304.01,2303.47,0.5400000000004184,2303.89,2304.03,0.7399999999997817,0.6400000000003274,1.3703703703689043,1.1851851851848734,2024-05-03 02:05:34.153000,2303.37,-0.6400000000003274,-1.1851851851848734,HARD_SL,CHILD_DEAD,2024-05-03 02:05:34.153000,False,0,FIRST,14.3038,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_DOWN,DOWN,3,MIG_DOWN,2,DOWN,2,ALIGNED,UP,2,True,BALANCE,2,False,0,,,,,,2024-05-03 01:51:15.925,2024-05-03 02:05:34.153,True,False,True,1,1,2024-05-03 01:58:00,R_MILESTONE_1,7.569216666666667
2024OOS-WIT0039,WITH_PARENT,DOWN,2024OOS-MP054,2024-06-13 14:15:00,2024-06-13 14:15:04.852000,2314.06,2319.94,5.880000000000109,2313.92,2314.46,9.949999999999818,6.010000000000218,1.692176870748237,1.022108843537433,2024-06-13 15:31:40.368000,2320.07,-6.010000000000218,-1.022108843537433,HARD_SL,CHILD_DEAD,2024-06-13 15:31:40.368000,False,0,FIRST,76.591933,PROFITABLE_1R_PLUS_THEN_HARD_SL,UNRESOLVED_DOWN,DOWN,2,AMBIGUOUS,1,AMBIGUOUS,1,LOCAL_BALANCE,DOWN,2,True,DOWN,2,True,8,2024-06-13 14:22:00,M5_SWING_LOW_20240613_0915_PIVOT,,,,2024-06-13 14:15:04.852,2024-06-13 15:31:40.368,True,False,True,1,2,2024-06-13 14:22:00,FIRST_FAVORABLE_DELIVERY,69.67280000000001
2024OOS-COU0148,COUNTER,DOWN,2024OOS-MP059,2024-06-19 03:30:00,2024-06-19 03:36:43.198000,2329.01,2330.18,1.169999999999618,2328.92,2329.12,2.300000000000182,1.199999999999818,1.965811965812763,1.025641025641205,2024-06-19 04:44:51.448000,2330.21,-1.199999999999818,-1.025641025641205,HARD_SL,CHILD_DEAD,2024-06-19 04:44:51.448000,False,0,FIRST,68.1375,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,2,MIG_UP,2,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,5,2024-06-19 04:07:00,M5_SWING_LOW_20240618_2110_PIVOT,2024-06-19 04:30:00,BALANCE,0.341880342,2024-06-19 03:36:43.198,2024-06-19 04:44:51.448,True,False,True,1,2,2024-06-19 04:07:00,FIRST_FAVORABLE_DELIVERY|R_MILESTONE_1,37.85746666666667
2024OOS-COU0167,COUNTER,DOWN,2024OOS-MP063,2024-07-03 05:00:00,2024-07-03 05:00:31.751000,2329.57,2332.13,2.559999999999945,2329.56,2330.92,2.559999999999945,2.5899999999996908,1.0,1.0117187499999007,2024-07-03 06:50:33.301000,2332.16,-2.5899999999996908,-1.0117187499999007,HARD_SL,CHILD_DEAD,2024-07-03 06:50:33.301000,False,0,FIRST,110.025833,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,2,UP,3,ALIGNED,DOWN,2,True,DOWN,3,True,3,2024-07-03 05:20:00,M5_SWING_LOW_20240703_0435_PIVOT,2024-07-03 06:30:00,BALANCE,0.0625,2024-07-03 05:00:31.751,2024-07-03 06:50:33.301,True,False,True,1,3,2024-07-03 05:20:00,FIRST_FAVORABLE_DELIVERY,90.55501666666667
