child_id,branch,side,parent_id_at_entry,authorized_at,entry_at,entry_price,origin,initial_risk,zone_low,zone_high,mfe,mae,mfe_r,mae_r,exit_at,exit_price,realized_pnl,realized_r,terminal_reason,terminal_state,terminal_at,censored,review_count,auth_class,duration_minutes,loss_class,h4_flow_at_entry,h4_macro_at_entry,h4_macro_agree_n,h4_role_at_entry,h4_role_agree_n,h1_consensus_at_entry,h1_agree_n,h1_relation_at_entry,m15_consensus_at_entry,m15_agree_n,m15_supports_child,m5_consensus_at_entry,m5_agree_n,m5_supports_child,favorable_liquidity_delivery_count,first_favorable_delivery_at,first_favorable_delivery_object,first_post_delivery_m15_nonsupport_at,first_post_delivery_m15_nonsupport_consensus,counterfactual_r_at_first_post_delivery_m15_nonsupport,entry_dt,exit_dt,giveback,winner,hard_sl,r_event_count,management_calls
2024OOS-COU0114,COUNTER,UP,2024OOS-MP040,2024-05-09 04:30:00,2024-05-09 05:09:25.052000,2308.21,2307.82,0.3899999999998726,2307.92,2308.21,7.050000000000182,0.349999999999909,18.076923076929447,0.8974358974359572,2024-05-09 08:00:00.155000,2314.49,6.279999999999745,16.102564102568707,AI_EXIT,CHILD_EXITED,2024-05-09 08:00:00.155000,False,1,FIRST,170.58505,,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,3,ALIGNED,BALANCE,2,False,DOWN,2,False,8,2024-05-09 05:51:00,M5_SWING_HIGH_20240509_0505_PIVOT,,,,2024-05-09 05:09:25.052,2024-05-09 08:00:00.155,False,True,False,18,18
2024OOS-WIT0080,WITH_PARENT,DOWN,2024OOS-MP121,2024-12-18 14:00:00,2024-12-18 14:13:00.070000,2646.35,2649.42,3.070000000000164,2646.27,2646.49,62.28999999999997,1.5700000000001637,20.2899022801292,0.5114006514658241,2024-12-20 08:45:00.182000,2604.61,41.73999999999978,13.59609120521093,AI_EXIT,CHILD_EXITED,2024-12-20 08:45:00.182000,False,1,FIRST,2552.001867,,UNRESOLVED_DOWN,DOWN,3,AMBIGUOUS,1,AMBIGUOUS,1,LOCAL_BALANCE,DOWN,2,True,DOWN,3,True,79,2024-12-18 14:49:00,M5_SWING_LOW_20241218_1405_PIVOT,2024-12-18 19:30:00,BALANCE,2.074918567,2024-12-18 14:13:00.070,2024-12-20 08:45:00.182,False,True,False,20,22
2024OOS-COU0330,COUNTER,DOWN,2024OOS-MP120,2024-12-12 11:45:00,2024-12-12 11:47:31.517000,2716.51,2720.35,3.8399999999996903,2716.42,2718.51,41.18000000000029,1.1799999999998363,10.723958333334272,0.3072916666666487,2024-12-12 20:00:00.002000,2686.55,29.96000000000004,7.802083333333971,AI_EXIT,CHILD_EXITED,2024-12-12 20:00:00.002000,False,1,FIRST,492.47475,,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,2,True,DOWN,2,True,16,2024-12-12 12:00:00,M5_SWING_LOW_20241212_1125_PIVOT,2024-12-12 12:45:00,BALANCE,0.302083333,2024-12-12 11:47:31.517,2024-12-12 20:00:00.002,False,True,False,10,13
2024OOS-COU0236,COUNTER,UP,2024OOS-MP088,2024-09-19 05:45:00,2024-09-19 06:01:11.005000,2563.34,2551.03,12.309999999999944,2563.05,2563.35,107.15999999999984,3.8099999999999454,8.705117790414324,0.3095044679122634,2024-09-26 03:15:00.102000,2655.46,92.11999999999988,7.483346872461437,AI_EXIT,CHILD_EXITED,2024-09-26 03:15:00.102000,False,2,FIRST,9913.818283,,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,3,ALIGNED,UP,2,True,UP,3,True,166,2024-09-19 08:04:00,M5_SWING_HIGH_20240919_0650_PIVOT,2024-09-19 15:45:00,BALANCE,1.29488221,2024-09-19 06:01:11.005,2024-09-26 03:15:00.102,False,True,False,8,12
2024OOS-COU0065,COUNTER,DOWN,2024OOS-MP020,2024-03-11 19:00:00,2024-03-11 19:01:44.219000,2182.62,2185.63,3.0100000000002183,2182.34,2183.73,26.269999999999985,2.369999999999891,8.727574750829925,0.7873754152822987,2024-03-12 16:00:00.042000,2160.59,22.029999999999745,7.318936877075797,AI_EXIT,CHILD_EXITED,2024-03-12 16:00:00.042000,False,1,FIRST,1258.263717,,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,BALANCE,2,False,41,2024-03-11 19:51:00,M5_SWING_LOW_20240311_1845_PIVOT,2024-03-11 21:00:00,UP,0.531561462,2024-03-11 19:01:44.219,2024-03-12 16:00:00.042,False,True,False,8,10
2024OOS-WIT0061,WITH_PARENT,UP,2024OOS-MP089,2024-09-19 17:45:00,2024-09-19 17:46:16.809000,2581.94,2571.7,10.240000000000236,2580.46,2581.95,88.55999999999995,1.8299999999999272,8.648437499999796,0.1787109374999887,2024-09-26 03:15:00.102000,2655.46,73.51999999999998,7.179687499999832,AI_EXIT,CHILD_EXITED,2024-09-26 03:15:00.102000,False,1,FIRST,9208.72155,,MIG_UP,UP,2,MIG_UP,2,BALANCE,3,LOCAL_BALANCE,UP,2,True,UP,2,True,153,2024-09-19 18:29:00,M5_SWING_HIGH_20240919_1740_PIVOT,2024-09-19 22:45:00,DOWN,0.443359375,2024-09-19 17:46:16.809,2024-09-26 03:15:00.102,False,True,False,8,11
2024OOS-WIT0044,WITH_PARENT,UP,2024OOS-MP065,2024-07-15 11:30:00,2024-07-15 11:31:04.502000,2408.24,2401.29,6.949999999999818,2408.17,2408.29,75.37000000000035,0.5899999999996908,10.844604316547096,0.0848920863308929,2024-07-18 19:45:00.202000,2456.04,47.80000000000018,6.877697841726825,AI_EXIT,CHILD_EXITED,2024-07-18 19:45:00.202000,False,1,FIRST,4813.928333,,MIG_UP,UP,3,MIG_UP,2,BALANCE,2,LOCAL_BALANCE,UP,2,True,UP,2,True,126,2024-07-15 13:07:00,M5_SWING_HIGH_20240715_1210_PIVOT,2024-07-15 16:15:00,BALANCE,0.614388489,2024-07-15 11:31:04.502,2024-07-18 19:45:00.202,False,True,False,10,13
2024OOS-COU0170,COUNTER,DOWN,2024OOS-MP063,2024-07-08 01:45:00,2024-07-08 04:09:23.702000,2387.78,2392.9,5.119999999999891,2387.78,2387.9,36.5300000000002,3.549999999999727,7.134765625000191,0.6933593749999615,2024-07-08 20:00:00.104000,2358.91,28.870000000000346,5.638671875000187,AI_EXIT,CHILD_EXITED,2024-07-08 20:00:00.104000,False,1,FRESH_REAUTH,950.6067,,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,AMBIGUOUS,1,False,DOWN,3,True,29,2024-07-08 05:37:00,M5_SWING_LOW_20240708_0445_PIVOT,2024-07-08 07:45:00,AMBIGUOUS,0.61328125,2024-07-08 04:09:23.702,2024-07-08 20:00:00.104,False,True,False,7,10
2024OOS-COU0135,COUNTER,DOWN,2024OOS-MP049,2024-06-04 04:30:00,2024-06-04 05:12:02.149000,2349.42,2352.29,2.869999999999891,2349.39,2350.27,16.940000000000055,2.549999999999727,5.902439024390487,0.8885017421602175,2024-06-04 12:00:00.026000,2333.55,15.86999999999989,5.529616724738848,AI_EXIT,CHILD_EXITED,2024-06-04 12:00:00.026000,False,1,FIRST,407.964617,,MIG_UP,UP,2,MIG_UP,2,UP,2,ALIGNED,DOWN,2,True,BALANCE,2,False,11,2024-06-04 06:04:00,M5_SWING_LOW_20240604_0540_PIVOT,2024-06-04 06:45:00,BALANCE,1.390243902,2024-06-04 05:12:02.149,2024-06-04 12:00:00.026,False,True,False,5,8
2024OOS-COU0068,COUNTER,DOWN,2024OOS-MP022,2024-03-14 03:45:00,2024-03-14 03:59:58.402000,2174.73,2176.93,2.199999999999818,2174.71,2175.3,16.0,0.8899999999998727,7.272727272727874,0.4045454545454301,2024-03-14 16:00:00.079000,2162.59,12.139999999999873,5.518181818182216,AI_EXIT,CHILD_EXITED,2024-03-14 16:00:00.079000,False,1,FRESH_REAUTH,720.02795,,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,DOWN,3,True,27,2024-03-14 04:52:00,M5_SWING_LOW_20240314_0340_PIVOT,2024-03-14 07:30:00,BALANCE,1.463636364,2024-03-14 03:59:58.402,2024-03-14 16:00:00.079,False,True,False,7,10
