child_id,branch,side,parent_id_at_entry,authorized_at,entry_at,entry_price,origin,initial_risk,zone_low,zone_high,mfe,mae,mfe_r,mae_r,exit_at,exit_price,realized_pnl,realized_r,terminal_reason,terminal_state,terminal_at,censored,review_count,auth_class,duration_minutes,loss_class,h4_flow_at_entry,h4_macro_at_entry,h4_macro_agree_n,h4_role_at_entry,h4_role_agree_n,h1_consensus_at_entry,h1_agree_n,h1_relation_at_entry,m15_consensus_at_entry,m15_agree_n,m15_supports_child,m5_consensus_at_entry,m5_agree_n,m5_supports_child,favorable_liquidity_delivery_count,first_favorable_delivery_at,first_favorable_delivery_object,first_post_delivery_m15_nonsupport_at,first_post_delivery_m15_nonsupport_consensus,counterfactual_r_at_first_post_delivery_m15_nonsupport
2024OOS-COU0003,COUNTER,UP,2024OOS-MP002,2024-01-17 03:30:00,2024-01-17 04:35:54.817000,2028.27,2024.22,4.0499999999999545,2027.44,2028.33,1.0399999999999636,4.139999999999873,0.25679012345678404,1.0222222222222022,2024-01-17 05:43:59.511000,2024.13,-4.139999999999873,-1.0222222222222022,HARD_SL,CHILD_DEAD,2024-01-17 05:43:59.511000,False,0,FIRST,68.078233,PARTIAL_PROGRESS_HARD_SL,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,2,ALIGNED,UP,2,True,DOWN,2,False,0,,,,,
2024OOS-COU0004,COUNTER,UP,2024OOS-MP002,2024-01-17 10:00:00,2024-01-17 10:40:26.720000,2023.51,2017.62,5.8900000000001,2021.64,2023.53,5.460000000000036,4.6400000000001,0.9269949066213826,0.78777589134126,2024-01-17 15:45:00.097000,2022.32,-1.1900000000000546,-0.20203735144312976,AI_EXIT,CHILD_EXITED,2024-01-17 15:45:00.097000,False,1,FRESH_REAUTH,304.556283,AI_EARLY_LOSS_EXIT,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,2,ALIGNED,UP,2,True,UP,2,True,8,2024-01-17 12:21:00,M5_SWING_HIGH_20240117_1200_PIVOT,2024-01-17 14:00:00,BALANCE,0.057724958
2024OOS-WIT0002,WITH_PARENT,DOWN,2024OOS-MP002,2024-01-19 05:45:00,2024-01-19 08:26:16.285000,2023.01,2025.46,2.4500000000000455,2022.99,2023.41,0.5599999999999454,2.4600000000000364,0.22857142857140206,1.0040816326530575,2024-01-19 09:18:09.958000,2025.47,-2.4600000000000364,-1.0040816326530575,HARD_SL,CHILD_DEAD,2024-01-19 09:18:09.958000,False,0,FIRST,51.894550,FAST_NO_PROGRESS_HARD_SL,REPAIR_DOWN,DOWN,3,REPAIR_DOWN,2,AMBIGUOUS,1,LOCAL_BALANCE,AMBIGUOUS,1,False,UP,2,False,0,,,,,
2024OOS-COU0006,COUNTER,UP,2024OOS-MP003,2024-01-22 12:45:00,2024-01-22 15:50:06.358000,2022.17,2021.03,1.1400000000001,2022.14,2022.17,2.6299999999998818,1.1900000000000546,2.307017543859343,1.0438596491227632,2024-01-22 16:06:54.101000,2020.98,-1.1900000000000546,-1.0438596491227632,HARD_SL,CHILD_DEAD,2024-01-22 16:06:54.101000,False,0,FIRST,16.795717,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_DOWN,DOWN,2,MIG_DOWN,2,UP,3,COUNTERFLOW,DOWN,3,False,DOWN,2,False,0,,,,,
2024OOS-WIT0003,WITH_PARENT,DOWN,2024OOS-MP003,2024-01-22 18:15:00,2024-01-22 18:17:38.516000,2022.45,2030.11,7.6599999999998545,2022.37,2022.38,3.1400000000001,3.25,0.40992167101829763,0.4242819843342117,2024-01-23 05:45:00.254000,2025.32,-2.869999999999891,-0.3746736292428127,AI_EXIT,CHILD_EXITED,2024-01-23 05:45:00.254000,False,1,FRESH_REAUTH,687.362300,AI_EARLY_LOSS_EXIT,UNRESOLVED_DOWN,DOWN,2,AMBIGUOUS,1,AMBIGUOUS,1,LOCAL_BALANCE,DOWN,2,True,DOWN,3,True,11,2024-01-22 19:56:00,M5_SWING_LOW_20240122_1905_PIVOT,2024-01-22 23:45:00,BALANCE,0.120104439
2024OOS-COU0010,COUNTER,UP,2024OOS-MP007,2024-01-25 01:30:00,2024-01-25 02:10:35.926000,2015.47,2011.13,4.339999999999918,2014.6,2015.54,4.029999999999973,2.880000000000109,0.9285714285714398,0.6635944700461206,2024-01-25 15:00:00.100000,2013.55,-1.9200000000000728,-0.4423963133640804,AI_EXIT,CHILD_EXITED,2024-01-25 15:00:00.100000,False,1,FIRST,769.402900,AI_EARLY_LOSS_EXIT,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,3,ALIGNED,UP,2,True,BALANCE,2,False,15,2024-01-25 02:37:00,M5_SWING_HIGH_20240125_0220_PIVOT,2024-01-25 03:00:00,BALANCE,-0.018433180
2024OOS-COU0011,COUNTER,UP,2024OOS-MP007,2024-01-25 15:45:00,2024-01-25 15:49:21.824000,2017.58,2009.11,8.470000000000027,2017.01,2017.6,7.730000000000018,5.149999999999864,0.9126328217237301,0.6080283353010445,2024-01-25 20:00:00.361000,2014.88,-2.699999999999818,-0.31877213695393264,AI_EXIT,CHILD_EXITED,2024-01-25 20:00:00.361000,False,1,FIRST,250.642283,AI_EARLY_LOSS_EXIT,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,3,ALIGNED,UP,2,True,UP,3,True,3,2024-01-25 16:13:00,M5_SWING_HIGH_20240124_1715_PIVOT,2024-01-25 18:30:00,DOWN,-0.179456907
2024OOS-WIT0004,WITH_PARENT,UP,2024OOS-MP009,2024-01-29 19:30:00,2024-01-29 19:49:15.169000,2029.36,2020.5,8.8599999999999,2028.4,2029.51,0.5300000000002001,3.5299999999999727,0.05981941309257405,0.3984198645598208,2024-01-29 20:30:00.091000,2026.15,-3.209999999999809,-0.36230248306995994,AI_EXIT,CHILD_EXITED,2024-01-29 20:30:00.091000,False,1,FIRST,40.748700,AI_EARLY_LOSS_EXIT,MIG_UP,UP,3,MIG_UP,3,AMBIGUOUS,1,LOCAL_BALANCE,UP,3,True,UP,3,True,0,,,,,
2024OOS-WIT0005,WITH_PARENT,UP,2024OOS-MP009,2024-01-30 21:45:00,2024-01-30 22:08:37.945000,2035.83,2031.48,4.349999999999909,2035.78,2035.85,2.810000000000173,0.8299999999999272,0.6459770114943061,0.1908045977011367,2024-01-31 03:45:01.192000,2035.24,-0.5899999999999181,-0.13563218390803,AI_EXIT,CHILD_EXITED,2024-01-31 03:45:01.192000,False,1,FIRST,336.387450,AI_EARLY_LOSS_EXIT,PAUSE_UP,UP,3,PAUSE_UP,2,BALANCE,2,LOCAL_BALANCE,UP,2,True,UP,3,True,5,2024-01-30 23:28:00,M5_SWING_HIGH_20240130_2250_PIVOT,2024-01-31 02:45:00,BALANCE,0.052873563
2024OOS-COU0020,COUNTER,UP,2024OOS-MP011,2024-02-05 13:45:00,2024-02-05 14:30:50.472000,2024.91,2020.61,4.300000000000182,2024.59,2025.0,0.0,4.3400000000001455,0.0,1.0093023255813864,2024-02-05 15:21:24.902000,2020.57,-4.3400000000001455,-1.0093023255813864,HARD_SL,CHILD_DEAD,2024-02-05 15:21:24.902000,False,0,FIRST,50.573833,FAST_NO_PROGRESS_HARD_SL,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,2,ALIGNED,BALANCE,2,False,DOWN,2,False,0,,,,,
