child_id,k,threshold,proxy_at
2024OOS-COU0006,1,2023.3100000000002,2024-01-22 15:53:00
2024OOS-COU0006,2,2024.4500000000003,2024-01-22 15:55:00
2024OOS-COU0013,1,2020.7900000000002,2024-01-29 01:00:00
2024OOS-COU0013,2,2023.1700000000003,2024-01-29 01:00:00
2024OOS-COU0013,3,2025.5500000000004,2024-01-29 01:00:00
2024OOS-COU0013,4,2027.9300000000005,2024-01-29 01:29:00
2024OOS-COU0018,1,2042.7500000000005,2024-02-02 15:30:00
2024OOS-COU0018,2,2031.4500000000007,2024-02-02 15:55:00
2024OOS-COU0025,1,2033.72,2024-02-08 05:32:00
2024OOS-COU0037,1,1993.53,2024-02-15 09:28:00
2024OOS-COU0037,2,1995.09,2024-02-15 10:12:00
2024OOS-COU0037,3,1996.6499999999999,2024-02-15 11:56:00
2024OOS-COU0037,4,1998.2099999999998,2024-02-15 14:40:00
2024OOS-COU0037,5,1999.7699999999998,2024-02-15 15:22:00
2024OOS-COU0037,6,2001.3299999999997,2024-02-15 15:30:00
2024OOS-COU0037,7,2002.8899999999996,2024-02-15 15:30:00
2024OOS-COU0037,8,2004.4499999999996,2024-02-15 16:15:00
2024OOS-COU0037,9,2006.0099999999995,2024-02-15 16:31:00
2024OOS-COU0037,10,2007.5699999999995,2024-02-15 16:32:00
2024OOS-WIT0013,1,2018.7999999999997,2024-02-20 06:25:00
2024OOS-WIT0013,2,2020.7299999999996,2024-02-20 08:53:00
2024OOS-WIT0013,3,2022.6599999999994,2024-02-20 09:26:00
2024OOS-WIT0013,4,2024.5899999999992,2024-02-20 11:44:00
2024OOS-WIT0013,5,2026.519999999999,2024-02-20 12:28:00
2024OOS-WIT0013,6,2028.449999999999,2024-02-20 15:30:00
2024OOS-WIT0013,7,2030.3799999999987,2024-02-20 15:45:00
2024OOS-WIT0014,1,2029.1399999999999,2024-02-22 07:04:00
2024OOS-WIT0014,2,2033.7099999999998,2024-02-22 10:07:00
2024OOS-COU0041,1,2028.52,2024-02-23 14:55:00
2024OOS-COU0043,1,2031.8700000000001,2024-02-26 12:54:00
2024OOS-COU0045,1,2033.45,2024-02-27 17:31:00
2024OOS-COU0045,2,2030.47,2024-02-27 19:16:00
2024OOS-COU0046,1,2029.94,2024-02-28 06:23:00
2024OOS-COU0046,2,2028.1200000000001,2024-02-28 09:46:00
2024OOS-COU0046,3,2026.3000000000002,2024-02-28 11:04:00
2024OOS-COU0063,1,2162.09,2024-03-08 15:30:00
