family,model,year,auc,ap
H4_DIST_AGE,LOGIT,2024,0.6486013986013985,0.4024999885518286
H4_DIST_AGE,TREE2,2024,0.6062062937062938,0.33169492176988424
H4_DIST_AGE,TREE3,2024,0.6292249417249417,0.3509602521467214
H4_DIST_AGE,HGB,2024,0.6363636363636365,0.34830310617613636
MECHANICAL,SAME_D1_RANK,2024,0.6592365967365967,0.3964975922741798
MECHANICAL,DIST_RATIO_RANK,2024,0.615166083916084,0.34890643946810296
H4_DIST_AGE,LOGIT,2025,0.672601032579669,0.3769617212273815
H4_DIST_AGE,TREE2,2025,0.6846181235534984,0.3257117772482127
H4_DIST_AGE,TREE3,2025,0.6934306569343066,0.33590397844945263
H4_DIST_AGE,HGB,2025,0.6460744169485491,0.3007833814326253
MECHANICAL,SAME_D1_RANK,2025,0.7331315648922913,0.3751035952121756
MECHANICAL,DIST_RATIO_RANK,2025,0.7092754139220223,0.3973153888050295
H4_DIST_AGE,LOGIT,2026,0.6985317088409871,0.44040959090235254
H4_DIST_AGE,TREE2,2026,0.718213058419244,0.4068405699761632
H4_DIST_AGE,TREE3,2026,0.6652608559825055,0.37489545877469044
H4_DIST_AGE,HGB,2026,0.6710402999062792,0.4314581417810509
MECHANICAL,SAME_D1_RANK,2026,0.7018119337706967,0.3713020875683245
MECHANICAL,DIST_RATIO_RANK,2026,0.698219306466729,0.4904823499556019
