year,quartile,n,median_same_d1_S,end_rate
2024,Q1_NEAR,43,0.20877334154064,0.11627906976744186
2024,Q2,42,0.6623642856624747,0.2619047619047619
2024,Q3,42,1.2907564635663888,0.35714285714285715
2024,Q4_FAR,42,2.8882914213887254,0.38095238095238093
2025,Q1_NEAR,38,0.22814727644835608,0.02631578947368421
2025,Q2,38,0.7910355291326551,0.07894736842105263
2025,Q3,38,1.2074244084332384,0.3157894736842105
2025,Q4_FAR,38,2.794963256648219,0.39473684210526316
2026,Q1_NEAR,31,0.3221409430616805,0.0967741935483871
2026,Q2,31,0.6354836877639551,0.16129032258064516
2026,Q3,31,1.209252487744919,0.3225806451612903
2026,Q4_FAR,31,3.3634853884748823,0.45161290322580644
