feature,mean_oriented_auc,min_oriented_auc,raw_auc_2024,sign_consistency
h4liq_same_d1_S,0.7091979358136564,0.6550401116149285,0.6550401116149285,True
h4liq_distance_ratio,0.6931037636567027,0.6281827694454134,0.6281827694454134,True
h4liq_same_d2_S,0.622982357456333,0.551894918173988,0.551894918173988,True
h4liq_same_age3_h,0.609897866763911,0.5706168831168831,0.6270651117589893,True
h4liq_same_nearest,0.6004515920241392,0.5379310344827586,0.46206896551724136,True
h4liq_same_d3_S,0.5924589037512399,0.5811467444120506,0.5811467444120506,True
h4liq_same_age2_h,0.5918580041835856,0.5477777777777778,0.6492248062015504,True
h4liq_opp_d3_S,0.5734304854529808,0.5426356589147286,0.5426356589147286,False
current_liq_age_min_h,0.5703161151002919,0.5357598978288634,0.5357598978288634,False
current_liq_age_median_h,0.5668988599924808,0.5305236270753513,0.5305236270753513,False
current_liq_age_max_h,0.5642863617275595,0.5324393358876117,0.5324393358876117,False
h4liq_same_active_n,0.5602947410215386,0.5255427841634739,0.5255427841634739,False
h4liq_opp_age3_h,0.5564308159070688,0.5048930772018847,0.4170542635658915,False
h4liq_same_age1_h,0.5519593623899364,0.5200407608695653,0.5973142657830485,True
h4liq_opp_active_n,0.5484995720941263,0.5058139534883721,0.4518518518518518,False
h4liq_opp_age2_h,0.5419917269816961,0.5184453227931489,0.45753512132822477,False
h4liq_opp_d2_S,0.5348984991652542,0.5258207934336525,0.5472541507024266,False
h4liq_opp_age1_h,0.522190107739909,0.5092592592592593,0.49074074074074076,False
h4liq_opp_d1_S,0.5168684183406351,0.5036014405762306,0.5370370370370371,False
current_liq_n,0.506813733839492,0.501827242524917,0.4948914431673053,False
