model,eval_year,train_n,eval_n,base_rate,auc,brier,mean_p
PABS_4H_0.5S,2024,11106,5915,0.6892645815722739,0.7249549811397198,0.18589506604634562,0.7098867342107471
PABS_4H_0.5S,2025,17019,5886,0.7405708460754332,0.7288250205485328,0.16947357308007482,0.7351454496392568
PABS_4H_0.5S,2026,22906,3888,0.6689814814814815,0.6714580220923935,0.20837058658896923,0.6557811625505297
PABS_4H_1.0S,2024,11106,5915,0.27523245984784445,0.6868568422102361,0.18599055528339334,0.23320931995361097
PABS_4H_1.0S,2025,17019,5886,0.3049609242269793,0.6862650467872612,0.19218670456252762,0.27749861686551325
PABS_4H_1.0S,2026,22906,3888,0.24228395061728394,0.6715323811624097,0.1597561522926079,0.2384489876991526
PABS_4H_1.5S,2024,11106,5915,0.1073541842772612,0.6893662013839179,0.09186232135601007,0.06653864325477628
PABS_4H_1.5S,2025,17019,5886,0.12708120965001699,0.6994585795675714,0.10427567889885049,0.08492496797946757
PABS_4H_1.5S,2026,22906,3888,0.10468106995884774,0.7244853952696526,0.07647978696084491,0.09738601966720503
PABS_8H_0.5S,2024,11106,5915,0.9049873203719357,0.7665997647908214,0.07760962755257685,0.9275260038292978
PABS_8H_0.5S,2025,17015,5886,0.9238871899422358,0.7762397874743866,0.06553058042785818,0.9269651162939256
PABS_8H_0.5S,2026,22902,3888,0.8935185185185185,0.6673244168550919,0.09428362297707217,0.8907506641638497
PABS_8H_1.0S,2024,11106,5915,0.5220625528317836,0.6935704879483735,0.2239891954107503,0.5026617978160092
PABS_8H_1.0S,2025,17015,5886,0.5664288141352362,0.6832705167430464,0.22407152075497283,0.5397752768234955
PABS_8H_1.0S,2026,22902,3888,0.4632201646090535,0.6483032505765977,0.23002896605086764,0.4680653110546523
PABS_8H_1.5S,2024,11106,5915,0.2603550295857988,0.6796492764378479,0.18217039618667327,0.21049245197236247
PABS_8H_1.5S,2025,17015,5886,0.29340808698606863,0.6915449615480092,0.18703382894063988,0.2581548912191189
PABS_8H_1.5S,2026,22902,3888,0.22968106995884774,0.668161755221001,0.15513097660600003,0.2197278727434297
PABS_12H_0.5S,2024,11106,5915,0.9702451394759087,0.749231731850655,0.028550646733030916,0.9919986850685815
PABS_12H_0.5S,2025,17011,5886,0.9797825348284064,0.7732622440340797,0.019891180973612588,0.9885525380272289
PABS_12H_0.5S,2026,22898,3888,0.9639917695473251,0.6748780301875286,0.036338666600483405,0.9821980427449881
PABS_12H_1.0S,2024,11106,5915,0.6929839391377853,0.6807845310933256,0.1962181868828904,0.698048072273311
PABS_12H_1.0S,2025,17011,5886,0.7234114848793748,0.6993029741385777,0.1815423612061845,0.7122466526514674
PABS_12H_1.0S,2026,22898,3888,0.6219135802469136,0.6378431604238056,0.2252744636666057,0.6471443102332219
PABS_12H_1.5S,2024,11106,5915,0.400676246830093,0.6620068676986067,0.22426274715865124,0.3698384298579942
PABS_12H_1.5S,2025,17011,5886,0.4471627590893646,0.683095437366776,0.22229533350512004,0.4087262772180126
PABS_12H_1.5S,2026,22898,3888,0.33719135802469136,0.6426224830521243,0.20374682540607925,0.3575400799512589
