combo,total_delta,min_year_delta,mean_recovery,EXACT,EARLY,LATE,FALSE,signals,positive_both
CYCLE_MIN,46.220000000004745,-292.7499999999931,0.00770033070835989,12,7,3,1,23,False
CYCLE_MIN+LTF_DELIVERY,-402.4899999999942,-583.7799999999927,-0.031885834128268675,9,6,4,1,20,False
CYCLE_MIN+LTF_DELIVERY+PHA_NHA,381.55000000000723,-421.7999999999936,0.041173894783627964,15,11,11,3,40,False
CYCLE_MIN+LTF_DELIVERY+POSITION_DAMAGE,74.83000000000905,-171.62999999999164,0.009073062579199119,9,4,2,1,16,False
CYCLE_MIN+LTF_DELIVERY+POSITION_DAMAGE+PHA_NHA,-3.6199999999917054,-758.8699999999914,0.008172786824500858,13,11,11,2,37,False
CYCLE_MIN+PHA_NHA,1035.0300000000082,416.16000000000196,0.09190126493191447,14,9,8,1,32,True
CYCLE_MIN+POSITION_DAMAGE,157.50000000000858,-109.13999999999129,0.01626681094737776,10,5,1,1,17,False
CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,-31.32999999999214,-531.4499999999917,0.0029735581725017154,15,15,16,2,48,False
CYCLE_MIN+REVERSAL_PRESSURE,1379.1900000000069,156.22000000000827,0.12996286252025704,12,3,1,1,17,True
CYCLE_MIN+REVERSAL_PRESSURE+LTF_DELIVERY,1975.8200000000043,48.670000000008145,0.1881499586199726,18,10,7,2,37,True
CYCLE_MIN+REVERSAL_PRESSURE+LTF_DELIVERY+PHA_NHA,547.0800000000035,-426.0099999999919,0.057029727332976975,15,8,10,3,36,False
CYCLE_MIN+REVERSAL_PRESSURE+LTF_DELIVERY+POSITION_DAMAGE,992.0900000000038,164.26000000000948,0.09290348754237153,14,9,4,1,28,True
CYCLE_MIN+REVERSAL_PRESSURE+PHA_NHA,1406.8500000000095,5.2200000000076585,0.13429948228753844,18,11,10,3,42,True
CYCLE_MIN+REVERSAL_PRESSURE+POSITION_DAMAGE,1732.6400000000067,280.3500000000105,0.16232492760471365,17,5,3,1,26,True
CYCLE_MIN+REVERSAL_PRESSURE+POSITION_DAMAGE+PHA_NHA,504.4800000000081,-541.4499999999931,0.054257152218423824,16,11,9,3,39,False
LTF_DELIVERY,-319.2999999999931,-172.33000000000084,-0.02884426058807115,9,6,7,3,25,False
LTF_DELIVERY+PHA_NHA,-289.589999999995,-181.39000000000055,-0.0264420761759999,4,9,14,3,30,False
LTF_DELIVERY+POSITION_DAMAGE,-644.369999999991,-454.37999999999147,-0.05643859277815162,8,8,7,3,26,False
LTF_DELIVERY+POSITION_DAMAGE+PHA_NHA,1105.3200000000068,266.79000000000804,0.10256634161098095,14,14,26,4,58,True
OPP_PRESSURE_GAIN,1788.5299999999938,774.2200000000015,0.16211876253472257,8,9,13,6,36,True
OPP_PRESSURE_GAIN+CYCLE_MIN,2422.0599999999995,1190.1799999999955,0.217485286412809,12,7,7,1,27,True
OPP_PRESSURE_GAIN+CYCLE_MIN+LTF_DELIVERY,1815.7700000000032,492.2499999999977,0.1585542272696735,8,4,5,1,18,True
OPP_PRESSURE_GAIN+CYCLE_MIN+LTF_DELIVERY+PHA_NHA,1020.980000000007,441.1900000000097,0.09255395370005005,8,5,12,3,28,True
OPP_PRESSURE_GAIN+CYCLE_MIN+LTF_DELIVERY+POSITION_DAMAGE,-17.619999999996196,-486.45999999999276,0.003777877128406902,11,8,6,1,26,False
OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA,609.0900000000049,97.92000000000736,0.057070608171580633,8,6,13,1,28,True
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE,1288.5400000000043,179.98999999999796,0.11061539193530767,11,6,2,1,20,True
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,1286.2600000000048,459.46000000000095,0.11356036031712513,5,3,3,0,11,True
OPP_PRESSURE_GAIN+CYCLE_MIN+REVERSAL_PRESSURE,2152.89,723.1499999999959,0.1895577763094482,11,6,5,1,23,True
