child_id,route_id,role,direction,entry_time,exit_time,semantic_entry,actual_entry,actual_exit,structural_sl,atr180,era_risk,volume,price_pnl,calc_profit,position_id,exit_reason,policy,policy_exit_time,policy_exit_price,policy_pnl,policy_reason,policy_changed
1,14,INDEPENDENT_CHILD,DOWN,2024-02-13 15:42:01,2024-02-15 11:48:14,2011.85,2011.68,1996.3,2037.12,8.5895175,2.94195803,0.01,15.38,15.38,2,CHALLENGE_OPENS,ORACLE_TICK,2024-02-15 01:00:05,1993.05,18.63000000000011,ORACLE_HA1_TICK_QUOTE,True
2,14,INDEPENDENT_CHILD,DOWN,2024-02-13 15:47:26,2024-02-15 11:48:14,2009.11,2007.26,1996.3,2037.12,8.5895175,3.2609515,0.01,10.96,10.96,3,CHALLENGE_OPENS,ORACLE_TICK,2024-02-15 01:00:05,1993.05,14.210000000000036,ORACLE_HA1_TICK_QUOTE,True
3,15,INDEPENDENT_CHILD,UP,2024-02-16 17:36:59,2024-02-21 19:11:18,2008.29,2009.43,2022.78,1990.22,8.47080184,2.1332101,0.01,13.35,13.35,6,CHALLENGE_OPENS,ORACLE_TICK,2024-02-21 19:11:18,2022.78,13.35,CHALLENGE_OPENS,False
4,15,INDEPENDENT_CHILD,UP,2024-02-20 10:59:40,2024-02-21 19:11:18,2022.92,2023.12,2022.78,2014.94,8.33465792,0.95744781,0.01,-0.34,-0.34,7,CHALLENGE_OPENS,ORACLE_TICK,2024-02-21 19:11:18,2022.78,-0.34,CHALLENGE_OPENS,False
5,15,INDEPENDENT_CHILD,UP,2024-02-21 06:07:24,2024-02-21 19:11:18,2030.89,2031.1,2022.78,2022.85,8.26322921,0.97298523,0.01,-8.32,-8.32,8,TICK_COLLISION_STOP_CHALLENGE_OPENS,ORACLE_TICK,2024-02-21 19:11:18,2022.78,-8.32,TICK_COLLISION_STOP_CHALLENGE_OPENS,False
6,16,INDEPENDENT_CHILD,UP,2024-02-22 10:05:47,2024-02-22 15:20:35,2032.19,2032.48,2025.47,2025.5,8.1663213,0.81921832,0.01,-7.01,-7.01,12,STRUCTURAL_SL,ORACLE_TICK,2024-02-22 15:20:35,2025.47,-7.01,STRUCTURAL_SL,False
7,16,INDEPENDENT_CHILD,UP,2024-02-22 10:07:00,2024-02-22 15:20:35,2032.91,2033.38,2025.6,2025.5,8.1663213,0.90738531,0.01,-7.78,-7.78,13,STRUCTURAL_SL,ORACLE_TICK,2024-02-22 15:20:35,2025.6,-7.78,STRUCTURAL_SL,False
8,17,INDEPENDENT_CHILD,DOWN,2024-02-23 08:26:40,2024-02-23 14:35:32,2019.55,2019.51,2028.27,2027.36,8.10125977,0.96404759,0.01,-8.76,-8.76,16,STRUCTURAL_SL,ORACLE_TICK,2024-02-23 14:35:32,2028.27,-8.76,STRUCTURAL_SL,False
9,18,INDEPENDENT_CHILD,UP,2024-02-23 18:34:52,2024-02-28 08:52:53,2037.12,2037.43,2028.66,2016.03,8.11790384,2.5979613,0.01,-8.77,-8.77,18,CHALLENGE_OPENS,ORACLE_TICK,2024-02-27 20:00:00,2032.28,-5.150000000000091,ORACLE_HA1_TICK_QUOTE,True
10,18,INDEPENDENT_CHILD,UP,2024-02-23 19:00:11,2024-02-28 08:52:53,2038.64,2038.83,2028.66,2016.03,8.11790384,2.78520175,0.01,-10.17,-10.17,19,CHALLENGE_OPENS,ORACLE_TICK,2024-02-27 20:00:00,2032.28,-6.5499999999999545,ORACLE_HA1_TICK_QUOTE,True
11,18,INDEPENDENT_CHILD,UP,2024-02-27 10:23:49,2024-02-28 08:52:53,2036.93,2037.48,2028.66,2025.04,8.00026445,1.48620087,0.01,-8.82,-8.82,20,CHALLENGE_OPENS,ORACLE_TICK,2024-02-27 20:00:00,2032.28,-5.2000000000000455,ORACLE_HA1_TICK_QUOTE,True
