route_id,direction,first_entry,last_entry,challenge_ts,entry_year,route_child_count,oracle_ts,oracle_ha_idx,oracle_exec_ref,oracle_is_transition_ha1,base_route_pnl,oracle_route_pnl,oracle_gain,open_children_at_oracle
14,DOWN,2024-02-13 15:42:01,2024-02-13 15:47:26,2024-02-15 11:48:14,2024,2,2024-02-15 01:00:05,3281,1993.05,True,26.340000000000003,32.840000000000146,6.500000000000142,2
16,UP,2024-02-22 10:05:47,2024-02-22 10:07:00,2024-02-22 18:47:52,2024,2,2024-02-22 16:00:00,3315,2025.6,True,-14.79,-14.79,0.0,0
18,UP,2024-02-23 18:34:52,2024-02-27 10:23:49,2024-02-28 08:52:53,2024,3,2024-02-27 20:00:00,3334,2032.28,True,-27.759999999999998,-16.90000000000009,10.859999999999907,3
19,DOWN,2024-02-28 11:38:29,2024-02-28 11:38:29,2024-02-29 15:31:23,2024,1,2024-02-28 16:00:00,3339,2036.06,True,-7.25,-7.25,0.0,0
21,DOWN,2024-03-12 16:09:36,2024-03-18 04:46:24,2024-03-20 16:01:56,2024,3,2024-03-18 16:00:00,3417,2156.88,True,-30.839999999999996,-18.370000000000346,12.46999999999965,3
22,UP,2024-03-20 16:02:24,2024-03-20 20:54:18,2024-03-22 09:18:05,2024,4,2024-03-21 20:00:00,3436,2181.06,True,-14.26,43.91999999999962,58.179999999999616,4
23,UP,2024-03-25 15:42:16,2024-04-09 10:14:47,2024-04-10 15:30:14,2024,11,2024-04-09 20:00:00,3508,2344.96,True,939.66,1015.3699999999999,75.70999999999992,10
24,UP,2024-04-11 16:47:53,2024-04-11 22:40:41,2024-04-15 17:06:54,2024,3,2024-04-15 01:00:05,3527,2354.54,True,-71.78999999999999,-9.13000000000011,62.65999999999988,3
25,DOWN,2024-04-15 17:10:26,2024-04-15 17:10:26,2024-04-16 18:07:23,2024,1,2024-04-16 01:00:05,3533,2383.54,True,-35.66,-35.66,0.0,0
26,DOWN,2024-04-17 19:45:22,2024-04-17 19:45:22,2024-04-19 04:21:33,2024,1,2024-04-18 08:00:00,3547,2375.34,True,-30.44,-12.370000000000346,18.069999999999656,1
27,UP,2024-04-19 04:27:03,2024-04-19 04:31:03,2024-04-22 05:59:32,2024,2,2024-04-19 12:00:00,3554,2384.25,True,-49.78,-26.730000000000018,23.049999999999983,2
28,DOWN,2024-04-22 06:01:14,2024-04-23 04:38:09,2024-04-24 18:00:04,2024,5,2024-04-23 20:00:00,3568,2330.52,True,19.689999999999998,30.3400000000006,10.650000000000603,5
29,DOWN,2024-04-25 06:11:38,2024-04-25 06:11:38,2024-04-25 17:35:39,2024,1,2024-04-25 12:00:00,3578,2327.06,True,-26.0,-15.429999999999836,10.570000000000164,1
30,UP,2024-04-26 10:20:56,2024-04-26 10:20:56,2024-04-29 04:00:32,2024,1,2024-04-26 20:00:00,3586,2333.55,True,-17.82,-12.549999999999727,5.270000000000273,1
