route_id,direction,last_child_entry,challenge_ts,oracle_ha_bar_start,oracle_ha_ts,oracle_exec_ref,oracle_source_close,oracle_h4_bid,oracle_h4_ask,oracle_ha_index
14,DOWN,2024-02-13 15:47:26,2024-02-15 11:48:14,2024-02-14 20:00:00,2024-02-15 01:00:05,1993.05,1992.12,1991.84,1993.05,3281
16,UP,2024-02-22 10:07:00,2024-02-22 18:47:52,2024-02-22 12:00:00,2024-02-22 16:00:00,2025.6,2025.58,2025.6,2025.83,3315
18,UP,2024-02-27 10:23:49,2024-02-28 08:52:53,2024-02-27 16:00:00,2024-02-27 20:00:00,2032.28,2032.24,2032.28,2032.45,3334
19,DOWN,2024-02-28 11:38:29,2024-02-29 15:31:23,2024-02-28 12:00:00,2024-02-28 16:00:00,2036.06,2035.76,2035.79,2036.06,3339
21,DOWN,2024-03-18 04:46:24,2024-03-20 16:01:56,2024-03-18 12:00:00,2024-03-18 16:00:00,2156.88,2156.67,2156.64,2156.88,3417
22,UP,2024-03-20 20:54:18,2024-03-22 09:18:05,2024-03-21 16:00:00,2024-03-21 20:00:00,2181.06,2180.82,2181.06,2181.24,3436
23,UP,2024-04-09 10:14:47,2024-04-10 15:30:14,2024-04-09 16:00:00,2024-04-09 20:00:00,2344.96,2344.98,2344.96,2345.18,3508
24,UP,2024-04-11 22:40:41,2024-04-15 17:06:54,2024-04-12 20:00:00,2024-04-15 01:00:05,2354.54,2343.81,2354.54,2355.27,3527
25,DOWN,2024-04-15 17:10:26,2024-04-16 18:07:23,2024-04-15 20:00:00,2024-04-16 01:00:05,2383.54,2383.04,2382.41,2383.54,3533
26,DOWN,2024-04-17 19:45:22,2024-04-19 04:21:33,2024-04-18 04:00:00,2024-04-18 08:00:00,2375.34,2375.07,2375.15,2375.34,3547
27,UP,2024-04-19 04:31:03,2024-04-22 05:59:32,2024-04-19 08:00:00,2024-04-19 12:00:00,2384.25,2384.25,2384.25,2384.51,3554
28,DOWN,2024-04-23 04:38:09,2024-04-24 18:00:04,2024-04-23 16:00:00,2024-04-23 20:00:00,2330.52,2330.3,2330.28,2330.52,3568
29,DOWN,2024-04-25 06:11:38,2024-04-25 17:35:39,2024-04-25 08:00:00,2024-04-25 12:00:00,2327.06,2326.88,2326.87,2327.06,3578
30,UP,2024-04-26 10:20:56,2024-04-29 04:00:32,2024-04-26 16:00:00,2024-04-26 20:00:00,2333.55,2333.58,2333.55,2333.74,3586
31,DOWN,2024-04-30 21:55:01,2024-05-03 15:30:06,2024-05-01 12:00:00,2024-05-01 16:00:00,2298.47,2298.25,2298.25,2298.47,3603
