route_id,direction,entry_year,ha_idx,ha_ts,label,decision_ts,decision_px,challenge_ts,pha_start_idx,pha_start_time,pha_bars,pha_range,pha_directional_move,ha1_range,ha1_body,ha1_range_over_pha_range,ha1_body_over_pha_range,ha1_retrace_over_pha_range,ha1_range_over_pha_move,ha1_body_over_pha_move,open_count,alive_child_entered_in_pha,alive_children_entered_in_pha_count
14,DOWN,2024,3281,2024-02-15 01:00:05,EXACT,2024-02-15 01:00:05,1993.05,2024-02-15 11:48:14,3273,2024-02-13 12:00:00,8,48.75,31.082755001859596,6.519999999999982,1.8880263476489745,0.13374358974358938,0.03872874559279948,0.2453333333333294,0.20976261594604173,0.06074192418065963,2,1,2
15,UP,2024,3297,2024-02-19 16:00:00,NO_ORACLE,2024-02-19 16:00:00,2016.78,2024-02-21 19:11:18,3292,2024-02-16 16:00:00,5,27.6400000000001,17.340367688646438,4.559999999999945,0.2533478847299193,0.164978292329954,0.009165987146523821,0.25144717800289507,0.26297020235537416,0.014610294849503,1,1,1
15,UP,2024,3300,2024-02-20 04:00:00,NO_ORACLE,2024-02-20 04:00:00,2016.9,2024-02-21 19:11:18,3299,2024-02-19 20:00:00,1,1.5900000000001455,0.18666302881752017,4.25,0.29166848559111713,2.6729559748425227,0.18343929911389337,2.1823899371067355,22.768300862377817,1.5625401957676857,1,0,0
15,UP,2024,3306,2024-02-21 04:00:00,NO_ORACLE,2024-02-21 04:00:00,2025.35,2024-02-21 19:11:18,3301,2024-02-20 04:00:00,5,14.150000000000091,8.901665757204228,3.316197945087424,1.5886979450874605,0.23436027880476346,0.11227547315105656,0.5681978798586671,0.372536785309377,0.17847198360618155,2,1,1
16,UP,2024,3315,2024-02-22 16:00:00,EXACT,2024-02-22 16:00:00,2025.6,2024-02-22 18:47:52,3312,2024-02-22 00:00:00,3,9.899999999999864,4.6524422196080195,8.519999999999982,1.2903197225489293,0.8606060606060706,0.13033532550999466,1.2353535353535312,1.8312962521257952,0.27734244975913797,0,0,0
18,UP,2024,3327,2024-02-26 16:00:00,EARLY,2024-02-26 16:00:00,2032.55,2024-02-28 08:52:53,3322,2024-02-23 16:00:00,5,19.298747502167544,11.713747502167735,4.730000000000018,0.05417976555736459,0.24509362586710703,0.0028074239300389507,0.5497766110887888,0.403799040326308,0.004625314447604247,2,1,2
18,UP,2024,3334,2024-02-27 20:00:00,EXACT,2024-02-27 20:00:00,2032.28,2024-02-28 08:52:53,3330,2024-02-27 00:00:00,4,8.910000000000082,5.564477529305577,7.389999999999873,1.6950326544183554,0.8294051627384742,0.1902393551535735,1.095398428731751,1.328067183501074,0.3046166770359639,3,1,1
19,DOWN,2024,3339,2024-02-28 16:00:00,EXACT,2024-02-28 16:00:00,2036.06,2024-02-29 15:31:23,3334,2024-02-27 16:00:00,5,12.269999999999982,7.142532654418346,11.649999999999864,0.12078022954960943,0.9494702526487271,0.00984353949059573,0.9209453952730213,1.631074097056205,0.016910000330890358,0,0,0
20,UP,2024,3366,2024-03-06 04:00:00,NO_ORACLE,2024-03-06 04:00:00,2125.46,2024-03-12 07:44:14,3339,2024-02-28 12:00:00,27,117.27999999999975,99.94828022954925,3.3400000000001455,1.6139971900297496,0.02847885402455792,0.01376191328470117,0.14188267394270046,0.03341728334223693,0.016148323776286236,9,1,9
20,UP,2024,3379,2024-03-08 08:00:00,NO_ORACLE,2024-03-08 08:00:00,2157.71,2024-03-12 07:44:14,3368,2024-03-06 08:00:00,11,40.42000000000007,33.00900070249281,5.160000000000309,1.2716057125480802,0.12765957446809253,0.03145981475873523,0.2657100445324151,0.15632100003592747,0.038522999348236844,10,1,1
21,DOWN,2024,3399,2024-03-13 16:00:00,EARLY,2024-03-13 16:00:00,2166.26,2024-03-20 16:01:56,3391,2024-03-12 04:00:00,8,32.279999999999745,22.151416407644774,13.509999999999764,4.061976889032849,0.4185254027261422,0.12583571527363324,0.6502478314745956,0.6098932795709292,0.1833732351142567,1,1,1
21,DOWN,2024,3409,2024-03-15 08:00:00,EARLY,2024-03-15 08:00:00,2169.35,2024-03-20 16:01:56,3403,2024-03-14 04:00:00,6,22.66000000000031,9.643626444435085,7.630000000000109,2.7891620868058453,0.33671668137687577,0.12308747073282468,0.7268314210061796,0.791196138087975,0.28922336455860426,1,0,0
