rule,signals,PnL,PF,DD,delta_vs_BASE,oracle_recovery,EXACT,EARLY,LATE,MISS,FALSE_NO_ORACLE,exact_recall_156
PHA-entry & HA1_range/PHA_range >= 0.2,136,7458.349999999994,1.6991978070705847,1948.7199999999975,248.0399999999936,0.01976044326361148,79,40,0,37,17,0.5064102564102564
PHA-entry & HA1_range/PHA_range >= 0.3,100,8880.02,1.8489178234101946,2266.3000000000084,1669.71,0.1330197134401128,68,22,0,66,10,0.4358974358974359
PHA-entry & HA1_range/PHA_range >= 0.4,61,6686.779999999997,1.5654504895320145,2083.359999999997,-523.5300000000034,-0.041707728034989726,41,18,0,97,2,0.26282051282051283
PHA-entry & HA1_range/PHA_range >= 0.5,31,5766.239999999997,1.4661618272524355,2225.239999999999,-1444.0700000000033,-0.11504379657992353,25,5,0,126,1,0.16025641025641027
PHA-entry & HA1_range/PHA_range >= 0.6,18,5725.56,1.45857895276418,1867.5199999999995,-1484.75,-0.11828462399471014,13,4,0,139,1,0.08333333333333333
PHA-entry & HA1_range/PHA_range >= 0.75,10,6809.760000000001,1.5368936179942176,1983.6999999999998,-400.5499999999993,-0.03191035941477088,7,3,0,146,0,0.04487179487179487
PHA-entry & HA1_range/PHA_range >= 1,6,7224.24,1.571524862166928,1700.619999999999,13.929999999999382,0.001109752357128297,5,1,0,150,0,0.03205128205128205
PHA-entry & HA1_body/PHA_range >= 0.03,129,5602.84,1.5287269330036757,2055.6800000000003,-1607.4700000000003,-0.12806127936203182,71,41,0,44,17,0.4551282051282051
PHA-entry & HA1_body/PHA_range >= 0.05,109,7100.639999999998,1.6768999632028398,1976.75,-109.6700000000028,-0.0087370094046137,66,33,0,57,10,0.4230769230769231
PHA-entry & HA1_body/PHA_range >= 0.075,83,5856.22,1.5259521972677739,2640.0699999999997,-1354.0900000000001,-0.10787541775046106,52,23,0,81,8,0.3333333333333333
PHA-entry & HA1_body/PHA_range >= 0.1,61,7173.879999999999,1.6330286967808885,1624.33,-36.4300000000012,-0.0029022453962804728,44,14,0,98,3,0.28205128205128205
PHA-entry & HA1_body/PHA_range >= 0.15,28,7769.220000000005,1.6489654769163953,1561.88,558.9100000000044,0.04452632375610976,24,4,0,128,0,0.15384615384615385
PHA-entry & HA1_body/PHA_range >= 0.2,8,7465.590000000003,1.5926407221945267,1700.619999999999,255.28000000000247,0.020337227690432662,8,0,0,148,0,0.05128205128205128
