rule,year,signals,BASE,CAND,ORACLE,delta,recovery,PF,DD,EXACT,EARLY,LATE,MISS,FALSE_NO_ORACLE
max_loss_ATR>=0.5,2024,39,1902.3600000000004,2254.960000000001,3351.6299999999983,352.6000000000006,0.24329490019113145,2.1636040889411796,576.9199999999985,26,9,1,22,3
max_loss_ATR>=0.5,2025,36,2848.1600000000003,2617.8899999999976,8018.460000000001,-230.2700000000027,-0.044537067481577985,1.8257468465427877,1102.1900000000019,17,16,1,23,2
max_loss_ATR>=0.5,2026,28,2459.7899999999995,3250.4200000000055,8392.570000000005,790.630000000006,0.13326467524499563,1.574732032661781,2234.8499999999976,16,9,0,16,3
max_loss_ATR>=0.75,2024,32,1902.3600000000004,2043.5400000000013,3351.6299999999983,141.18000000000097,0.09741456043387442,1.985360914219587,658.3799999999978,18,9,3,28,2
max_loss_ATR>=0.75,2025,26,2848.1600000000003,3096.340000000003,8018.460000000001,248.18000000000256,0.04800108310929782,1.9225511578295023,1113.1899999999998,13,10,1,33,2
max_loss_ATR>=0.75,2026,22,2459.7899999999995,4407.120000000004,8392.570000000005,1947.330000000005,0.32823229582084673,1.7887209002663014,1639.02,12,6,3,20,1
max_loss_ATR>=1,2024,20,1902.3600000000004,1835.8199999999997,3351.6299999999983,-66.54000000000065,-0.04591276987724906,1.8119648290991432,729.4899999999986,11,6,2,39,1
max_loss_ATR>=1,2025,18,2848.1600000000003,2984.3900000000012,8018.460000000001,136.23000000000093,0.026348567781366825,1.8506582904116775,1136.2599999999998,11,6,0,40,1
max_loss_ATR>=1,2026,15,2459.7899999999995,3994.450000000004,8392.570000000005,1534.6600000000044,0.25867468539200894,1.6956221145992798,1955.6199999999992,7,4,3,27,1
max_loss_ATR>=1.5,2024,3,1902.3600000000004,1921.5500000000004,3351.6299999999983,19.190000000000055,0.013241148992251327,1.7904360345536814,712.3199999999997,2,1,0,55,0
max_loss_ATR>=1.5,2025,6,2848.1600000000003,2885.620000000001,8018.460000000001,37.46000000000049,0.00724522754965872,1.7899099395034357,1059.7500000000002,5,1,0,51,0
max_loss_ATR>=1.5,2026,4,2459.7899999999995,3315.340000000004,8392.570000000005,855.5500000000043,0.14420726876776205,1.5449249921515842,1700.6199999999994,3,0,1,37,0
max_loss_ATR>=2,2024,2,1902.3600000000004,1930.1100000000006,3351.6299999999983,27.750000000000227,0.019147570846012315,1.7967627681180958,712.3199999999997,2,0,0,56,0
max_loss_ATR>=2,2025,1,2848.1600000000003,2904.0500000000006,8018.460000000001,55.89000000000033,0.010809817612130885,1.7885376191678688,1084.9500000000005,1,0,0,56,0
max_loss_ATR>=2,2026,1,2459.7899999999995,2882.060000000002,8392.570000000005,422.2700000000027,0.07117573886104023,1.4422161904221222,1700.6199999999983,1,0,0,40,0
total_loss_ATR>=0.5,2024,39,1902.3600000000004,2254.960000000001,3351.6299999999983,352.6000000000006,0.24329490019113145,2.1636040889411796,576.9199999999985,26,9,1,22,3
total_loss_ATR>=0.5,2025,37,2848.1600000000003,2658.7799999999975,8018.460000000001,-189.38000000000284,-0.03662843548730302,1.8474334252338669,1061.300000000002,17,17,1,22,2
total_loss_ATR>=0.5,2026,29,2459.7899999999995,3366.6000000000063,8392.570000000005,906.8100000000068,0.15284740037554162,1.6077597411975408,2118.669999999997,17,9,0,15,3
total_loss_ATR>=1,2024,26,1902.3600000000004,2052.5099999999998,3351.6299999999983,150.1499999999994,0.10360388333436808,1.9908088146556926,631.0999999999983,16,7,2,33,1
total_loss_ATR>=1,2025,25,2848.1600000000003,3221.220000000003,8018.460000000001,373.0600000000027,0.07215442043982025,2.016301998706442,829.1499999999994,13,10,1,33,1
total_loss_ATR>=1,2026,18,2459.7899999999995,3743.8800000000033,8392.570000000005,1284.0900000000038,0.21643984776108374,1.6470136872666956,2139.59,8,5,4,24,1
total_loss_ATR>=1.5,2024,9,1902.3600000000004,1827.0700000000002,3351.6299999999983,-75.29000000000019,-0.051950292216081405,1.7633912156967615,887.4699999999993,6,3,0,49,0
total_loss_ATR>=1.5,2025,14,2848.1600000000003,2581.340000000003,8018.460000000001,-266.81999999999744,-0.051606289770419006,1.7376057972008396,1024.4399999999987,7,6,1,43,0
total_loss_ATR>=1.5,2026,12,2459.7899999999995,4447.900000000004,8392.570000000005,1988.1100000000047,0.3351059705568052,1.8182619269692184,1493.7800000000007,9,1,2,29,0
total_loss_ATR>=2,2024,6,1902.3600000000004,1987.1400000000003,3351.6299999999983,84.77999999999997,0.05849841644414091,1.8386573986148567,712.3199999999997,6,0,0,52,0
total_loss_ATR>=2,2025,6,2848.1600000000003,2883.8400000000047,8018.460000000001,35.680000000004384,0.006900953523007248,1.7885786475836836,1059.0799999999995,4,1,1,51,0
total_loss_ATR>=2,2026,7,2459.7899999999995,4082.420000000001,8392.570000000005,1622.6300000000015,0.27350247270251044,1.7095615840262528,1603.9000000000005,6,1,0,34,0
losing_count>=1,2024,51,1902.3600000000004,2225.950000000002,3351.6299999999983,323.59000000000174,0.2232779261283282,2.228734033274823,513.1299999999978,33,11,2,12,5
losing_count>=1,2025,48,2848.1600000000003,3305.0399999999986,8018.460000000001,456.8799999999983,0.08836624567239777,2.1724698194666656,891.9000000000015,24,19,0,14,5
losing_count>=1,2026,36,2459.7899999999995,1441.3700000000017,8392.570000000005,-1018.4199999999978,-0.17165982895033977,1.2479912872622667,2006.3999999999992,16,15,0,10,5
losing_count>=2,2024,19,1902.3600000000004,1816.04,3351.6299999999983,-86.32000000000039,-0.05956102037577574,1.8640362354351725,714.9399999999982,12,4,1,41,2
losing_count>=2,2025,18,2848.1600000000003,2709.5500000000034,8018.460000000001,-138.60999999999694,-0.026808889232732513,1.8693204057930115,855.4099999999994,8,10,0,39,0
losing_count>=2,2026,17,2459.7899999999995,3035.070000000001,8392.570000000005,575.2800000000016,0.09696634629971126,1.561280837371011,2106.4900000000007,10,6,1,24,0
losing_count>=3,2024,5,1902.3600000000004,1777.67,3351.6299999999983,-124.69000000000028,-0.08603641833474815,1.7341769537977374,870.9899999999998,4,1,0,53,0
losing_count>=3,2025,6,2848.1600000000003,2516.570000000005,8018.460000000001,-331.58999999999514,-0.06413360926832004,1.7016159160482005,1017.6499999999987,2,3,1,51,0
losing_count>=3,2026,6,2459.7899999999995,2911.4799999999977,8392.570000000005,451.68999999999824,0.07613462828555884,1.4759988032508418,2014.9100000000005,3,2,1,35,0
