combo,mean_auc,min_auc,mean_pair,min_pair,years
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE,0.7488182773109243,0.7297794117647058,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE,0.7424914410208527,0.7058823529411764,0.5892857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+POSITION_DAMAGE,0.7342728758169934,0.7222222222222222,0.6190476190476191,0.5714285714285714,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE,0.7286025521319639,0.7058823529411764,0.5476190476190476,0.42857142857142855,2
RESILIENT_PRESSURE,0.7234574385309679,0.7022058823529411,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE,0.7227863367569249,0.6691176470588236,0.6190476190476191,0.5714285714285714,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY,0.721103719265484,0.6948529411764706,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY,0.7205104263927793,0.6764705882352942,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE,0.7189737005913477,0.698529411764706,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN,0.7162503890445067,0.6838235294117647,0.5476190476190476,0.42857142857142855,2
CYCLE_MIN+RESILIENT_PRESSURE,0.7122043261749144,0.6691176470588235,0.47619047619047616,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE,0.710745409274821,0.7058823529411764,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE,0.7093448490507314,0.6911764705882353,0.5059523809523809,0.42857142857142855,2
CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE,0.7080610021786492,0.6985294117647058,0.43452380952380953,0.2857142857142857,2
RESILIENT_PRESSURE+POSITION_DAMAGE,0.706271397447868,0.6772486772486772,0.5773809523809523,0.5714285714285714,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY,0.6984224245253656,0.6580882352941176,0.5773809523809523,0.5714285714285714,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+OLD_BEST3,0.6974984438219733,0.6397058823529412,0.47619047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE,0.6960395269218799,0.6764705882352942,0.5892857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,0.6956018518518519,0.6875,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+OLD_BEST3,0.6953003423591659,0.6617647058823529,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY,0.6945611577964519,0.6470588235294118,0.5476190476190476,0.42857142857142855,2
CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY,0.6902233115468409,0.6397058823529411,0.43452380952380953,0.2857142857142857,2
CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE,0.6900093370681606,0.6617647058823529,0.47619047619047616,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE,0.688910286336757,0.6727941176470589,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN,0.6883850762527233,0.6360294117647058,0.6309523809523809,0.42857142857142855,2
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE,0.6883461718020543,0.6286764705882353,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+POSITION_DAMAGE,0.685749299719888,0.6691176470588235,0.5892857142857143,0.42857142857142855,2
CYCLE_MIN,0.6856958061002179,0.6121323529411764,0.5595238095238095,0.2857142857142857,2
RESILIENT_PRESSURE+DELIVERY,0.6807452147525677,0.6452205882352942,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY+POSITION_DAMAGE,0.6795732181761593,0.6580882352941176,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,0.6794176003734826,0.6286764705882353,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+OLD_BEST3,0.6787562247121071,0.6286764705882353,0.47619047619047616,0.2857142857142857,2
