state,year,auc,n
LIQ_CHILD,2025,0.5958646616541353,113
LIQ_CHILD,2026,0.5314116777531411,74
OLD_BEST3,2025,0.619674185463659,113
OLD_BEST3,2026,0.4700665188470067,74
LOCATION,2025,0.5778508771929824,113
LOCATION,2026,0.5214338507021433,74
DELIVERY,2025,0.6473997493734336,113
DELIVERY,2026,0.6245380635624538,74
POSITION_DAMAGE,2025,0.5278822055137844,113
POSITION_DAMAGE,2026,0.5957132298595713,74
PHA_NHA,2025,0.5789473684210527,113
PHA_NHA,2026,0.4453067257945306,74
CYCLE_MIN,2025,0.6607142857142858,113
CYCLE_MIN,2026,0.5687361419068736,74
RESILIENT_PRESSURE,2025,0.6613408521303257,113
RESILIENT_PRESSURE,2026,0.6289726533628973,74
LIQ_TRANSITION,2025,0.5855263157894737,113
LIQ_TRANSITION,2026,0.5365853658536586,74
SAME_DEPLETION,2025,0.6163847117794485,113
SAME_DEPLETION,2026,0.6019955654101996,74
