route_id,direction,entry_year,episode_no,ha1_idx,nha_idx,nha_bars,ha1_ts,state_ts,state_label,decision_ts,decision_px,challenge_ts,pha_start_time,pha_bars,pha_range,pha_move,alive_entry_in_pha,nha_range,nha_range_over_pha_range,nha_body_sum_over_pha_range,nha_close_penetration,nha_extreme_penetration,pha_retention,nha_range_over_pha_move,cycle_min,max_loss_entry_atr,total_loss_entry_atr,losing_count,losing_frac,m15_raw_opp_eff_cum,m15_ha_opp_eff_cum,m30_raw_opp_eff_cum,m30_ha_opp_eff_cum,closeha_opp_body,pressure_opp_flow2,liq_same_active_n,liq_same_d1_S,liq_opp_active_n,liq_opp_d1_S,liq_distance_ratio,child_liq_same_active_n,child_liq_same_d1_S,child_liq_opp_active_n,child_liq_opp_d1_S,child_liq_distance_ratio,liq_since_child_same_active_n,liq_since_child_opp_active_n,liq_since_child_same_d1_S,liq_since_child_opp_d1_S,liq_since_child_distance_ratio,prevha_liq_same_active_n_delta,prevha_liq_opp_active_n_delta,prevha_liq_same_d1_S_delta,prevha_liq_opp_d1_S_delta,prevha_liq_distance_ratio_delta,donchian_primary,bb_z_primary,macd_hist_primary_S,h4_rsi_primary,h1_rsi_primary,price_from_child_S,ha_opp_body_strength_S,resilient_pressure,route_delta_if_exit,SAME_PARTICIPATION_LOSS,OPP_PRESSURE_GAIN,CYCLE_MIN,RESILIENT_PRESSURE,DELIVERY,POSITION_DAMAGE,PHA_NHA,OLD_BEST3,combo_score,year_test,combo
89,UP,2025,3,4682,4682,1,2025-01-13 04:00:00,2025-01-13 04:00:00,EXACT,2025-01-13 04:00:00,2685.49,2025-01-13 12:04:52,2025-01-08 08:00:00,16,52.20999999999958,42.54443393322663,1,13.88000000000011,0.265849454127566,0.0031104141542465827,0.21236353189044588,0.35989274085424466,0.7876364681095541,0.32624714250011483,0.9630073341264533,0.0,0.0,0,0.0,0.21201255042581935,0.2801169590643194,0.17138103161398718,0.6198477290627591,0.10050175674140134,0.5738036930900993,5,0.9630073341264533,55,0.7903566168528176,1.2184466019416995,4,3.6757707263895525,54,0.24253619162394988,15.155555555555193,1,1,-2.712763392263099,0.5478204252288676,-13.937108953613492,-1.0,3.0,-0.20998166106730287,-1.224778323608276,0.6363570497029009,0.7621304018195644,1.3412137540254492,0.13346361972341833,64.84552739098439,54.026207604254765,0.5486456126696716,0.012461140180549888,0.2814952115502458,36.96999999999851,0.7258158508158508,0.803030303030303,0.4696969696969697,0.6818181818181818,0.38484848484848483,0.4838709677419355,0.11616161616161617,0.1818181818181818,0.6700903263403263,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
92,UP,2025,2,4741,4741,1,2025-01-27 01:00:05,2025-01-27 01:00:05,EXACT,2025-01-27 01:00:05,2769.67,2025-01-27 18:51:01,2025-01-23 16:00:00,7,45.61000000000013,30.136630092453743,1,4.938893514902702,0.10828532152823259,0.0639967883118332,0.2942337206752913,0.33852225389169066,0.7057662793247087,0.1638834036768898,1.1905694460696887,0.0,0.0,0,0.0,0.21338155515371962,0.2334963325182687,0.16028955532576736,0.33643892339545023,0.2586918927102866,0.6770370413834985,1,1.5158486066859291,62,2.7962873562998913,0.5420932878270899,1,2.1139050187002812,62,2.1868803514284014,0.96663039535727,0,0,-0.5980564120143521,0.6094070048714899,-0.42453710753018015,-1.0,1.0,0.6680503780365405,0.5769576007420811,0.16008686155074703,0.7533366287691508,1.1283022177274307,0.025687038058352454,64.61114149388047,52.52253968515983,0.6036354105322923,0.23214064363220305,0.3679680718522034,187.65000000000035,0.8988927738927739,0.5151515151515151,0.5606060606060606,0.8333333333333334,0.5757575757575758,0.4838709677419355,0.2474747474747475,0.4090909090909091,0.7019959207459208,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
94,UP,2025,2,4792,4792,1,2025-02-06 12:00:00,2025-02-06 12:00:00,EARLY,2025-02-06 12:00:00,2859.36,2025-02-12 12:43:16,2025-02-04 12:00:00,11,69.57999999999993,52.668707768777494,1,22.36999999999989,0.3215004311583776,0.09324700850352968,0.293367346938781,0.4811727507904578,0.7066326530612189,0.42473037497344934,1.8113389497860155,0.0,0.0,0,0.0,0.2599887450759743,0.4210192429689317,0.3344756682659397,0.5437554152741408,0.6131860620081994,0.3290817055211911,1,1.8113389497860155,66,4.106016498080722,0.44114263803681525,0,,65,4.674567141801055,,1,1,,-0.5685506437203331,,0.0,1.0,0.9859919649302559,0.25678954552150923,0.22672374431400785,0.7913303709077698,0.7715014209684027,0.03358856143974172,64.17158671973539,47.22073153165629,2.2545305311547486,0.5107430194520816,0.21202655443517954,-44.62000000000016,0.7776806526806527,0.5227272727272727,0.8939393939393939,0.5303030303030303,0.6454545454545454,0.4838709677419355,0.41414141414141414,0.5050505050505051,0.6811625874125874,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
99,DOWN,2025,2,4892,4892,1,2025-03-03 04:00:00,2025-03-03 04:00:00,EXACT,2025-03-03 04:00:00,2871.0,2025-03-03 14:31:54,2025-02-27 04:00:00,11,82.15000000000009,63.796279720496386,1,25.136852402480145,0.30598724774777986,0.1555611978390811,0.3883444917833301,0.5387705416920289,0.6116555082166699,0.3940175275519116,2.6623834259706642,2.585200909314359,4.644842339318438,4,0.4444444444444444,-0.1200487507617162,0.31756113051762547,-0.030303030303004203,0.594500000000025,0.9935919613458569,0.8584244713923002,67,2.6623834259706642,3,3.484261747719414,0.7641169403284064,66,1.8956263608309576,3,6.094290984096818,0.31104953238656224,1,0,0.7667570651397067,-2.6100292363774042,0.45306740794184414,-4.0,1.0,0.6624882872585529,1.4429845476283205,-0.2156104277247245,0.6086555225105095,0.7166780907095048,0.16598001171957386,60.39648236989211,44.28248265661837,-2.5584276789922344,0.8916020972484872,0.6240349027564639,55.890000000000335,0.9519230769230769,0.4545454545454546,0.9545454545454546,0.9545454545454546,0.6484848484848484,1.0,0.4898989898989899,0.8535353535353535,0.8288898601398601,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
103,UP,2025,3,4972,4972,1,2025-03-20 12:00:00,2025-03-20 12:00:00,EXACT,2025-03-20 12:00:00,3041.35,2025-03-21 07:42:03,2025-03-19 20:00:00,3,28.15000000000009,16.764597931097796,1,12.760000000000218,0.45328596802842547,0.06364521344984544,0.45603907637655594,0.6657193605683899,0.5439609236234441,0.7611277080693253,1.1115329845605602,0.28399838582781106,0.28399838582781106,1,0.2,0.39999999999999536,0.2716637192218199,0.4774985388661481,0.49569789674953657,0.198877261646507,0.5038290142709314,0,,71,1.3023184968358963,,0,,71,1.5747745043833585,,0,0,,-0.27245600754746224,,-1.0,1.0,,-2.485488592665063,,0.786227067269345,0.9156751027360998,-0.07126192064173376,66.64367800813719,49.8200929983563,-0.2730444831476387,0.12384556447500422,0.2652208476190686,78.24999999999946,0.696969696969697,0.8409090909090909,0.5,0.6363636363636364,0.5696969696969697,0.532258064516129,0.494949494949495,0.3181818181818182,0.6685606060606061,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
106,UP,2025,2,5032,5032,1,2025-04-03 12:00:00,2025-04-03 12:00:00,EXACT,2025-04-03 12:00:00,3129.04,2025-04-03 13:28:34,2025-04-02 04:00:00,7,63.01999999999998,30.56494139977667,1,25.84084030156464,0.41004189624824894,0.1664684275081678,0.5721993018089561,0.8157727705490372,0.42780069819104394,0.8454405314761523,2.2596866388039545,1.333927840264452,1.9223691243940864,2,0.2857142857142857,0.13696135949828048,0.27809129223513473,0.059738134206219554,0.4017787486347257,0.7123572729507545,0.7886211807248694,1,2.533885509831717,76,1.59022256944498,1.5934156378601105,0,,75,3.2052894134761347,,1,1,,-1.6150668440311546,,1.0,2.0,,-0.7080283340950666,,0.5744119586722329,0.21868669038740618,-0.12376333374484631,57.32558886274196,47.3811841028925,-1.2990089713367516,0.6865337868309219,0.546689587872671,167.4299999999989,0.4318181818181818,0.7272727272727273,0.9090909090909091,0.9393939393939394,0.696969696969697,0.935483870967742,0.6464646464646465,0.7929292929292929,0.7518939393939394,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
109,UP,2025,2,5105,5105,1,2025-04-22 16:00:00,2025-04-22 16:00:00,EXACT,2025-04-22 16:00:00,3431.31,2025-04-23 16:40:37,2025-04-21 00:00:00,9,178.10961783606854,145.9921178360687,1,44.0300000000002,0.2472073127489682,0.05946503518678412,0.3253895028472918,0.4251314494969734,0.6746104971527083,0.3015916246207244,3.2317190639849183,0.0,0.0,0,0.0,0.35455816120515815,0.2712425056853252,0.6167783569123905,0.2859731239619427,0.6210783373712385,1.6331169309541562,0,,75,6.965090780571519,,0,,74,7.191048903657314,,0,1,,-0.22595812308579433,,-1.0,1.0,,1.3746054396182723,,0.6834319526627235,1.1496384570429996,0.1276335988042127,69.01595881091228,48.46335654252895,3.492691704519948,0.4998260655305926,1.2471941165468392,417.8699999999999,0.696969696969697,0.4545454545454546,1.0,1.0,0.8454545454545453,0.4838709677419355,0.3080808080808081,0.5606060606060607,0.7878787878787878,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
114,DOWN,2025,4,5207,5207,1,2025-05-15 16:00:00,2025-05-15 16:00:00,EXACT,2025-05-15 16:00:00,3189.01,2025-05-15 16:09:41,2025-05-14 00:00:00,9,136.3499999999999,101.11898693041803,1,30.5,0.22368903557022385,0.10329089047416108,0.3991932526585983,0.5069306930693065,0.6008067473414017,0.3016248572682759,2.649062817841501,0.0,0.0,0,0.0,0.664166185804956,0.7667806370343605,0.7916522938944494,0.9560388708931128,0.744937372884411,1.3570884400076701,72,7.246526307957151,6,0.14853104306698586,48.78795811518705,72,7.541877871444033,5,2.834909846342474,2.660358981494373,0,1,-0.2953515634868822,-2.6863788032754883,46.12759913369268,-4.0,1.0,5.89203361249761,-0.45469070386442745,46.54252730578762,0.5764903338099077,0.8511712381417809,0.12947157609712143,59.917702988224306,46.269864108319375,0.18780233979413236,0.547609573217847,0.9851878979363179,31.06999999999823,1.0,0.6136363636363636,0.9545454545454546,1.0,0.9393939393939394,0.4838709677419355,0.393939393939394,0.8535353535353535,0.8920454545454546,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
115,UP,2025,2,5246,5246,1,2025-05-26 04:00:00,2025-05-26 04:00:00,EXACT,2025-05-26 04:00:00,3342.04,2025-05-27 08:45:48,2025-05-23 04:00:00,5,74.98000000000002,59.5219755701537,1,24.460000000000036,0.3262203254201124,0.05757911460966602,0.27010536142971525,0.45865564150439936,0.7298946385702847,0.4109406612549516,0.9262246636547762,0.24697762120107003,0.4387711801650331,2,0.3333333333333333,0.19702127659574933,0.6348107109879929,0.050100200400801966,0.7600444362154735,0.26268517069238934,0.6087445762128985,3,2.812663886878269,76,2.4252563232228237,1.1597388119127283,3,2.595194535276832,76,2.6380297164538966,0.9837624341720287,0,0,0.2174693516014372,-0.21277339323107292,0.17597637774069963,-2.0,1.0,1.2201152127517978,-1.404251583523655,0.7438763269911373,0.7262557077625565,1.1485013551140633,0.08421414366674206,62.50370045248298,53.010183883829384,-0.21514059118253756,0.1667545071223757,0.29271468224514086,109.43999999999969,0.9408508158508159,0.7272727272727273,0.42424242424242425,0.7424242424242424,0.5333333333333333,0.5483870967741935,0.34848484848484845,0.39898989898989895,0.7086975524475525,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
119,UP,2025,2,5337,5337,1,2025-06-16 08:00:00,2025-06-16 08:00:00,EXACT,2025-06-16 08:00:00,3427.55,2025-06-17 06:11:35,2025-06-11 20:00:00,14,132.1899999999996,103.62690674107398,1,19.48999999999978,0.14743929192828384,0.007860262049775578,0.13009683031999256,0.18617141992586236,0.8699031696800075,0.18807856581783547,0.9817425519484543,0.6951756406865506,1.1235190415339715,2,0.2857142857142857,0.3985928418476569,0.3914411579609515,0.3919107391910706,0.42023653088038887,0.13333625581653832,0.6895330511286772,1,2.9739575800244866,82,3.6482899432566813,0.8151648104398618,1,2.271887940374231,82,4.322267828278116,0.5256240544629309,0,0,0.7020696396502557,-0.6739778850214351,0.28954075597693085,-4.0,2.0,1.1085060189837934,3.0433230567504124,-2.2683949721687724,0.8240917782026796,1.0775499169522782,0.19623692823974678,66.51911094881146,51.52233797023006,-0.6923911727161615,0.04264538773996307,0.34159025177225905,284.6800000000014,0.9711538461538461,0.5075757575757576,0.48484848484848486,0.803030303030303,0.5181818181818182,0.7419354838709677,0.05555555555555556,0.23737373737373738,0.6916520979020979,2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE
