combo,total_delta,min_year_delta,mean_recovery,EXACT,EARLY,LATE,FALSE,signals,positive_both
DELIVERY,-737.5599999999936,-511.1099999999915,-0.06470168778317902,18,8,4,3,33,False
DELIVERY+PHA_NHA,763.3900000000053,196.72000000000662,0.07069763137235618,33,17,16,3,69,True
DELIVERY+POSITION_DAMAGE,1142.570000000011,270.9000000000083,0.10607768417064405,32,19,6,6,63,True
DELIVERY+POSITION_DAMAGE+PHA_NHA,1482.7800000000052,371.32000000000653,0.1374414432438787,41,23,12,5,81,True
LIQ_CHILD,-214.41999999999643,-472.3599999999974,-0.015175344915789646,38,24,14,3,79,False
LIQ_CHILD+DELIVERY,-42.449999999988904,-26.589999999997417,-0.0038760602771312535,24,13,13,3,53,False
LIQ_CHILD+DELIVERY+PHA_NHA,-102.90999999999894,-630.9199999999978,-0.0027459546148433586,42,20,16,4,82,False
LIQ_CHILD+DELIVERY+POSITION_DAMAGE,1132.2400000000098,256.93999999999915,0.09830659829639096,28,19,12,3,62,True
LIQ_CHILD+DELIVERY+POSITION_DAMAGE+PHA_NHA,190.3100000000095,-123.01000000000204,0.014658037079517091,34,20,18,4,76,False
LIQ_CHILD+LOCATION,-662.1000000000038,-441.9799999999998,-0.058271050090356304,23,16,10,2,51,False
LIQ_CHILD+LOCATION+DELIVERY,467.34000000000833,73.100000000009,0.04381170065746995,31,18,16,4,69,True
LIQ_CHILD+LOCATION+DELIVERY+PHA_NHA,468.6400000000067,215.30999999999813,0.041912727124095314,36,19,16,3,74,True
LIQ_CHILD+LOCATION+DELIVERY+POSITION_DAMAGE,1035.25000000001,-122.72000000000162,0.0858707422725962,33,21,14,3,71,False
LIQ_CHILD+LOCATION+PHA_NHA,-762.0000000000045,-431.0900000000024,-0.06793402024107309,33,25,19,4,81,False
LIQ_CHILD+LOCATION+POSITION_DAMAGE,-618.7400000000025,-618.7400000000025,-0.059091386604781124,20,15,5,2,42,False
LIQ_CHILD+LOCATION+POSITION_DAMAGE+PHA_NHA,-388.1500000000001,-230.97999999999683,-0.03447659319495026,38,25,16,4,83,False
