ts,arrival_side,ref,m1_open,m1_high,m1_low,m1_close,idx,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl,next_side,hit,block
2026-01-07 08:46:00,DOWN,4442.52,4444.11,4446.71,4441.43,4446.62,0,,ACTIVE,DOWN,SEED,False,,,,,,DOWN,,2026JF
2026-01-08 07:16:00,DOWN,4423.51,4425.85,4426.08,4422.91,4425.81,1,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,4500.43,4309.99,UP,0.0,2026JF
2026-01-09 15:32:00,UP,4483.83,4476.88,4487.04,4476.39,4482.68,2,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,,,UP,,2026JF
2026-01-09 17:21:00,UP,4500.43,4498.26,4502.41,4498.26,4501.35,3,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_SAME_TARGET,,92.78000000000065,,4407.65,UP,1.0,2026JF
2026-01-12 15:07:00,UP,4601.12,4597.36,4601.29,4596.83,4600.73,4,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,193.47000000000025,,4407.65,UP,1.0,2026JF
2026-01-13 16:47:00,UP,4630.11,4628.68,4633.23,4628.65,4632.51,5,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,222.46000000000004,,4407.65,DOWN,0.0,2026JF
2026-01-13 22:34:00,DOWN,4573.76,4577.26,4577.73,4571.07,4572.33,6,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,,UP,,2026JF
2026-01-14 07:01:00,UP,4634.53,4630.44,4638.24,4630.43,4638.24,7,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,NO_SAME_TARGET,,226.8800000000001,,4407.65,DOWN,0.0,2026JF
2026-01-16 17:27:00,DOWN,4581.09,4584.12,4584.88,4579.11,4583.54,8,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,,DOWN,,2026JF
2026-01-16 17:29:00,DOWN,4569.86,4572.03,4573.39,4564.66,4565.25,9,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,162.21000000000004,54.92000000000007,4624.78,4407.65,UP,0.0,2026JF
