id,side,price,source,known_at,raid_at
H4_SSL_20260102_2000,DOWN,4309.99,2026-01-02 20:00:00,2026-01-05 08:00:00,
H4_SSL_20260106_1200,DOWN,4442.52,2026-01-06 12:00:00,2026-01-07 00:00:00,2026-01-07 08:46:00
H4_BSL_20260107_0000,UP,4500.43,2026-01-07 00:00:00,2026-01-07 12:00:00,2026-01-09 17:21:00
H4_SSL_20260107_1600,DOWN,4423.51,2026-01-07 16:00:00,2026-01-08 04:00:00,2026-01-08 07:16:00
H4_SSL_20260108_1200,DOWN,4407.65,2026-01-08 12:00:00,2026-01-09 00:00:00,2026-02-02 08:38:00
H4_BSL_20260109_0000,UP,4483.83,2026-01-09 00:00:00,2026-01-09 12:00:00,2026-01-09 15:32:00
H4_BSL_20260112_0000,UP,4601.12,2026-01-12 00:00:00,2026-01-12 12:00:00,2026-01-12 15:07:00
H4_BSL_20260112_1600,UP,4630.11,2026-01-12 16:00:00,2026-01-13 04:00:00,2026-01-13 16:47:00
H4_SSL_20260113_0800,DOWN,4573.76,2026-01-13 08:00:00,2026-01-13 20:00:00,2026-01-13 22:34:00
H4_BSL_20260113_1600,UP,4634.53,2026-01-13 16:00:00,2026-01-14 04:00:00,2026-01-14 07:01:00
H4_SSL_20260113_2000,DOWN,4569.86,2026-01-13 20:00:00,2026-01-14 08:00:00,2026-01-16 17:29:00
H4_BSL_20260114_2000,UP,4642.89,2026-01-14 20:00:00,2026-01-15 08:00:00,2026-01-19 01:02:00
H4_SSL_20260115_0400,DOWN,4581.09,2026-01-15 04:00:00,2026-01-15 16:00:00,2026-01-16 17:27:00
H4_BSL_20260115_1600,UP,4624.78,2026-01-15 16:00:00,2026-01-16 04:00:00,2026-01-19 01:00:00
H4_SSL_20260116_1600,DOWN,4536.61,2026-01-16 16:00:00,2026-01-19 04:00:00,2026-02-02 07:49:00
H4_BSL_20260119_0000,UP,4690.54,2026-01-19 00:00:00,2026-01-19 12:00:00,2026-01-20 06:35:00
H4_SSL_20260120_0000,DOWN,4659.5,2026-01-20 00:00:00,2026-01-20 12:00:00,2026-02-02 03:09:00
H4_BSL_20260121_0800,UP,4888.61,2026-01-21 08:00:00,2026-01-21 20:00:00,2026-01-22 19:22:00
H4_SSL_20260121_2000,DOWN,4755.69,2026-01-21 20:00:00,2026-01-22 08:00:00,2026-01-30 20:19:00
H4_BSL_20260123_0400,UP,4967.39,2026-01-23 04:00:00,2026-01-23 16:00:00,2026-01-23 18:09:00
H4_SSL_20260123_0800,DOWN,4899.7,2026-01-23 08:00:00,2026-01-23 20:00:00,2026-01-30 19:21:00
H4_BSL_20260126_0800,UP,5111.22,2026-01-26 08:00:00,2026-01-26 20:00:00,2026-01-27 22:03:00
H4_SSL_20260126_2000,DOWN,4989.9,2026-01-26 20:00:00,2026-01-27 08:00:00,2026-01-30 11:44:00
