universe,policy,sl_arm,block,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,position_mode
CONTROL,CHALLENGE_EXIT,FIXED_10,2024,286.0,280.0,84.0,196.0,0.3,179.71599999999967,0.6418428571428559,1.9625614602637276,32.730000000000146,4.362166666666664,2.425,-0.9525816326530618,4.579310073948698,6.0,0.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_10,2025H1,125.0,123.0,34.0,89.0,0.2764227642276423,41.232000000000156,0.3352195121951232,1.4781353278831122,29.120000000000026,3.7490294117647087,2.3925000000000183,-0.9689325842696622,3.869236593576382,1.0,1.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_10,2026JF,41.0,39.0,6.0,33.0,0.15384615384615385,153.24299999999982,3.9293076923076877,5.643727272727268,23.0,31.04049999999997,30.78299999999999,-1.0,31.04049999999997,0.0,2.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_15,2024,286.0,280.0,99.0,181.0,0.3535714285714286,133.38799999999972,0.4763857142857133,1.8537888421393987,23.405333333333488,2.925441077441076,1.7546666666666473,-0.8631528545119711,3.389250307345769,6.0,0.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_15,2025H1,125.0,122.0,44.0,78.0,0.36065573770491804,42.55800000000008,0.3488360655737711,1.5797039593171098,26.753333333333337,2.6357121212121233,1.870000000000012,-0.9411965811965811,2.800384291516695,1.0,2.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_15,2026JF,41.0,39.0,7.0,32.0,0.1794871794871795,100.46933333333322,2.5761367521367493,4.139666666666663,22.0,18.92419047619046,17.895999999999972,-1.0,18.92419047619046,0.0,2.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_20,2024,286.0,271.0,104.0,167.0,0.3837638376383764,100.41249999999965,0.3705258302583013,1.7939598562510588,17.53750000000015,2.1815673076923057,1.282249999999999,-0.7573083832335339,2.8806855384031422,13.0,2.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_20,2025H1,125.0,120.0,49.0,71.0,0.4083333333333333,31.158000000000087,0.2596500000000007,1.4868019154603918,24.181999999999995,1.94211224489796,1.5705000000000156,-0.9014859154929571,2.1543456326058736,2.0,3.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_20,2026JF,41.0,39.0,8.0,31.0,0.20512820512820512,72.01849999999989,1.8466282051282024,3.3231774193548356,22.0,12.877312499999988,9.82624999999998,-1.0,12.877312499999988,0.0,2.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_25,2024,286.0,272.0,110.0,162.0,0.40441176470588236,87.35359999999969,0.3211529411764694,1.8246911901875658,16.708800000000103,1.7570581818181805,1.0698000000000047,-0.6538444444444457,2.687272480094415,12.0,2.0,INDEPENDENT
