idx,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,next_side,hit,nearest_bsl,nearest_ssl,m1_open,m1_high,m1_low,m1_close,block,ratio_same_opp
1,2024-01-05 15:30:00,DOWN,2030.61,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,17.580000000000155,UP,False,2048.19,,2035.2,2035.44,2027.6,2027.62,2024,
3,2024-01-05 17:00:00,UP,2050.87,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_OPPOSITE_TARGET,15.079999999999927,,DOWN,False,2065.95,,2046.88,2054.86,2046.88,2052.57,2024,
5,2024-01-09 09:25:00,UP,2036.84,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,OPPOSITE_NEAREST,27.12000000000012,20.089999999999918,DOWN,False,2063.96,2016.75,2035.92,2036.94,2035.92,2036.61,2024,1.3499253359880652
7,2024-01-11 15:30:00,UP,2041.88,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,OPPOSITE_NEAREST,22.079999999999927,21.49000000000001,DOWN,False,2063.96,2020.39,2036.82,2043.91,2027.4,2028.98,2024,1.0274546300604894
9,2024-01-11 18:26:00,DOWN,2016.75,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,NO_SAME_TARGET,,47.210000000000036,UP,False,2063.96,,2018.14,2018.14,2016.0,2017.12,2024,
11,2024-01-16 05:38:00,DOWN,2049.2,CHALLENGED,ACTIVE,DOWN,OLD_PRIMARY_WINS,True,OPPOSITE_NEAREST,35.94999999999982,9.370000000000346,DOWN,True,2058.57,2013.25,2049.2,2049.36,2048.84,2049.36,2024,3.8367129135537343
12,2024-01-17 16:55:00,DOWN,2013.25,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,19.670000000000073,UP,False,2032.92,,2017.54,2017.55,2013.0,2013.3,2024,
14,2024-01-23 07:33:00,UP,2030.11,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,9.190000000000055,13.699999999999818,UP,True,2039.3,2016.41,2029.72,2030.2,2029.59,2029.71,2024,0.6708029197080421
15,2024-01-24 09:44:00,UP,2030.63,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,7.179999999999836,9.300000000000182,DOWN,False,2037.81,2021.33,2029.95,2031.23,2029.92,2031.17,2024,0.7720430107526555
17,2024-01-24 17:03:00,DOWN,2021.33,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,4.919999999999845,16.480000000000018,DOWN,True,2037.81,2016.41,2023.5,2023.5,2019.12,2020.34,2024,0.2985436893203786
