block,quartile,n,median_ratio,continuations,continuation_rate
2024,Q1_NEAREST_SAME,66,0.06987498899175071,60,0.9090909090909091
2024,Q2,57,0.23776034622667058,43,0.7543859649122807
2024,Q3,64,0.4135766378754391,43,0.671875
2024,Q4_NEAREST_OPPOSITE,62,1.0226533360961576,36,0.5806451612903226
2025H1,Q1_NEAREST_SAME,20,0.09035140414515178,19,0.95
2025H1,Q2,33,0.1994037179936846,30,0.9090909090909091
2025H1,Q3,24,0.39796467698683413,18,0.75
2025H1,Q4_NEAREST_OPPOSITE,22,0.9123193823452609,13,0.5909090909090909
2026JF,Q1_NEAREST_SAME,9,0.11419921643119979,8,0.8888888888888888
2026JF,Q2,4,0.2202638918000983,4,1.0
2026JF,Q3,6,0.36543304092908396,5,0.8333333333333334
2026JF,Q4_NEAREST_OPPOSITE,11,1.9113817013360355,6,0.5454545454545454
COMBINED,Q1_NEAREST_SAME,95,0.0818908122503342,87,0.9157894736842105
COMBINED,Q2,94,0.22925422117880695,77,0.8191489361702128
COMBINED,Q3,94,0.4105504939939964,66,0.7021276595744681
COMBINED,Q4_NEAREST_OPPOSITE,95,1.0288362512873297,55,0.5789473684210527
