block,comparison,n,continuations,continuation_rate
2024,ALL_ACTIVE,285,200,0.7017543859649122
2024,SAME_NEAREST,216,163,0.7546296296296297
2024,NOT_SAME_NEAREST,69,37,0.5362318840579711
2025H1,ALL_ACTIVE,124,93,0.75
2025H1,SAME_NEAREST,90,76,0.8444444444444444
2025H1,NOT_SAME_NEAREST,34,17,0.5
2026JF,ALL_ACTIVE,40,30,0.75
2026JF,SAME_NEAREST,20,18,0.9
2026JF,NOT_SAME_NEAREST,20,12,0.6
COMBINED,ALL_ACTIVE,449,323,0.7193763919821826
COMBINED,SAME_NEAREST,326,257,0.7883435582822086
COMBINED,NOT_SAME_NEAREST,123,66,0.5365853658536586
