block,entry_ts,direction,entry,tp,topology,d_same,d_opp,resolution,next_side,dir_hit,h1_sl,gap_cross,sl_arm,sl,sl_dist,tp_dist,universe
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,H1_STRUCT,4466.33,42.81999999999971,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_10,4433.51,10.0,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_15,4438.51,15.0,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_20,4443.51,20.0,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_25,4448.51,25.0,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_30,4453.51,30.0,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_40,4463.51,40.0,113.52000000000044,CONTROL
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4309.99,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,PRIMARY_CONTINUES,UP,0.0,4466.33,False,FIXED_50,4473.51,50.0,113.52000000000044,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,H1_STRUCT,4458.24,42.19000000000051,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_10,4490.43,10.0,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_15,4485.43,15.0,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_20,4480.43,20.0,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_25,4475.43,25.0,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_30,4470.43,30.0,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_40,4460.43,40.0,,CONTROL
2026JF,2026-01-09 17:21:00,UP,4500.43,,NO_SAME_TARGET,,92.78000000000065,CHALLENGER_EARNED,UP,1.0,4458.24,False,FIXED_50,4450.43,50.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,H1_STRUCT,4482.09,119.02999999999975,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_10,4591.12,10.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_15,4586.12,15.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_20,4581.12,20.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_25,4576.12,25.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_30,4571.12,30.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_40,4561.12,40.0,,CONTROL
2026JF,2026-01-12 15:07:00,UP,4601.12,,NO_SAME_TARGET,,193.47000000000025,PRIMARY_CONTINUES,UP,1.0,4482.09,False,FIXED_50,4551.12,50.0,,CONTROL
2026JF,2026-01-13 16:47:00,UP,4630.11,,NO_SAME_TARGET,,222.46000000000004,PRIMARY_CONTINUES,DOWN,0.0,4573.76,False,H1_STRUCT,4573.76,56.349999999999454,,CONTROL
