alignment,horizon_min,year,train_movers,eval_movers,eval_up_rate,conditional_auc
COMPLETED_ONLY,15,2024,105,166,0.41566265060240964,0.6663678470043329
COMPLETED_ONLY,15,2025,271,1123,0.43098842386464825,0.5528363015558919
COMPLETED_ONLY,15,2026,1394,2750,0.484,0.5336002909955001
COMPLETED_ONLY,30,2024,309,459,0.41830065359477125,0.579061329588015
COMPLETED_ONLY,30,2025,768,2341,0.4592054677488253,0.5373048238362907
COMPLETED_ONLY,30,2026,3109,4542,0.4859092910612065,0.5212191304870915
COMPLETED_ONLY,60,2024,803,1205,0.44232365145228214,0.5299461717144643
COMPLETED_ONLY,60,2025,2008,4310,0.485614849187935,0.5135543204025876
COMPLETED_ONLY,60,2026,6318,6542,0.48058697645979825,0.51133010062797
CAUSAL_PARTIAL_HTF,15,2024,103,159,0.41509433962264153,0.6270772238514174
CAUSAL_PARTIAL_HTF,15,2025,262,1068,0.42602996254681647,0.5563343671010881
CAUSAL_PARTIAL_HTF,15,2026,1330,2629,0.48573602130087484,0.5365849137911062
CAUSAL_PARTIAL_HTF,30,2024,307,450,0.42,0.5743882908633867
CAUSAL_PARTIAL_HTF,30,2025,757,2258,0.4557130203720106,0.5332596365292601
CAUSAL_PARTIAL_HTF,30,2026,3015,4364,0.48693858845096244,0.5230284528282059
CAUSAL_PARTIAL_HTF,60,2024,797,1194,0.44304857621440535,0.527481274073653
CAUSAL_PARTIAL_HTF,60,2025,1991,4167,0.48212143028557713,0.5136295843864795
CAUSAL_PARTIAL_HTF,60,2026,6158,6294,0.48141086749285034,0.5116851299100498
