alignment,horizon_min,year,nonoverlap_events,nonoverlap_movers,conditional_auc
COMPLETED_ONLY,15,2024,11170,122,0.6512890094979646
COMPLETED_ONLY,15,2025,10883,857,0.5563011565099247
COMPLETED_ONLY,15,2026,7280,2140,0.530528207894486
COMPLETED_ONLY,30,2024,7554,230,0.5884814363968351
COMPLETED_ONLY,30,2025,7434,1287,0.5197454149405838
COMPLETED_ONLY,30,2026,4942,2350,0.5182452708673229
COMPLETED_ONLY,60,2024,4654,376,0.5116417910447761
COMPLETED_ONLY,60,2025,4638,1433,0.5115360186415515
COMPLETED_ONLY,60,2026,3059,2098,0.513650433431655
CAUSAL_PARTIAL_HTF,15,2024,10696,117,0.5940828402366863
CAUSAL_PARTIAL_HTF,15,2025,10404,815,0.5568499932765302
CAUSAL_PARTIAL_HTF,15,2026,6970,2052,0.5302244314589993
CAUSAL_PARTIAL_HTF,30,2024,7228,225,0.5826038516632183
CAUSAL_PARTIAL_HTF,30,2025,7087,1240,0.5110081173081958
CAUSAL_PARTIAL_HTF,30,2026,4732,2260,0.5212299923690731
CAUSAL_PARTIAL_HTF,60,2024,4456,367,0.5246249477018707
CAUSAL_PARTIAL_HTF,60,2025,4433,1376,0.5163614390629357
CAUSAL_PARTIAL_HTF,60,2026,2920,2020,0.517298788500038
