h,year,subset,n_events,n_movers,side_auc,side_acc
30,2024,NONOVERLAP,7554,230,0.8874771758977481,0.8043478260869565
30,2024,em,185,185,0.9222360248447204,0.8486486486486486
30,2024,eu,109,109,0.898224043715847,0.7798165137614679
30,2024,el,141,141,0.9333759046402725,0.8439716312056738
30,2024,edb,46,46,0.47464503042596345,0.6304347826086957
30,2025,NONOVERLAP,7434,1287,0.8598615243985454,0.7692307692307693
30,2025,em,1139,1139,0.8633028379387602,0.7805092186128183
30,2025,eu,516,516,0.8936833074966513,0.8062015503875969
30,2025,el,659,659,0.886769694685262,0.802731411229135
30,2025,edb,126,126,0.481237322515213,0.49206349206349204
30,2026,NONOVERLAP,4942,2350,0.8211566289904382,0.7442553191489362
30,2026,em,2276,2276,0.842414984357168,0.7574692442882249
30,2026,eu,1028,1028,0.8355046577086118,0.7714007782101168
30,2026,el,1211,1211,0.8287236317575905,0.7390586292320397
30,2026,edb,190,190,0.4842502218278616,0.46842105263157896
60,2024,NONOVERLAP,4654,376,0.8194171997157071,0.7180851063829787
60,2024,em,551,551,0.8886602098466505,0.7931034482758621
60,2024,eu,288,288,0.8591691995947316,0.7638888888888888
60,2024,el,324,324,0.8892475209021972,0.7870370370370371
60,2024,edb,94,94,0.47409200968523,0.5106382978723404
60,2025,NONOVERLAP,4638,1433,0.8426670978954218,0.7592463363572924
60,2025,em,2176,2176,0.8440175838230183,0.7550551470588235
60,2025,eu,965,965,0.8422981099656357,0.7575129533678756
60,2025,el,1128,1128,0.8777692606156963,0.7890070921985816
60,2025,edb,200,200,0.49603054969349814,0.465
60,2026,NONOVERLAP,3059,2098,0.8015029637636748,0.7221163012392755
60,2026,em,3336,3336,0.8089570189842422,0.7266187050359713
60,2026,eu,1504,1504,0.8154095368791868,0.7446808510638298
60,2026,el,1694,1694,0.7996110283263723,0.7142857142857143
60,2026,edb,236,236,0.48999135944700456,0.5169491525423728
