decision_time,tf,old_selected_bar_start,old_selected_bar_end,future_minutes_in_selected_bar
2022-01-04 02:20:00,M15,2022-01-04 02:15:00,2022-01-04 02:30:00,10.0
2022-01-04 02:20:00,H1,2022-01-04 02:00:00,2022-01-04 03:00:00,40.0
2022-01-04 02:35:00,M15,2022-01-04 02:30:00,2022-01-04 02:45:00,10.0
2022-01-04 02:35:00,H1,2022-01-04 02:00:00,2022-01-04 03:00:00,25.0
2022-01-04 02:45:00,H1,2022-01-04 02:00:00,2022-01-04 03:00:00,15.0
2022-01-04 03:05:00,M15,2022-01-04 03:00:00,2022-01-04 03:15:00,10.0
2022-01-04 03:05:00,H1,2022-01-04 03:00:00,2022-01-04 04:00:00,55.0
2022-01-04 03:20:00,M15,2022-01-04 03:15:00,2022-01-04 03:30:00,10.0
2022-01-04 03:20:00,H1,2022-01-04 03:00:00,2022-01-04 04:00:00,40.0
2022-01-04 03:45:00,H1,2022-01-04 03:00:00,2022-01-04 04:00:00,15.0
2022-01-04 04:25:00,M15,2022-01-04 04:15:00,2022-01-04 04:30:00,5.0
2022-01-04 04:25:00,H1,2022-01-04 04:00:00,2022-01-04 05:00:00,35.0
2022-01-04 06:25:00,M15,2022-01-04 06:15:00,2022-01-04 06:30:00,5.0
2022-01-04 06:25:00,H1,2022-01-04 06:00:00,2022-01-04 07:00:00,35.0
2022-01-04 07:10:00,M15,2022-01-04 07:00:00,2022-01-04 07:15:00,5.0
2022-01-04 07:10:00,H1,2022-01-04 07:00:00,2022-01-04 08:00:00,50.0
2022-01-04 07:35:00,M15,2022-01-04 07:30:00,2022-01-04 07:45:00,10.0
2022-01-04 07:35:00,H1,2022-01-04 07:00:00,2022-01-04 08:00:00,25.0
2022-01-04 08:10:00,M15,2022-01-04 08:00:00,2022-01-04 08:15:00,5.0
2022-01-04 08:10:00,H1,2022-01-04 08:00:00,2022-01-04 09:00:00,50.0
2022-01-04 08:25:00,M15,2022-01-04 08:15:00,2022-01-04 08:30:00,5.0
2022-01-04 08:25:00,H1,2022-01-04 08:00:00,2022-01-04 09:00:00,35.0
2022-01-04 08:35:00,M15,2022-01-04 08:30:00,2022-01-04 08:45:00,10.0
2022-01-04 08:35:00,H1,2022-01-04 08:00:00,2022-01-04 09:00:00,25.0
2022-01-04 08:55:00,M15,2022-01-04 08:45:00,2022-01-04 09:00:00,5.0
2022-01-04 08:55:00,H1,2022-01-04 08:00:00,2022-01-04 09:00:00,5.0
2022-01-04 09:05:00,M15,2022-01-04 09:00:00,2022-01-04 09:15:00,10.0
2022-01-04 09:05:00,H1,2022-01-04 09:00:00,2022-01-04 10:00:00,55.0
2022-01-04 09:15:00,H1,2022-01-04 09:00:00,2022-01-04 10:00:00,45.0
2022-01-04 09:25:00,M15,2022-01-04 09:15:00,2022-01-04 09:30:00,5.0
2022-01-04 09:25:00,H1,2022-01-04 09:00:00,2022-01-04 10:00:00,35.0
