era,head,eval_n,auc,prevalence
2023,RUNWAY,1488,0.8374791180952031,0.2211021505376344
2023,WIN,1488,0.5334962554197871,0.2775537634408602
2023,PERSIST,1488,0.750082984173509,0.6834677419354839
2023,SEVERE,1488,0.7360418687113589,0.3924731182795699
2023,STOP,1488,0.7943761135450108,0.29973118279569894
2023,SHOCK,476,0.6922772277227723,0.21218487394957983
2024,RUNWAY,1496,0.8099876199646587,0.21524064171122995
2024,WIN,1496,0.5102712015371781,0.3094919786096257
2024,PERSIST,1496,0.7598167705277044,0.696524064171123
2024,SEVERE,1496,0.7190592287264,0.37366310160427807
2024,STOP,1496,0.797137348452665,0.28810160427807485
2024,SHOCK,470,0.6899988100904332,0.18723404255319148
2025,RUNWAY,1486,0.8318557614992887,0.2274562584118439
2025,WIN,1486,0.5196560583849561,0.35800807537012114
2025,PERSIST,1486,0.7780527341201655,0.7126514131897712
2025,SEVERE,1486,0.713125020532869,0.3283983849259758
2025,STOP,1486,0.7862769754474208,0.23216689098250337
2025,SHOCK,431,0.7002040122407345,0.19721577726218098
2026,RUNWAY,980,0.8131994071727299,0.22346938775510203
2026,WIN,980,0.536404656378491,0.373469387755102
2026,PERSIST,980,0.7577288602073615,0.7010204081632653
2026,SEVERE,980,0.7174514453477868,0.3306122448979592
2026,STOP,980,0.7836649314221873,0.22653061224489796
2026,SHOCK,296,0.6685075431034482,0.21621621621621623
