year,variant,regime,pnl,pf,R,units,n,dd
2024,runway,none,118.93707293832585,1.0166584764659081,119.93921349712248,1413.0,691,1276.0100494989797
2024,runway,neutral4,592.7270729383254,1.0995216028907235,189.60115460347686,1169.0,595,954.9500494989784
2024,runway,neutral12,95.40707293832247,1.015110226638247,132.3855095993949,1222.0,606,1077.330049498979
2024,runway_win,none,-125.28525313651375,0.9826652274092601,85.46450922420044,1410.0,688,1172.6200494989803
2024,runway_win,neutral4,381.954746863486,1.0631026093857112,157.44648996783087,1174.0,590,879.0700494989774
2024,runway_win,neutral12,-74.26525313651652,0.9883149255528663,112.7886515033484,1220.0,602,1060.8486821870406
2024,runway_safe,none,-553.8586825755053,0.9268904715721781,20.249147602591584,1442.0,712,1304.1458050128153
2024,runway_safe,neutral4,-24.418682575504818,0.9961376280940357,87.88964296460497,1195.0,613,958.0758050128138
2024,runway_safe,neutral12,-480.4186825755066,0.9280806983678436,44.4370416732946,1254.0,626,1147.0786825754963
2024,runway_stopSafe,none,-339.09868257550875,0.9551195481891425,54.56959109753966,1446.0,710,1317.1358050128165
2024,runway_stopSafe,neutral4,174.47131742449278,1.0276152717433604,118.11687917911405,1201.0,609,971.065805012815
2024,runway_stopSafe,neutral12,-272.51868257550876,0.9591223326075237,75.55255047100493,1260.0,624,1141.9786825754977
2024,runway_persist,none,92.76050198886219,1.012777774343643,122.88768953425628,1418.0,692,1260.6000494989808
2024,runway_persist,neutral4,587.9305019888623,1.0970964325612356,194.19363703351263,1173.0,595,939.5400494989794
2024,runway_persist,neutral12,79.21050198885976,1.0123280232609817,135.0239046834061,1229.0,609,1061.92004949898
2024,runway_win_persist,none,-134.2548609705186,0.9817826736769831,87.48212055000981,1432.0,704,1233.5500494989806
2024,runway_win_persist,neutral4,373.93513902948143,1.0603593858450795,159.73322310667152,1197.0,607,922.810049498979
2024,runway_win_persist,neutral12,-2.7848609705212937,0.9995713801508921,118.92583522968314,1244.0,618,1034.8700494989798
2024,runway_safe_persist,none,-262.50525352496584,0.9654008127347232,42.87914268644432,1445.0,709,1186.9858050128155
2024,runway_safe_persist,neutral4,316.0047464750339,1.0500754263723453,115.69553486516983,1200.0,612,846.6486825754978
2024,runway_safe_persist,neutral12,-170.99525352496786,0.9743986323048264,67.96115596564748,1258.0,626,1075.1286825754964
2024,runway_stopSafe_persist,none,-59.4252535249702,0.9920969965360771,68.15795533091688,1446.0,708,1211.9558050128162
2024,runway_stopSafe_persist,neutral4,478.1547464750306,1.0760933046325474,134.85268084297573,1208.0,612,866.545805012815
2024,runway_stopSafe_persist,neutral12,10.934746475029016,1.001648640169264,89.64325808380426,1262.0,624,1050.138682575498
2025,runway,none,3917.2365265679755,1.3425722893128949,161.36365013456629,1356.0,678,963.7094097795489
2025,runway,neutral4,5129.176526567968,1.5977536287983407,198.87221651618063,1102.0,574,678.6999999999998
2025,runway,neutral12,5014.086526567971,1.5504659905324263,188.80471651342646,1159.0,583,790.9699999999989
2025,runway_win,none,4015.0495515098632,1.3364082597587836,148.53500781986713,1377.0,681,1029.8969750581177
2025,runway_win,neutral4,5216.889551509854,1.5736690852356983,185.77477503648436,1128.0,580,860.5669750581174
2025,runway_win,neutral12,5121.499551509858,1.5333645043923179,178.23768770037856,1179.0,589,956.7569750581165
2025,runway_safe,none,5049.94151920434,1.408084046815242,177.78183849783315,1399.0,675,1099.5069750581192
