year,head,auc,variant,regime,pnl,R,pf,dd,units,n
2024,RUNWAY,0.8099876199646587,,,,,,,,
2024,PERSIST,0.7598167705277044,,,,,,,,
2024,WIN,0.5102712015371781,,,,,,,,
2024,SEVERE,0.7190592287264,,,,,,,,
2024,STOP,0.797137348452665,,,,,,,,
2024,SHOCK,0.6899988100904332,,,,,,,,
2024,POLICY,,RUNWAY,neutral4,610.9770729383258,194.08758917730643,1.1029011777226871,948.5900494989783,1165.0,593.0
2024,POLICY,,RUNWAY,neutral12,149.077072938323,142.04412582148854,1.023678727096586,1060.6300494989791,1222.0,606.0
2024,POLICY,,RUNWAY,none,176.95707293832677,130.5813626533479,1.0248635334975236,1254.8500494989798,1413.0,691.0
2024,POLICY,,RUNWAY_PERSIST,neutral4,629.6505019888625,199.12164679302916,1.104083933950663,940.0100494989792,1171.0,597.0
2024,POLICY,,RUNWAY_PERSIST,neutral12,155.94050198885978,145.0781834372113,1.0242914267128307,1052.0500494989801,1230.0,612.0
2024,POLICY,,RUNWAY_PERSIST,none,174.25050198886288,133.97141387616867,1.0240362113324744,1246.2700494989808,1420.0,696.0
2024,POLICY,,RUNWAY_WIN_PERSIST,neutral4,520.3805019888657,183.70404511476016,1.084802943860601,892.790049498979,1185.0,599.0
2024,POLICY,,RUNWAY_WIN_PERSIST,neutral12,84.22050198886271,132.59515735561294,1.0130807654819074,994.5100494989802,1235.0,613.0
2024,POLICY,,RUNWAY_WIN_PERSIST,none,59.62050198886598,119.02980741878746,1.0081599492621713,1188.7300494989809,1426.0,698.0
2024,POLICY,,RUNWAY_SAFE_PERSIST,neutral4,271.0647464750334,112.23644027965695,1.042824702469874,867.0886825754983,1201.0,609.0
2024,POLICY,,RUNWAY_SAFE_PERSIST,neutral12,-191.10525352496842,67.66134753098461,0.9714430507301446,1076.8686825754971,1260.0,624.0
2024,POLICY,,RUNWAY_SAFE_PERSIST,none,-298.47525352496604,41.15957771222901,0.9608085475192832,1196.9458050128155,1450.0,708.0
2025,RUNWAY,0.8318557614992887,,,,,,,,
2025,PERSIST,0.7780527341201655,,,,,,,,
2025,WIN,0.5196560583849561,,,,,,,,
