idx,year,head,stage,direction,pred,actual,decision
1324,2023,severe,k1,LONG,0.38753882,0,2023-01-03 20:00:00
1332,2023,severe,k1,LONG,0.35105088,1,2023-01-05 04:00:00
1339,2023,severe,k1,LONG,0.4201263,0,2023-01-06 08:00:00
1349,2023,severe,k1,LONG,0.54100466,0,2023-01-10 04:00:00
1353,2023,severe,k1,LONG,0.5856015,0,2023-01-10 20:00:00
1356,2023,severe,k1,LONG,0.25183862,0,2023-01-11 08:00:00
1361,2023,severe,k1,LONG,0.39674944,1,2023-01-12 04:00:00
1369,2023,severe,k1,LONG,0.40742856,0,2023-01-13 12:00:00
1377,2023,severe,k1,LONG,0.5327892,1,2023-01-17 00:00:00
1381,2023,severe,k1,LONG,0.37439317,1,2023-01-17 16:00:00
1386,2023,severe,k1,LONG,0.43698832,1,2023-01-18 12:00:00
1391,2023,severe,k1,LONG,0.43116587,0,2023-01-19 08:00:00
1398,2023,severe,k1,LONG,0.5865092,1,2023-01-20 12:00:00
1406,2023,severe,k1,LONG,0.35283777,0,2023-01-24 00:00:00
1412,2023,severe,k1,LONG,0.2753556,0,2023-01-25 00:00:00
1417,2023,severe,k1,LONG,0.34835637,0,2023-01-25 20:00:00
1425,2023,severe,k1,LONG,0.5980558,1,2023-01-27 04:00:00
1428,2023,severe,k1,LONG,0.46222198,1,2023-01-27 16:00:00
1431,2023,severe,k1,LONG,0.58800715,1,2023-01-30 08:00:00
1436,2023,severe,k1,LONG,0.6037934,1,2023-01-31 04:00:00
1439,2023,severe,k1,LONG,0.32590201,0,2023-01-31 16:00:00
1445,2023,severe,k1,LONG,0.5361477,1,2023-02-01 16:00:00
1447,2023,severe,k1,LONG,0.31390262,0,2023-02-02 00:00:00
1460,2023,severe,k1,LONG,0.29018697,0,2023-02-06 08:00:00
1465,2023,severe,k1,LONG,0.44300687,0,2023-02-07 04:00:00
1469,2023,severe,k1,LONG,0.316483,1,2023-02-07 20:00:00
1472,2023,severe,k1,LONG,0.42313024,0,2023-02-08 08:00:00
1478,2023,severe,k1,LONG,0.3258129,1,2023-02-09 08:00:00
1485,2023,severe,k1,LONG,0.29693785,0,2023-02-10 12:00:00
1494,2023,severe,k1,LONG,0.6440636,1,2023-02-14 04:00:00
1500,2023,severe,k1,LONG,0.40868995,1,2023-02-15 04:00:00
1505,2023,severe,k1,LONG,0.5226039,0,2023-02-16 00:00:00
1510,2023,severe,k1,LONG,0.25534466,1,2023-02-16 20:00:00
1515,2023,severe,k1,LONG,0.42969567,0,2023-02-17 16:00:00
1523,2023,severe,k1,LONG,0.6041553,1,2023-02-21 04:00:00
1527,2023,severe,k1,LONG,0.49881193,0,2023-02-21 20:00:00
1529,2023,severe,k1,LONG,0.5577452,1,2023-02-22 04:00:00
1532,2023,severe,k1,LONG,0.48806208,1,2023-02-22 16:00:00
1536,2023,severe,k1,LONG,0.4646825,0,2023-02-23 08:00:00
1541,2023,severe,k1,LONG,0.5255258,1,2023-02-24 04:00:00
1546,2023,severe,k1,LONG,0.5577452,1,2023-02-27 04:00:00
1549,2023,severe,k1,LONG,0.41312572,0,2023-02-27 16:00:00
1556,2023,severe,k1,LONG,0.35283777,0,2023-02-28 20:00:00
1568,2023,severe,k1,LONG,0.50754863,0,2023-03-02 20:00:00
1582,2023,severe,k1,LONG,0.52717817,1,2023-03-07 08:00:00
1589,2023,severe,k1,LONG,0.5577452,0,2023-03-08 12:00:00
1594,2023,severe,k1,LONG,0.41934696,0,2023-03-09 08:00:00
1601,2023,severe,k1,LONG,0.44854644,0,2023-03-10 12:00:00
1614,2023,severe,k1,LONG,0.24555567,0,2023-03-14 20:00:00
1619,2023,severe,k1,LONG,0.35283777,0,2023-03-15 16:00:00
1623,2023,severe,k1,LONG,0.24872658,0,2023-03-16 08:00:00
1628,2023,severe,k1,LONG,0.5025292,0,2023-03-17 04:00:00
1638,2023,severe,k1,LONG,0.34739903,1,2023-03-21 00:00:00
1645,2023,severe,k1,LONG,0.37115842,0,2023-03-22 04:00:00
1647,2023,severe,k1,LONG,0.5984894,1,2023-03-22 12:00:00
1659,2023,severe,k1,LONG,0.3590801,1,2023-03-24 16:00:00
1666,2023,severe,k1,LONG,0.42230153,0,2023-03-28 00:00:00
1670,2023,severe,k1,LONG,0.3297584,0,2023-03-28 16:00:00
1677,2023,severe,k1,LONG,0.43916056,1,2023-03-29 20:00:00
1681,2023,severe,k1,LONG,0.2753556,0,2023-03-30 12:00:00
1686,2023,severe,k1,LONG,0.52772206,1,2023-03-31 08:00:00
1688,2023,severe,k1,LONG,0.48933014,0,2023-03-31 16:00:00
1692,2023,severe,k1,LONG,0.34930277,0,2023-04-03 12:00:00
1699,2023,severe,k1,LONG,0.575639,0,2023-04-04 16:00:00
1710,2023,severe,k1,LONG,0.35745877,0,2023-04-06 12:00:00
1718,2023,severe,k1,LONG,0.35198787,0,2023-04-11 00:00:00
1731,2023,severe,k1,LONG,0.35105088,0,2023-04-13 04:00:00
1743,2023,severe,k1,LONG,0.5371694,1,2023-04-17 08:00:00
1748,2023,severe,k1,LONG,0.54466724,1,2023-04-18 04:00:00
1758,2023,severe,k1,LONG,0.29112336,0,2023-04-19 20:00:00
1762,2023,severe,k1,LONG,0.49867594,0,2023-04-20 12:00:00
1771,2023,severe,k1,LONG,0.43757936,1,2023-04-24 04:00:00
1773,2023,severe,k1,LONG,0.59598655,1,2023-04-24 12:00:00
1781,2023,severe,k1,LONG,0.3491445,0,2023-04-25 20:00:00
1785,2023,severe,k1,LONG,0.5134628,1,2023-04-26 12:00:00
1789,2023,severe,k1,LONG,0.43811432,1,2023-04-27 04:00:00
1794,2023,severe,k1,LONG,0.37347707,0,2023-04-28 00:00:00
1796,2023,severe,k1,LONG,0.5039611,1,2023-04-28 08:00:00
1799,2023,severe,k1,LONG,0.35528222,1,2023-04-28 20:00:00
1803,2023,severe,k1,LONG,0.32567754,1,2023-05-01 16:00:00
1809,2023,severe,k1,LONG,0.5315383,0,2023-05-02 16:00:00
1816,2023,severe,k1,LONG,0.33881956,0,2023-05-03 20:00:00
1822,2023,severe,k1,LONG,0.27299765,1,2023-05-04 20:00:00
1836,2023,severe,k1,LONG,0.61668503,0,2023-05-09 08:00:00
