idx,year,head,stage,direction,pred,actual,decision
1323,2023,severe,k1,SHORT,0.41828856,0,2023-01-03 16:00:00
1330,2023,severe,k1,SHORT,0.29309806,1,2023-01-04 20:00:00
1333,2023,severe,k1,SHORT,0.45624852,0,2023-01-05 08:00:00
1347,2023,severe,k1,SHORT,0.47669068,0,2023-01-09 20:00:00
1352,2023,severe,k1,SHORT,0.5325319,1,2023-01-10 16:00:00
1355,2023,severe,k1,SHORT,0.5584134,1,2023-01-11 04:00:00
1358,2023,severe,k1,SHORT,0.26644832,0,2023-01-11 16:00:00
1368,2023,severe,k1,SHORT,0.40666556,1,2023-01-13 08:00:00
1374,2023,severe,k1,SHORT,0.3377601,0,2023-01-16 12:00:00
1378,2023,severe,k1,SHORT,0.5605204,1,2023-01-17 04:00:00
1382,2023,severe,k1,SHORT,0.43553346,1,2023-01-17 20:00:00
1388,2023,severe,k1,SHORT,0.25614956,0,2023-01-18 20:00:00
1397,2023,severe,k1,SHORT,0.45997146,1,2023-01-20 08:00:00
1399,2023,severe,k1,SHORT,0.3289513,0,2023-01-20 16:00:00
1403,2023,severe,k1,SHORT,0.3117753,1,2023-01-23 12:00:00
1410,2023,severe,k1,SHORT,0.4248213,0,2023-01-24 16:00:00
1414,2023,severe,k1,SHORT,0.25847903,1,2023-01-25 08:00:00
1421,2023,severe,k1,SHORT,0.2535081,0,2023-01-26 12:00:00
1426,2023,severe,k1,SHORT,0.2632581,1,2023-01-27 08:00:00
1429,2023,severe,k1,SHORT,0.5645772,0,2023-01-27 20:00:00
1430,2023,severe,k1,SHORT,0.5901988,1,2023-01-30 04:00:00
1432,2023,severe,k1,SHORT,0.26185074,0,2023-01-30 12:00:00
1437,2023,severe,k1,SHORT,0.24091981,0,2023-01-31 08:00:00
1443,2023,severe,k1,SHORT,0.55786395,1,2023-02-01 08:00:00
1446,2023,severe,k1,SHORT,0.42234576,1,2023-02-01 20:00:00
1451,2023,severe,k1,SHORT,0.25871277,0,2023-02-02 16:00:00
1462,2023,severe,k1,SHORT,0.37574443,0,2023-02-06 16:00:00
1468,2023,severe,k1,SHORT,0.26747143,1,2023-02-07 16:00:00
1470,2023,severe,k1,SHORT,0.29870287,0,2023-02-08 00:00:00
1474,2023,severe,k1,SHORT,0.3514657,0,2023-02-08 16:00:00
1481,2023,severe,k1,SHORT,0.2567396,0,2023-02-09 20:00:00
1487,2023,severe,k1,SHORT,0.5890348,0,2023-02-10 20:00:00
1488,2023,severe,k1,SHORT,0.5881507,1,2023-02-13 04:00:00
1498,2023,severe,k1,SHORT,0.28243974,0,2023-02-14 20:00:00
1501,2023,severe,k1,SHORT,0.28756362,0,2023-02-15 08:00:00
1508,2023,severe,k1,SHORT,0.5901988,1,2023-02-16 12:00:00
1512,2023,severe,k1,SHORT,0.28789985,0,2023-02-17 04:00:00
1521,2023,severe,k1,SHORT,0.46091384,0,2023-02-20 20:00:00
1524,2023,severe,k1,SHORT,0.5621449,1,2023-02-21 08:00:00
1528,2023,severe,k1,SHORT,0.43408772,0,2023-02-22 00:00:00
1531,2023,severe,k1,SHORT,0.58812565,1,2023-02-22 12:00:00
1533,2023,severe,k1,SHORT,0.325856,0,2023-02-22 20:00:00
1537,2023,severe,k1,SHORT,0.58812565,0,2023-02-23 12:00:00
1543,2023,severe,k1,SHORT,0.534701,0,2023-02-24 12:00:00
1547,2023,severe,k1,SHORT,0.4137222,1,2023-02-27 08:00:00
1552,2023,severe,k1,SHORT,0.5918968,1,2023-02-28 04:00:00
1564,2023,severe,k1,SHORT,0.47042435,0,2023-03-02 04:00:00
1577,2023,severe,k1,SHORT,0.58210874,0,2023-03-06 12:00:00
1583,2023,severe,k1,SHORT,0.49865028,0,2023-03-07 12:00:00
1592,2023,severe,k1,SHORT,0.427312,0,2023-03-09 00:00:00
1600,2023,severe,k1,SHORT,0.5836072,1,2023-03-10 08:00:00
1610,2023,severe,k1,SHORT,0.3524314,0,2023-03-14 04:00:00
1616,2023,severe,k1,SHORT,0.5223387,1,2023-03-15 04:00:00
1621,2023,severe,k1,SHORT,0.2705349,0,2023-03-16 00:00:00
1626,2023,severe,k1,SHORT,0.27227375,0,2023-03-16 20:00:00
1636,2023,severe,k1,SHORT,0.2757298,0,2023-03-20 16:00:00
1641,2023,severe,k1,SHORT,0.25684077,0,2023-03-21 12:00:00
1646,2023,severe,k1,SHORT,0.3719792,0,2023-03-22 08:00:00
1657,2023,severe,k1,SHORT,0.41297892,0,2023-03-24 04:00:00
1660,2023,severe,k1,SHORT,0.25684077,0,2023-03-24 20:00:00
1669,2023,severe,k1,SHORT,0.28243974,1,2023-03-28 12:00:00
1674,2023,severe,k1,SHORT,0.4430531,0,2023-03-29 08:00:00
1678,2023,severe,k1,SHORT,0.523554,1,2023-03-30 00:00:00
1685,2023,severe,k1,SHORT,0.6145144,1,2023-03-31 04:00:00
1687,2023,severe,k1,SHORT,0.36324063,1,2023-03-31 12:00:00
1689,2023,severe,k1,SHORT,0.43312055,0,2023-03-31 20:00:00
