idx,year,head,stage,direction,pred,actual,decision
1323,2023,survival,k1,SHORT,0.731592,0,2023-01-03 16:00:00
1330,2023,survival,k1,SHORT,0.7437001,1,2023-01-04 20:00:00
1333,2023,survival,k1,SHORT,0.67643493,1,2023-01-05 08:00:00
1347,2023,survival,k1,SHORT,0.60172343,1,2023-01-09 20:00:00
1352,2023,survival,k1,SHORT,0.5704585,0,2023-01-10 16:00:00
1355,2023,survival,k1,SHORT,0.6434452,0,2023-01-11 04:00:00
1358,2023,survival,k1,SHORT,0.8075569,1,2023-01-11 16:00:00
1368,2023,survival,k1,SHORT,0.77222914,0,2023-01-13 08:00:00
1374,2023,survival,k1,SHORT,0.7673245,1,2023-01-16 12:00:00
1378,2023,survival,k1,SHORT,0.48909882,1,2023-01-17 04:00:00
1382,2023,survival,k1,SHORT,0.75052077,1,2023-01-17 20:00:00
1388,2023,survival,k1,SHORT,0.88764447,1,2023-01-18 20:00:00
1397,2023,survival,k1,SHORT,0.762429,0,2023-01-20 08:00:00
1399,2023,survival,k1,SHORT,0.7427462,1,2023-01-20 16:00:00
1403,2023,survival,k1,SHORT,0.7924936,1,2023-01-23 12:00:00
1410,2023,survival,k1,SHORT,0.5427599,1,2023-01-24 16:00:00
1414,2023,survival,k1,SHORT,0.8816414,1,2023-01-25 08:00:00
1421,2023,survival,k1,SHORT,0.88492244,1,2023-01-26 12:00:00
1426,2023,survival,k1,SHORT,0.8776485,1,2023-01-27 08:00:00
1429,2023,survival,k1,SHORT,0.53835666,0,2023-01-27 20:00:00
1430,2023,survival,k1,SHORT,0.52446055,0,2023-01-30 04:00:00
1432,2023,survival,k1,SHORT,0.8904077,1,2023-01-30 12:00:00
1437,2023,survival,k1,SHORT,0.8863515,1,2023-01-31 08:00:00
1443,2023,survival,k1,SHORT,0.4725652,1,2023-02-01 08:00:00
1446,2023,survival,k1,SHORT,0.74458545,0,2023-02-01 20:00:00
1451,2023,survival,k1,SHORT,0.8142677,1,2023-02-02 16:00:00
1462,2023,survival,k1,SHORT,0.80260533,1,2023-02-06 16:00:00
1468,2023,survival,k1,SHORT,0.87350976,0,2023-02-07 16:00:00
1470,2023,survival,k1,SHORT,0.76273227,1,2023-02-08 00:00:00
1474,2023,survival,k1,SHORT,0.83591336,1,2023-02-08 16:00:00
1481,2023,survival,k1,SHORT,0.8922298,1,2023-02-09 20:00:00
1487,2023,survival,k1,SHORT,0.7479665,0,2023-02-10 20:00:00
1488,2023,survival,k1,SHORT,0.6891616,1,2023-02-13 04:00:00
1498,2023,survival,k1,SHORT,0.82256675,1,2023-02-14 20:00:00
1501,2023,survival,k1,SHORT,0.8863,1,2023-02-15 08:00:00
1508,2023,survival,k1,SHORT,0.63425034,1,2023-02-16 12:00:00
1512,2023,survival,k1,SHORT,0.88776934,1,2023-02-17 04:00:00
1521,2023,survival,k1,SHORT,0.7144338,1,2023-02-20 20:00:00
1524,2023,survival,k1,SHORT,0.65698916,1,2023-02-21 08:00:00
1528,2023,survival,k1,SHORT,0.60713077,0,2023-02-22 00:00:00
1531,2023,survival,k1,SHORT,0.5214655,0,2023-02-22 12:00:00
1533,2023,survival,k1,SHORT,0.8851817,1,2023-02-22 20:00:00
1537,2023,survival,k1,SHORT,0.6530431,1,2023-02-23 12:00:00
1543,2023,survival,k1,SHORT,0.5893069,1,2023-02-24 12:00:00
1547,2023,survival,k1,SHORT,0.85732895,1,2023-02-27 08:00:00
1552,2023,survival,k1,SHORT,0.45494938,1,2023-02-28 04:00:00
1564,2023,survival,k1,SHORT,0.68756294,1,2023-03-02 04:00:00
1577,2023,survival,k1,SHORT,0.6184958,1,2023-03-06 12:00:00
1583,2023,survival,k1,SHORT,0.68262225,1,2023-03-07 12:00:00
1592,2023,survival,k1,SHORT,0.76852775,1,2023-03-09 00:00:00
1600,2023,survival,k1,SHORT,0.48737893,0,2023-03-10 08:00:00
1610,2023,survival,k1,SHORT,0.79674697,1,2023-03-14 04:00:00
1616,2023,survival,k1,SHORT,0.5235007,1,2023-03-15 04:00:00
