head,stage,direction,phase,family,preprocess,recency,score,params
severe,k1,LONG,family,lgb,raw,expanding,0.6347951314823486,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
severe,k1,LONG,family,xgb,raw,expanding,0.6433648654627662,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
severe,k1,LONG,family,cat,raw,expanding,0.6440237696305278,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
severe,k1,LONG,family,lgb,eng,expanding,0.6387264396980332,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
severe,k1,LONG,family,xgb,eng,expanding,0.6538559365935673,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
severe,k1,LONG,family,cat,eng,expanding,0.6284254067733075,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
severe,k1,LONG,family,lgb,eng_rank,expanding,0.6373623995434126,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
severe,k1,LONG,family,xgb,eng_rank,expanding,0.6477511381337275,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
severe,k1,LONG,family,cat,eng_rank,expanding,0.6375969603669775,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
severe,k1,LONG,hparam,xgb,eng,expanding,0.6482963178628076,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
severe,k1,LONG,hparam,xgb,eng,expanding,0.5492430154518495,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
severe,k1,LONG,recency,xgb,eng,expanding,0.6482963178628076,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
severe,k1,LONG,recency,xgb,eng,roll730,0.6482963178628076,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
severe,k1,LONG,recency,xgb,eng,exp365,0.654527399919159,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
severe,k1,LONG,recency,xgb,eng,exp730,0.651977368392032,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
severe,k1,LONG,prune,xgb,top16,exp365,0.6519092726883035,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
severe,k1,LONG,prune,xgb,top33,exp365,0.6521244375476076,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
