head,stage,direction,phase,family,preprocess,recency,score,params
survival,k1,SHORT,family,lgb,raw,expanding,0.7057494249038581,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k1,SHORT,family,xgb,raw,expanding,0.7089771584569347,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,SHORT,family,cat,raw,expanding,0.6957533204248738,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k1,SHORT,family,lgb,eng,expanding,0.6936852129146915,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k1,SHORT,family,xgb,eng,expanding,0.6933703884494251,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,SHORT,family,cat,eng,expanding,0.6787648557895423,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k1,SHORT,family,lgb,eng_rank,expanding,0.6868296866462005,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k1,SHORT,family,xgb,eng_rank,expanding,0.6904616111704485,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,SHORT,family,cat,eng_rank,expanding,0.6682500479031587,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k1,SHORT,hparam,xgb,raw,expanding,0.7086739466340736,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,SHORT,hparam,xgb,raw,expanding,0.6122094047199718,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,SHORT,recency,xgb,raw,expanding,0.7086739466340736,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,SHORT,recency,xgb,raw,roll730,0.7086739466340736,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,SHORT,recency,xgb,raw,exp365,0.7035572420795806,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,SHORT,recency,xgb,raw,exp730,0.7063648384617689,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,SHORT,prune,xgb,top16,roll730,0.7127186404747861,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,SHORT,prune,xgb,top38,roll730,0.70752097829096,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
