head,stage,direction,phase,family,preprocess,recency,score,params
survival,k2,LONG,family,lgb,raw,expanding,0.708359984413713,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,family,xgb,raw,expanding,0.6265675123942841,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,LONG,family,cat,raw,expanding,0.7032907651249476,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k2,LONG,family,lgb,eng,expanding,0.7247216034270226,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,family,xgb,eng,expanding,0.6286818314377369,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,LONG,family,cat,eng,expanding,0.6968203729435781,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k2,LONG,family,lgb,eng_rank,expanding,0.7090878346089091,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,family,xgb,eng_rank,expanding,0.6250364537766113,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,LONG,family,cat,eng_rank,expanding,0.6988899671854745,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k2,LONG,hparam,lgb,eng,expanding,0.7018384344113848,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,hparam,lgb,eng,expanding,0.634368620589093,"{""n_estimators"": 200, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.03, ""min_child_samples"": 80, ""reg_lambda"": 20, ""reg_alpha"": 1}"
survival,k2,LONG,recency,lgb,eng,expanding,0.7018384344113848,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,recency,lgb,eng,roll730,0.7018384344113848,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,recency,lgb,eng,exp365,0.7164211703929166,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,recency,lgb,eng,exp730,0.7106620863568525,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,prune,lgb,top16,exp365,0.7150068251272512,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,LONG,prune,lgb,top33,exp365,0.7164211703929166,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
