stage,direction,phase,family,preprocess,recency,score,lift,params
k1,LONG,family_preproc,lgb,raw,expanding,-0.0435904927358814,-0.0692024568985225,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,LONG,family_preproc,xgb,raw,expanding,-0.0081420964835591,0.212715351579235,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,LONG,family_preproc,cat,raw,expanding,0.0009888341625255,0.5311054473775578,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,LONG,family_preproc,lgb,eng,expanding,0.0391781624042956,0.2867884177040498,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,LONG,family_preproc,xgb,eng,expanding,0.0409244678535543,0.1174233602211778,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,LONG,family_preproc,cat,eng,expanding,-0.0570327562035516,0.0355134449434939,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,LONG,family_preproc,lgb,eng_rank,expanding,0.0231680679440509,0.1037652962025928,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,LONG,family_preproc,xgb,eng_rank,expanding,0.0406334086732887,0.1217649931467234,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,LONG,family_preproc,cat,eng_rank,expanding,-0.0060351343723525,0.1678182615909149,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,LONG,hparam,xgb,eng,expanding,0.0142390947258739,0.0513827903645545,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,hparam,xgb,eng,expanding,0.0120870767233857,0.1363709293786879,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,LONG,recency,xgb,eng,expanding,0.0142390947258739,0.0513827903645545,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,recency,xgb,eng,roll730,0.0142390947258739,0.0513827903645545,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,recency,xgb,eng,exp365,-0.0066809229061581,-0.0991984706995672,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,recency,xgb,eng,exp730,-0.0151771987634122,0.0424159434631543,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,prune,xgb,top8,expanding,0.0390028670310476,0.3547552681376247,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,prune,xgb,top16,expanding,0.0123624494643485,0.0586419625211204,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,prune,xgb,top24,expanding,0.0054078483704041,0.1420529039740659,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,LONG,prune,xgb,top33,expanding,0.0014535067421943,0.1122168382539342,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k1,SHORT,family_preproc,lgb,raw,expanding,0.0333292387482184,-0.0055914247711812,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,SHORT,family_preproc,xgb,raw,expanding,-0.0027652974343885,0.0076359536292408,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,SHORT,family_preproc,cat,raw,expanding,0.0696742792133485,-0.0085032117512729,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,family_preproc,lgb,eng,expanding,-0.0147736225608592,-0.1276774728991375,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,SHORT,family_preproc,xgb,eng,expanding,-0.0438189853908303,-0.1970950020869488,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,SHORT,family_preproc,cat,eng,expanding,-0.0092225613988417,-0.0891622033844257,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,family_preproc,lgb,eng_rank,expanding,-0.0730766224626529,-0.190566661787622,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,SHORT,family_preproc,xgb,eng_rank,expanding,-0.0201704079017846,-0.162224047569691,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,SHORT,family_preproc,cat,eng_rank,expanding,-0.0095629855363622,0.0513338236674073,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,hparam,cat,raw,expanding,0.026042601196967,-0.1286789204202769,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,hparam,cat,raw,expanding,0.0668706766416742,-0.0152380106112543,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,recency,cat,raw,expanding,0.0668706766416742,-0.0152380106112543,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
