idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision
2815,2024,k1,LONG,0.06400532,-1.0,-0.656103598040506,0.9284059199058072,-1.0,-5.659999999999855,978,1,2024-01-03 08:00:00
2820,2024,k1,LONG,-0.2542588,-0.980212481361838,-0.2870799757183122,0.1349146221811952,-0.166955017301041,-1.930000000000064,980,3,2024-01-04 04:00:00
2825,2024,k1,LONG,-0.10887648,-1.0,-0.2630067531248939,1.731531051573107,-0.6173184357541809,-4.419999999999845,982,3,2024-01-05 00:00:00
2830,2024,k1,LONG,-0.3017555,-0.9112380667083926,-0.0639633714635835,0.0226574715008269,0.0964061608670882,1.6900000000000546,984,2,2024-01-05 20:00:00
2835,2024,k1,LONG,0.044778902,-0.980212481361838,-0.1542614840504322,1.7184411898033662,0.0092506938020478,0.1000000000001364,986,6,2024-01-08 20:00:00
2843,2024,k1,LONG,0.15624855,-1.0,-0.979482050096902,1.8834785619989052,-1.0,-4.930000000000064,988,1,2024-01-10 04:00:00
2845,2024,k1,LONG,-0.15142988,-0.980212481361838,-0.1965021762267266,0.483912517058208,-1.0,-10.230000000000018,990,2,2024-01-10 12:00:00
2849,2024,k1,LONG,-0.17856188,-0.980212481361838,-0.1884557610883097,0.1412520456809813,-1.0,-9.240000000000007,992,4,2024-01-11 04:00:00
2855,2024,k1,LONG,0.1732446,-0.9310255853465544,-0.2341945922609614,0.7237061825787702,0.6855282924386598,13.690000000000056,994,5,2024-01-12 04:00:00
2860,2024,k1,LONG,0.46935627,-1.0,-0.2129303478969199,2.2244522234340707,0.3923267326732125,3.169999999999618,996,3,2024-01-15 04:00:00
2864,2024,k1,LONG,0.39027217,-1.0,-0.363289420976902,1.1715602724570335,-0.7174721189591169,-3.8600000000001273,998,1,2024-01-16 00:00:00
2871,2024,k1,LONG,-0.2564321,-1.0,-0.6553797871535509,0.7403704808150338,-1.0,-6.0,1000,1,2024-01-17 04:00:00
2877,2024,k1,LONG,0.135077,-0.980212481361838,-0.3212055034837599,0.8310149761723031,1.811340206185552,17.569999999999936,1002,10,2024-01-18 04:00:00
2891,2024,k1,LONG,2.1132963,-1.0,-0.7373862409210246,3.875947235946617,-1.0,-4.060000000000173,1004,1,2024-01-22 16:00:00
2894,2024,k1,LONG,-0.12195138,-1.0,-0.988949508116816,3.0528294590141423,1.2337164750956486,3.2199999999998,1006,3,2024-01-23 04:00:00
2899,2024,k1,LONG,0.10766051,-1.0,-0.4206425772777293,2.0320076658642696,-0.5760869565217304,-4.240000000000009,1008,2,2024-01-24 00:00:00
2902,2024,k1,LONG,0.20288604,-1.0,-0.3628479619719769,2.283896695615061,-1.0,-8.039999999999964,1010,2,2024-01-24 12:00:00
2908,2024,k1,LONG,-0.68179953,-1.0,-1.012269851601385,1.0977881033421006,-1.0,-3.289999999999964,1012,2,2024-01-25 12:00:00
2911,2024,k1,LONG,0.93538344,-1.0,-0.4030595908783524,2.061150581834616,0.1163101604277926,0.8699999999998909,1014,3,2024-01-26 00:00:00
2915,2024,k1,LONG,1.1361564,-1.0,-0.3926058572726491,2.993157045465141,-1.0,-6.419999999999845,1016,1,2024-01-26 16:00:00
2917,2024,k1,LONG,0.49838153,-1.0,-0.1967334637866372,3.005701747819528,0.846582984658281,6.069999999999936,1018,4,2024-01-29 04:00:00
2922,2024,k1,LONG,0.48741427,-0.9310255853465544,0.0106522341250642,2.372821620538124,0.3258064516128979,4.039999999999964,1020,6,2024-01-30 00:00:00
2929,2024,k1,LONG,0.30034068,-1.0,-0.7049012067507976,2.927334615229634,0.1741935483870901,0.5399999999999636,1022,1,2024-01-31 04:00:00
2931,2024,k1,LONG,0.44529462,-1.0,-0.6074762660779478,1.9768914823865995,-1.0,-5.400000000000091,1024,3,2024-01-31 12:00:00
2936,2024,k1,LONG,0.18485785,-1.0,-0.6368886500842771,1.8206372713023289,-0.5473515248796263,-3.410000000000082,1026,1,2024-02-01 08:00:00
2939,2024,k1,LONG,-0.008756526,-0.9310255853465544,-0.2687168537612412,0.9261564380680408,-0.054187192118233,-1.3200000000001637,1028,4,2024-02-01 20:00:00
2950,2024,k1,LONG,-0.43845388,-0.980212481361838,-0.2385982726743705,0.2132606840811667,-0.1951447245565022,-2.090000000000145,1032,4,2024-02-05 20:00:00
