idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision
2808,2024,k2,LONG,-0.471689,-1.0,-0.481395460551156,1.368039441716452,-0.0260223048326895,-0.1399999999998726,976,4,2024-01-02 04:00:00
2821,2024,k2,LONG,0.8993896,-1.0,-0.25273776248023255,3.08978715903362,-1.0,-3.680000000000064,980,3,2024-01-04 08:00:00
2826,2024,k2,LONG,-0.2298275,-1.0,-0.6215432507222095,1.0728156719849433,-1.0,-4.579999999999927,982,3,2024-01-05 04:00:00
2836,2024,k2,LONG,0.56279963,-1.0,-0.5142277313865907,1.3812577688947885,0.0121012101210262,0.1100000000001273,986,6,2024-01-09 00:00:00
2846,2024,k2,LONG,-0.5385846,-1.0,-0.8022807635668238,0.39767352571960257,-1.0,-6.420000000000073,990,2,2024-01-10 16:00:00
2850,2024,k2,LONG,0.26404545,-1.0,-0.3303456093871572,1.408499721793235,-1.0,-9.720000000000027,992,4,2024-01-11 08:00:00
2856,2024,k2,LONG,0.3351895,-1.0,-0.5305595977696571,2.4298012086694443,1.0127072658453038,11.589999999999918,994,5,2024-01-12 08:00:00
2861,2024,k2,LONG,0.012242317,-0.5706199188585053,-0.37483861588739387,0.960355958368545,-0.092473118279584,-0.8600000000001273,996,3,2024-01-15 08:00:00
2878,2024,k2,LONG,0.860459,-1.0,-0.16541434411674,1.58888782735072,4.721428571428503,19.829999999999927,1002,10,2024-01-18 08:00:00
2895,2024,k2,LONG,0.040494353,-1.0,-0.1958558482679785,0.6847225064369409,-0.5257548845470762,-5.920000000000073,1006,3,2024-01-23 08:00:00
2900,2024,k2,LONG,-0.59508604,-1.0,-0.4028175628028043,0.40944006095806484,-1.0,-4.25,1008,2,2024-01-24 04:00:00
2903,2024,k2,LONG,0.065728195,-1.0,-0.41595629080522795,1.3189187440028116,-1.0,-10.25,1010,2,2024-01-24 16:00:00
2909,2024,k2,LONG,-0.39552554,-1.0,-0.7774244027840926,1.1059789242790738,-1.0,-6.75,1012,2,2024-01-25 16:00:00
2912,2024,k2,LONG,0.63223845,-1.0,-0.1458429838180296,3.4251525277149355,-0.1233842538190312,-1.0499999999999543,1014,3,2024-01-26 04:00:00
2918,2024,k2,LONG,-0.24729232,-1.0,-0.5240238118329953,1.362368067034594,0.6372549019608106,3.900000000000091,1018,4,2024-01-29 08:00:00
2923,2024,k2,LONG,0.2717041,-1.0,-0.13757400713918044,1.7355729307934658,1.0658578856152705,6.150000000000091,1020,6,2024-01-30 04:00:00
2932,2024,k2,LONG,-0.20915723,-1.0,-0.49744196617385944,0.8491097371092325,-1.0,-8.329999999999927,1024,3,2024-01-31 16:00:00
2940,2024,k2,LONG,-0.47721368,-0.5706199188585053,-0.4596178527850448,0.6794098786647126,-0.1045796308954332,-1.5300000000002,1028,4,2024-02-02 00:00:00
2946,2024,k2,LONG,0.49716336,-1.0,-0.5072044359737705,1.6670191262514724,-1.0,-3.5499999999999545,1030,2,2024-02-05 04:00:00
2951,2024,k2,LONG,0.14106075,-1.0,-0.5581971609308708,1.4124013142419958,-0.1369047619047706,-1.3800000000001091,1032,4,2024-02-06 00:00:00
2956,2024,k2,LONG,-0.029607398,-0.5706199188585053,-0.06304683495096133,0.85241035764289,-0.2608695652173976,-3.660000000000082,1034,4,2024-02-06 20:00:00
2962,2024,k2,LONG,-0.28419694,-1.0,-0.4041332538213192,1.1134690834378551,-0.1011904761904751,-0.5099999999999909,1036,2,2024-02-07 20:00:00
2970,2024,k2,LONG,0.13869287,-1.0,-0.29084755313559213,3.0901704372257734,-0.2777942983417819,-1.410000000000082,1040,2,2024-02-09 04:00:00
2981,2024,k2,LONG,-0.4769356,-1.0,-0.6903107538996109,1.6737320053412932,-1.0,-2.539999999999964,1042,4,2024-02-13 04:00:00
2992,2024,k2,LONG,0.25150082,-1.0,-0.567598379888207,0.8345999379211211,0.0143229166666835,0.1100000000001273,1044,3,2024-02-15 00:00:00
2996,2024,k2,LONG,-0.39792225,-0.5706199188585053,-0.41930240539418584,0.7977193081055735,-0.1867862969004865,-2.289999999999964,1046,7,2024-02-15 16:00:00
3012,2024,k2,LONG,0.04965501,-0.5924004255780634,-0.06676455187148198,0.8451426162216953,0.0194444444444266,0.1399999999998726,1052,4,2024-02-20 12:00:00
3018,2024,k2,LONG,-0.34735593,-1.0,-0.4742139333561097,0.4465273780712297,-1.0,-2.7100000000000364,1054,3,2024-02-21 12:00:00
3023,2024,k2,LONG,0.12255775,-1.0,-0.401644978779003,3.1809576631058776,-1.0,-3.369999999999891,1056,3,2024-02-22 08:00:00
3032,2024,k2,LONG,0.3371424,-0.5706199188585053,-0.013945586274326585,0.85241035764289,-0.311090225563905,-6.619999999999891,1060,3,2024-02-23 20:00:00
3039,2024,k2,LONG,0.50338507,-1.0,-0.13267344610406304,1.8414217457818873,-0.2449725776965205,-1.339999999999918,1064,5,2024-02-27 04:00:00
3049,2024,k2,LONG,-0.24155863,-1.0,-0.31541869819758006,1.814111957604082,0.075451647183852,0.7100000000000364,1066,5,2024-02-28 20:00:00
3055,2024,k2,LONG,-0.08816938,-0.5706199188585053,-0.24564231165997152,1.7176529865561145,-0.1228668941979444,-2.1599999999998545,1068,2,2024-02-29 20:00:00
3059,2024,k2,LONG,0.7958961,-1.0,-0.3238721991050965,3.3289511676271926,26.099009900988356,79.07999999999993,1070,17,2024-03-01 12:00:00
3077,2024,k2,LONG,-0.064156026,-0.5706199188585053,-0.1958558482679785,0.9026322057076378,1.256990679094549,18.88000000000011,1072,8,2024-03-06 16:00:00
3086,2024,k2,LONG,-0.17462045,-1.0,-0.25700311891454153,0.9526478579612195,-1.0,-1.908577149809389,1074,2,2024-03-08 04:00:00
3089,2024,k2,LONG,-0.4108206,-0.5706199188585053,-0.5515605147066552,0.5149068207673889,0.4682593856655348,6.860000000000127,1076,5,2024-03-08 16:00:00
3094,2024,k2,LONG,-0.5928749,-1.0,-0.5566731146805591,0.32698738681016554,-1.0,-5.839999999999691,1078,5,2024-03-11 16:00:00
3104,2024,k2,LONG,0.8316692,-1.0,-0.7620735177921599,3.5784060792538583,2.0511627906976257,8.820000000000164,1080,7,2024-03-13 08:00:00
3115,2024,k2,LONG,-0.24454054,-1.0,-0.503255243674925,1.5051818646582005,-1.0,-2.480000000000018,1082,4,2024-03-15 04:00:00
3123,2024,k2,LONG,0.71725565,-1.0,-0.07442414660928556,3.397651901184385,0.0941883767535123,0.9400000000000546,1084,5,2024-03-18 16:00:00
3131,2024,k2,LONG,1.0126765,-1.0,-0.1316439484553516,3.32061416556283,-0.3297985153764773,-3.1100000000001278,1086,4,2024-03-20 00:00:00
3137,2024,k2,LONG,0.2672609,-0.5706199188585053,-0.0032122547950695847,0.9060204113153891,0.1562006942253016,4.949999999999818,1088,5,2024-03-21 00:00:00
3150,2024,k2,LONG,-0.29817778,-1.0,-0.5789714607484189,0.9963152896437182,-1.0,-5.820000000000164,1092,2,2024-03-25 08:00:00
3153,2024,k2,LONG,-0.5685339,-1.0,-0.4028175628028043,0.40944006095806484,-0.4400564174894255,-3.119999999999891,1094,2,2024-03-25 20:00:00
3157,2024,k2,LONG,0.17726272,-0.5706199188585053,-0.0032122547950695847,0.8702316450392441,-0.6541666666666744,-14.13000000000011,1096,3,2024-03-26 12:00:00
3163,2024,k2,LONG,0.13028881,-0.5706199188585053,-0.017588596719991353,0.85241035764289,0.0096485182632577,0.1399999999998726,1098,5,2024-03-27 12:00:00
3169,2024,k2,LONG,0.16303965,-0.5924004255780634,-0.1048110316956823,1.9825501595539057,6.283582089552162,54.72999999999956,1100,8,2024-03-28 12:00:00
3179,2024,k2,LONG,-0.29688558,-0.5706199188585053,-0.2553649532282278,0.37922402522642734,1.5671717616079777,16.610000000000127,1102,8,2024-04-02 08:00:00
3189,2024,k2,LONG,0.049794663,-0.5706199188585053,-0.1958558482679785,0.9026322057076378,-0.2680601393472662,-7.309999999999945,1104,4,2024-04-04 00:00:00
3199,2024,k2,LONG,0.0059163705,-1.0,-0.4516269358709987,1.5992477061643722,1.0605427974948054,15.240000000000236,1108,4,2024-04-05 16:00:00
3203,2024,k2,LONG,-0.2866807,-0.5706199188585053,-0.3791710005156933,0.07773810905813924,-0.2162567486502701,-7.210000000000036,1110,2,2024-04-08 12:00:00
3207,2024,k2,LONG,1.1516073,-0.5706199188585053,-0.14717957830035938,2.830672996830696,0.313253012048177,4.159999999999855,1112,5,2024-04-09 04:00:00
3214,2024,k2,LONG,-0.06395865,-0.5706199188585053,-0.19665391453465558,0.9471402581088668,-1.0,-7.252877562688354,1114,3,2024-04-10 08:00:00
3223,2024,k2,LONG,-0.22159173,-0.5706199188585053,-0.06304683495096133,0.8293330208418025,0.8869644484958974,19.46000000000004,1118,7,2024-04-11 20:00:00
3236,2024,k2,LONG,-0.061369237,-0.5706199188585053,-0.44695500319865006,1.5953982188096758,-0.4558049958919917,-14.0,1122,3,2024-04-16 04:00:00
3241,2024,k2,LONG,-0.37617055,-1.0,-0.462840852495898,0.43781052038170404,0.1994269340974243,3.480000000000018,1124,2,2024-04-17 00:00:00
3245,2024,k2,LONG,-0.54347366,-1.0,-0.8022807635668238,0.39767352571960257,-1.0,-10.599999999999907,1126,2,2024-04-17 16:00:00
3250,2024,k2,LONG,-0.07028452,-1.0,-0.5501773210969388,1.2626920286366148,-0.0942803268384672,-1.5,1128,4,2024-04-18 12:00:00
3270,2024,k2,LONG,0.15595399,-1.0,-0.8136538444270355,0.5593888774421995,-0.0938485804416425,-1.1900000000000546,1134,2,2024-04-24 00:00:00
3280,2024,k2,LONG,0.047520705,-1.0,-0.4119510362714538,1.4835667234275103,-1.0,-16.370000000000346,1140,8,2024-04-25 16:00:00
3291,2024,k2,LONG,-0.4517519,-1.0,-0.8022807635668238,0.39767352571960257,-1.0,-4.449999999999818,1142,4,2024-04-29 16:00:00
3304,2024,k2,LONG,-0.267992,-1.0,-0.5142805299652988,0.6540152212239809,0.0194552529182826,0.349999999999909,1144,5,2024-05-01 20:00:00
3312,2024,k2,LONG,-0.04700376,-1.0,-0.6903107538996109,3.0784039019873113,-1.0,-4.669999999999618,1146,3,2024-05-03 04:00:00
3319,2024,k2,LONG,-0.25942302,-0.5706199188585053,-0.06676455187148198,0.7817694680849083,0.1914704575744071,4.309999999999945,1152,6,2024-05-06 12:00:00
3330,2024,k2,LONG,-0.1123449,-1.0,-0.37757344524871095,1.2927409027737762,-1.0,-6.159999999999855,1154,2,2024-05-08 08:00:00
3337,2024,k2,LONG,-0.7200654,-1.0,-0.8022807635668238,0.39767352571960257,-1.0,-2.4699999999998,1158,10,2024-05-09 12:00:00
3354,2024,k2,LONG,-0.11602091,-1.0,-0.7075365078799947,1.2142944370447823,5.731707317073111,42.30000000000018,1160,13,2024-05-14 12:00:00
3373,2024,k2,LONG,-0.23388468,-0.5706199188585053,-0.420306073979912,0.9286933280006084,1.3815967523680204,20.419999999999614,1162,7,2024-05-17 16:00:00
3381,2024,k2,LONG,-0.4784321,-1.0,-0.6614719471456858,0.9614555124171911,-1.0,-5.5900000000001455,1164,2,2024-05-21 04:00:00
3385,2024,k2,LONG,-0.09721051,-1.0,-0.3720250351509885,0.6268257167014398,-0.1775092936803225,-1.9100000000003088,1166,2,2024-05-21 20:00:00
3401,2024,k2,LONG,0.028428786,-1.0,-0.7651910797098543,1.2602850741178424,-0.4006779661017158,-5.910000000000309,1168,3,2024-05-24 12:00:00
3405,2024,k2,LONG,-0.02353227,-1.0,-0.18721881290901862,0.9940097530344374,0.8133086876154892,8.799999999999727,1170,6,2024-05-27 08:00:00
3414,2024,k2,LONG,-0.11120299,-1.0,-0.23618482649415165,2.5393473131502087,0.1076388888889008,1.550000000000182,1172,4,2024-05-28 20:00:00
3426,2024,k2,LONG,-0.4687959,-1.0,-0.5515032053801475,0.971217747277183,-0.2182976259409372,-3.769999999999982,1174,4,2024-05-30 20:00:00
3437,2024,k2,LONG,0.17323224,-0.5706199188585053,-0.1958558482679785,0.9026322057076378,0.0084951456310695,0.2100000000000363,1178,4,2024-06-03 20:00:00
3446,2024,k2,LONG,0.19226538,-1.0,-0.30576728070700876,1.307477069153552,1.674339300937753,19.639999999999876,1180,9,2024-06-05 08:00:00
3456,2024,k2,LONG,0.79839474,-0.5706199188585053,-0.13362077687362323,2.7944420901369273,-1.0,-22.110000000000127,1182,4,2024-06-07 00:00:00
3466,2024,k2,LONG,0.16088676,-1.0,-0.05064620141860313,1.44721803973189,-0.4426540284360277,-9.340000000000146,1184,4,2024-06-10 20:00:00
3472,2024,k2,LONG,-0.613375,-1.0,-0.8022807635668238,0.39767352571960257,0.5728429985856222,4.050000000000182,1186,4,2024-06-11 20:00:00
3478,2024,k2,LONG,-0.022790056,-0.5706199188585053,-0.18836655402332458,0.872680838452286,-0.4931087289433272,-12.879999999999654,1188,2,2024-06-12 20:00:00
3488,2024,k2,LONG,0.13105562,-1.0,-0.30576728070700876,1.307477069153552,0.644709180098096,9.199999999999818,1192,5,2024-06-14 12:00:00
3498,2024,k2,LONG,0.08935936,-1.0,-0.2589199583643546,2.4320445439807217,-1.0,-4.119999999999891,1194,2,2024-06-18 08:00:00
3502,2024,k2,LONG,-0.23372866,-1.0,-0.2761926350004566,1.5649542328390906,-0.0948766603415563,-1.5,1196,3,2024-06-19 00:00:00
3509,2024,k2,LONG,-0.597563,-1.0,-0.41830740630150665,0.7728572349055934,-1.0,-1.4700000000002549,1200,11,2024-06-20 04:00:00
3522,2024,k2,LONG,0.16491064,-1.0,-0.5684262557335255,0.9323991815540862,-0.0423875432526141,-0.4900000000002364,1202,5,2024-06-24 12:00:00
3540,2024,k2,LONG,-0.15089187,-1.0,-0.3855992779812601,1.486873503903369,1.2969472710453334,14.019999999999982,1204,5,2024-06-27 12:00:00
3547,2024,k2,LONG,-0.26064765,-0.5706199188585053,-0.25890238456927805,0.6547797430427564,-0.6273291925465837,-9.090000000000146,1206,3,2024-06-28 16:00:00
3555,2024,k2,LONG,0.65978223,-1.0,-0.5783686037549607,2.5785363668757073,-1.0,-6.330000000000382,1210,2,2024-07-02 04:00:00
3561,2024,k2,LONG,1.7724268,-1.0,0.03578764243193978,3.9072219726077067,3.507352941176576,28.620000000000346,1212,9,2024-07-03 04:00:00
3571,2024,k2,LONG,-0.7116942,-1.0,-0.4742139333561097,0.9433929387676548,-0.5945945945946002,-1.3200000000001637,1214,2,2024-07-04 20:00:00
3574,2024,k2,LONG,-0.08485836,-1.0,-0.23759825416251334,0.6208334576659973,-1.0,-9.769999999999982,1216,7,2024-07-05 08:00:00
3585,2024,k2,LONG,-0.56428444,-1.0,-0.43678801966400144,1.3261869074464523,-1.0,-8.91000000000031,1218,2,2024-07-09 08:00:00
3590,2024,k2,LONG,2.1320257,-1.0,0.040589740397207454,4.029898017354352,0.818307905686555,5.900000000000091,1220,6,2024-07-10 04:00:00
3598,2024,k2,LONG,0.08573729,-1.0,-0.42195768353513113,2.0481718259792405,3.25358851674634,27.199999999999815,1222,6,2024-07-11 12:00:00
3610,2024,k2,LONG,-0.17396036,-1.0,-0.30268731842728086,0.9691611652946455,0.4850746268656683,6.5,1226,4,2024-07-15 16:00:00
3615,2024,k2,LONG,0.1553451,-0.5706199188585053,-0.0032122547950695847,0.9348541523186568,1.2353706111833462,19.0,1228,9,2024-07-16 12:00:00
3627,2024,k2,LONG,0.8023119,-1.0,-0.44595996411841665,2.8654877046158105,-0.2404306220095918,-2.0100000000002183,1230,2,2024-07-18 12:00:00
3637,2024,k2,LONG,0.03039015,-1.0,-0.8136538444270355,0.5593888774421995,-1.0,-5.150000000000091,1232,2,2024-07-22 08:00:00
3642,2024,k2,LONG,0.43568617,-1.0,-0.2288396881453592,2.246953799826721,-1.0,-8.139999999999873,1234,12,2024-07-23 04:00:00
3662,2024,k2,LONG,1.4616125,-1.0,-0.10963375125715016,4.117616342435614,1.015169194865824,17.40000000000009,1236,7,2024-07-26 12:00:00
3673,2024,k2,LONG,-0.13624221,-1.0,-0.42083440821918294,0.9883657457536311,3.4175654853621005,44.36000000000013,1238,13,2024-07-30 12:00:00
3687,2024,k2,LONG,-0.3776996,-1.0,-0.4492406092602464,0.06626105318402012,0.1256983240223576,1.800000000000182,1240,2,2024-08-01 20:00:00
3690,2024,k2,LONG,-0.03665606,-0.5706199188585053,-0.004215923380795734,0.9348541523186568,-1.0,-14.239999999999782,1242,4,2024-08-02 08:00:00
3700,2024,k2,LONG,-0.16734779,-1.0,-0.24464291359161616,1.0083870800594583,-1.0,-15.739999999999782,1246,3,2024-08-06 04:00:00
3708,2024,k2,LONG,0.46296695,-1.0,-0.3947474598835696,3.2421469001948493,-0.7839721254355451,-11.25,1248,4,2024-08-07 12:00:00
3714,2024,k2,LONG,-0.4026145,-1.0,-0.4041332538213192,1.0908692986047441,3.132984293193618,29.919999999999614,1250,7,2024-08-08 12:00:00
3722,2024,k2,LONG,0.07084931,-0.5706199188585053,-0.19806772082503826,0.9168998058656569,-0.5046997204206312,-6.059999999999945,1252,3,2024-08-09 20:00:00
3725,2024,k2,LONG,0.08593127,-0.5706199188585053,-0.013945586274326585,0.85241035764289,1.101154480483765,20.029999999999745,1254,6,2024-08-12 12:00:00
3733,2024,k2,LONG,0.5405115,-1.0,-0.1595779562871221,2.6116282745801165,-0.3305004721435413,-3.5,1256,2,2024-08-13 20:00:00
3738,2024,k2,LONG,-0.40903568,-1.0,-0.31907511670361677,0.5490337998244266,-1.0,-9.549999999999727,1258,2,2024-08-14 16:00:00
3742,2024,k2,LONG,0.35729736,-1.0,-0.573551154822672,3.173419339889789,-1.0,-6.930000000000291,1260,3,2024-08-15 08:00:00
3747,2024,k2,LONG,1.244949,-1.0,-0.018436164095996996,3.7819993908303258,-0.6730891586208309,-5.860000000000127,1262,2,2024-08-16 04:00:00
3750,2024,k2,LONG,0.2998476,-0.5706199188585053,-0.013945586274326585,0.85241035764289,0.2232650037046162,9.039999999999964,1264,5,2024-08-16 16:00:00
3757,2024,k2,LONG,-0.6372082,-1.0,-0.4492406092602464,0.20585479205038212,-0.1505316172355689,-2.6899999999996,1268,3,2024-08-20 00:00:00
3761,2024,k2,LONG,-0.00038115517,-0.5706199188585053,-0.18096306314981572,0.5575517107479611,-0.5997956403269772,-17.610000000000127,1270,2,2024-08-20 16:00:00
3765,2024,k2,LONG,0.6690756,-1.0,-0.1567686742877321,3.2256666427248524,-1.0,-3.6100000000001273,1272,2,2024-08-21 08:00:00
3770,2024,k2,LONG,1.9675444,-1.0,0.036791311017665924,3.962892276628485,-1.0,-6.819999999999709,1274,2,2024-08-22 04:00:00
3777,2024,k2,LONG,-0.20610699,-1.0,-0.752288784914548,2.272691859536031,1.7911602209945332,16.210000000000036,1276,7,2024-08-23 08:00:00
