idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision
2812,2024,k2,SHORT,0.0012939493,-0.9841618341623621,-0.17672494589347473,0.6228141173761164,-0.0960264900662137,-1.449999999999818,977,4,2024-01-02 20:00:00
2817,2024,k2,SHORT,0.36127704,-0.5237514548167803,-0.23432964696314393,1.7602023846651482,-0.0475604756047592,-1.160000000000082,979,4,2024-01-03 16:00:00
2824,2024,k2,SHORT,-0.262733,-0.9032688007558104,-0.44219993548883546,0.8954303285043113,-0.0133155792276839,-0.099999999999909,981,2,2024-01-04 20:00:00
2829,2024,k2,SHORT,0.085112944,-1.0,-0.15723580635686826,1.6888557367748827,-1.0,-7.029999999999973,983,2,2024-01-05 16:00:00
2832,2024,k2,SHORT,0.15566076,-0.47470594731756577,-0.321022116095426,1.3941235096666702,0.1924528301886747,3.059999999999945,985,4,2024-01-08 08:00:00
2842,2024,k2,SHORT,0.11611113,-0.6690682750159213,-0.13361746477905115,1.3370380625018443,-0.1740850642927802,-1.759999999999991,987,2,2024-01-10 00:00:00
2848,2024,k2,SHORT,0.6108737,-0.6918695513661519,-0.11417400936498352,1.891555509022746,-0.5933952528379879,-5.75,991,2,2024-01-11 00:00:00
2854,2024,k2,SHORT,0.1347961,-1.0,-0.2909352973953387,1.8135545485527056,-1.0,-6.600000000000136,993,2,2024-01-12 00:00:00
2866,2024,k2,SHORT,0.23526989,-1.0,-0.06400293558856038,1.252970891591036,2.625538020086152,18.299999999999955,999,6,2024-01-16 08:00:00
2873,2024,k2,SHORT,0.5392981,-0.8320644921834036,-0.16667232960461645,1.8038728350732072,1.297963558413687,12.1099999999999,1001,5,2024-01-17 12:00:00
2893,2024,k2,SHORT,0.26457012,-1.0,-0.5578716575875461,1.2639751835929718,0.0041407867494786,0.0199999999999818,1005,2,2024-01-23 00:00:00
2898,2024,k2,SHORT,0.11987773,-1.0,-0.4395908813567652,1.3770416853538356,-1.0,-5.980000000000018,1007,2,2024-01-23 20:00:00
2905,2024,k2,SHORT,0.43305677,-0.6554116274132089,0.1266472363954213,0.872874726640577,-0.1748285994123371,-3.5699999999999363,1011,4,2024-01-25 00:00:00
2935,2024,k2,SHORT,-0.31613556,-0.9270109095430855,-0.39151790931716823,0.36913965905667967,-0.3393617021276621,-3.1900000000000546,1025,2,2024-02-01 04:00:00
2938,2024,k2,SHORT,0.026916161,-1.0,-0.2573979198130423,1.2270838857546789,-1.0,-4.819999999999936,1027,2,2024-02-01 16:00:00
2944,2024,k2,SHORT,-0.14819649,-0.9806607952444961,-0.341793582842354,0.6662597920459069,-0.3137643792145911,-7.9099999999998545,1029,3,2024-02-02 16:00:00
2948,2024,k2,SHORT,0.0045390017,-0.6243268833263772,-0.19584696420990225,1.059123850966371,-0.1870324189526188,-3.0,1031,3,2024-02-05 12:00:00
2960,2024,k2,SHORT,-0.5349819,-1.0,-0.9589272914234386,0.6394802578794337,-1.0,-1.1900000000000546,1035,2,2024-02-07 12:00:00
2966,2024,k2,SHORT,-0.39546677,-1.0,-0.6561721062293946,0.523549566342447,0.3354632587859162,1.0499999999999543,1039,4,2024-02-08 12:00:00
2972,2024,k2,SHORT,-0.22435491,-1.0,-0.9976406971368423,1.6010651030657979,-1.0,-3.5799999999999272,1041,10,2024-02-09 12:00:00
2985,2024,k2,SHORT,-0.11428855,-0.4898811575065573,-0.245911867698036,0.4884958005795802,-0.0163306966062738,-0.6399999999998727,1043,7,2024-02-13 20:00:00
3008,2024,k2,SHORT,-0.6578979,-1.0,-0.6750709021843765,0.10481107190572747,-0.2167182662538828,-0.7000000000000455,1049,2,2024-02-19 20:00:00
3016,2024,k2,SHORT,-0.49311203,-1.0,-0.6438387919136125,0.3594694039901765,-1.0,-3.550000000000182,1053,2,2024-02-21 04:00:00
