idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision
2813,2024,k3p,SHORT,0.04798494749917401,-0.7728066270027797,-0.12817127805679565,1.1278380985524965,-0.4305172080596318,-5.589999999999691,977,4,2024-01-03 00:00:00
2814,2024,k3p,SHORT,0.04284628197341851,-1.0,-0.6662834716991666,0.9828756029255572,-0.3138190727416017,-1.639999999999873,977,4,2024-01-03 04:00:00
2818,2024,k3p,SHORT,0.32506163830660867,-0.2211496122243939,0.06332109434878641,0.9598031487614883,-0.3135685210449634,-8.850000000000136,979,4,2024-01-03 20:00:00
2819,2024,k3p,SHORT,-0.011584077438107427,-0.6188654499533479,0.017990303249100312,0.8971452122495912,-0.0876271331471494,-1.2300000000000182,979,4,2024-01-04 00:00:00
2833,2024,k3p,SHORT,-0.003762562770713372,-0.7606656398440375,-0.1257338826303356,0.15955554516337564,0.1003632257181262,1.5,985,4,2024-01-08 12:00:00
2834,2024,k3p,SHORT,0.06912864869457586,-0.4514745094535353,-0.17830024852987272,0.7257781764829906,-0.4072521681985847,-8.639999999999873,985,4,2024-01-08 16:00:00
2867,2024,k3p,SHORT,-0.1727243878172998,-0.6609464895048481,-0.19130686051421872,0.19806301061069542,0.8933345447178623,10.930000000000064,999,6,2024-01-16 12:00:00
2868,2024,k3p,SHORT,-0.08126711293310449,-0.5731676624551221,-0.12277439657788644,0.27701326744626803,0.522734323762972,7.299999999999954,999,6,2024-01-16 16:00:00
2869,2024,k3p,SHORT,0.11041103348980483,-0.26397653206462,-0.156442097862697,0.29794179555319694,-0.2154585887419601,-4.920000000000073,999,6,2024-01-16 20:00:00
2870,2024,k3p,SHORT,-0.03097486268038389,-0.2900591925630834,-0.21573073598039078,-0.09860275115468176,-0.1653648158021531,-2.6200000000001182,999,6,2024-01-17 00:00:00
2874,2024,k3p,SHORT,0.01771286797886453,-1.0,-0.33359684192619143,0.5927663737166928,1.8772986454151832,10.86999999999989,1001,5,2024-01-17 16:00:00
2875,2024,k3p,SHORT,-0.03549083414362611,-0.30688525373630904,-0.14776224815301434,0.5765122770041836,-0.2010050251256313,-4.400000000000091,1001,5,2024-01-17 20:00:00
2876,2024,k3p,SHORT,0.12253688315503083,-0.3190353528424248,-0.009439024489191913,0.8808183180536784,-0.3350069209588601,-6.460000000000036,1001,5,2024-01-18 00:00:00
2888,2024,k3p,SHORT,2.3229968804809142,-1.0,-0.9279162787104592,2.062218054688874,-1.0,-0.7999999999999545,1003,5,2024-01-22 04:00:00
2889,2024,k3p,SHORT,-0.12607479980921246,-1.0,-0.20555568441704863,1.0752764503167374,-0.0022296544035907,-0.0200000000002091,1003,5,2024-01-22 08:00:00
2890,2024,k3p,SHORT,-0.14850108026445868,-1.0,-0.21723560565250483,1.058178689175393,-1.0,-8.410000000000082,1003,5,2024-01-22 12:00:00
2906,2024,k3p,SHORT,-0.22229827331428192,-0.6957123319626142,-0.24885237978166103,0.1979141853234808,-0.1286765899490398,-1.4199999999998454,1011,4,2024-01-25 04:00:00
2907,2024,k3p,SHORT,-0.24319398829632885,-1.0,-0.24447849874842612,0.29091682131359914,-0.3660863413335697,-2.230000000000018,1011,4,2024-01-25 08:00:00
2945,2024,k3p,SHORT,-0.0525724552594335,-0.4833919935985736,-0.201577316673218,0.4554873469915757,-0.1986666666666658,-4.470000000000027,1029,3,2024-02-02 20:00:00
2949,2024,k3p,SHORT,0.09404359292957845,-0.39549640598055685,-0.10061781042571094,1.1584700788948659,-0.4792731730543144,-9.740000000000007,1031,3,2024-02-05 16:00:00
2967,2024,k3p,SHORT,0.054992820953274096,-0.4124591863006357,-0.17269665171623466,0.5749539803386403,-0.9008592200925322,-13.63000000000011,1039,4,2024-02-08 16:00:00
2968,2024,k3p,SHORT,0.10299616254880867,-1.0,-0.3056387032877321,0.6453541786357501,-0.4118518518518478,-2.7799999999999727,1039,4,2024-02-08 20:00:00
2973,2024,k3p,SHORT,0.3833745643124705,-1.0,-0.23435827547715904,2.0846703354169307,0.9135959339262956,7.190000000000055,1041,10,2024-02-09 16:00:00
2974,2024,k3p,SHORT,0.15399613675632767,-0.6681876442552446,-0.05392387556344601,1.326020909149846,0.3807999999999992,4.759999999999991,1041,10,2024-02-09 20:00:00
2975,2024,k3p,SHORT,0.2821764926282108,-1.0,-0.7409042208177399,1.982561457152372,0.7096478123727409,3.6200000000001182,1041,10,2024-02-12 04:00:00
2976,2024,k3p,SHORT,0.05800205860140263,-1.0,-0.9600426921303974,1.5443627300191276,-1.0,-3.0699999999999363,1041,10,2024-02-12 08:00:00
2977,2024,k3p,SHORT,0.806278316930459,-1.0,-0.9600426921303974,2.4398596577095026,-1.0,-4.627780476063435,1041,10,2024-02-12 12:00:00
2978,2024,k3p,SHORT,0.15826984795313684,-1.0,-0.33770929531324556,1.5944253251001965,-0.1024390243902333,-0.8399999999999181,1041,10,2024-02-12 16:00:00
2979,2024,k3p,SHORT,0.14465963440833132,-1.0,-0.3124772649871682,2.1529772258884208,-0.0622710622710607,-0.5099999999999909,1041,10,2024-02-12 20:00:00
2986,2024,k3p,SHORT,0.0441489918065007,-0.2693271580156905,-0.06228536111527674,0.6985170858182845,-0.0445252594947845,-1.1599999999998545,1043,7,2024-02-14 00:00:00
2987,2024,k3p,SHORT,0.12228361921009578,-0.4659200312469936,-0.08118703032330905,0.7263767540345566,-0.0970975685044611,-1.5599999999999454,1043,7,2024-02-14 04:00:00
2988,2024,k3p,SHORT,0.0021073883342154695,-1.0,-0.27059854930451605,1.821900888544409,-0.1743231321489642,-1.4299999999998363,1043,7,2024-02-14 08:00:00
2989,2024,k3p,SHORT,0.31708496998127605,-1.0,-0.3042301164495619,2.4220743713293627,-0.5899619699095314,-3.199999999999818,1043,7,2024-02-14 12:00:00
2990,2024,k3p,SHORT,0.3758723105627829,-1.0,-0.3091943806230768,2.8692324960642352,-1.0,-5.503289218808277,1043,7,2024-02-14 16:00:00
3027,2024,k3p,SHORT,-0.2098080751525207,-1.0,-0.9988693923715439,0.6874363151119807,-0.7062712406307569,-3.0,1057,3,2024-02-23 00:00:00
3045,2024,k3p,SHORT,-0.1690690804498547,-1.0,-0.8890955862423162,2.1381212715234765,-1.0,-2.6599999999998545,1065,5,2024-02-28 04:00:00
3046,2024,k3p,SHORT,-0.1632771905277135,-1.0,-0.8890955862423162,1.841999018199589,-1.0,-2.789999999999964,1065,5,2024-02-28 08:00:00
3047,2024,k3p,SHORT,-0.06814543498053846,-0.8639299094525758,-0.30641806849983033,0.7627569991998189,-1.0,-8.789999999999964,1065,5,2024-02-28 12:00:00
3100,2024,k3p,SHORT,0.08840363928780667,-0.5884626106396587,0.020089299530032863,1.1581399400323549,0.0958895762102436,1.900000000000091,1079,5,2024-03-12 16:00:00
3101,2024,k3p,SHORT,0.09858916609654594,-0.6125494540672091,0.036608040620857464,1.075755405283709,-0.1330630298562518,-3.6100000000001273,1079,5,2024-03-12 20:00:00
3102,2024,k3p,SHORT,-0.03881508843498919,-0.4849394414131911,0.02501289620038751,0.7519322357309557,-0.0137396433299756,-0.2100000000000363,1079,5,2024-03-13 00:00:00
3112,2024,k3p,SHORT,0.04963862816506877,-0.9530418040835085,-0.06802944938627627,1.9197488945105126,0.0266685451655926,0.2600000000002183,1081,4,2024-03-14 16:00:00
3113,2024,k3p,SHORT,0.013543592976214526,-0.7969906803882881,0.04735393808756616,0.9171761257067951,-0.1860524845956425,-1.9899999999997815,1081,4,2024-03-14 20:00:00
3120,2024,k3p,SHORT,0.026309973706787136,-0.8717750973836087,-0.18122506332828556,1.1541003467567688,-0.24430240410192,-2.5899999999996908,1083,5,2024-03-18 04:00:00
3121,2024,k3p,SHORT,-0.007429329858241268,-0.8382209675185818,-0.017179808286215768,0.8981249387078485,-0.6053344551383898,-7.860000000000127,1083,5,2024-03-18 08:00:00
3129,2024,k3p,SHORT,0.0324187531735885,-1.0,-0.11053232803425743,2.2164424041969557,-0.6853427946854387,-5.659999999999855,1085,3,2024-03-19 16:00:00
3143,2024,k3p,SHORT,-0.16583594093834586,-0.6515959564883919,-0.18409919556497434,0.32413153424417457,0.1869161073311218,3.369999999999891,1089,6,2024-03-22 00:00:00
3144,2024,k3p,SHORT,-0.00863360609765125,-0.7154723223570845,-0.1677653303496582,0.5933526640219541,-0.2651565136062421,-4.670000000000073,1089,6,2024-03-22 04:00:00
3145,2024,k3p,SHORT,-0.03915647917493419,-0.9906434905785468,-0.11935638302094403,0.09128771137654203,-0.3205968287966074,-3.890000000000328,1089,6,2024-03-22 08:00:00
3146,2024,k3p,SHORT,-0.023157961701285458,-0.6771266224438223,-0.17571015376641766,0.6055754127370911,-0.7288051409103199,-11.480000000000018,1089,6,2024-03-22 12:00:00
3161,2024,k3p,SHORT,-0.24792539709426617,-1.0,-0.3536889830822225,0.4875738731196282,-1.0,-5.839159153897981,1097,3,2024-03-27 04:00:00
3177,2024,k3p,SHORT,-0.24348741334394214,-1.0,-0.20031365260473827,0.6474931882278305,0.0881502890173585,0.6100000000001273,1101,3,2024-04-02 00:00:00
3194,2024,k3p,SHORT,-0.23514779753338128,-1.0,-0.24811828830873095,0.3702562992056296,-1.0,-9.636152535686506,1105,3,2024-04-04 20:00:00
3218,2024,k3p,SHORT,-0.07245783500831554,-0.4661510860703638,-0.21547674152840365,0.47805137220671046,-0.5147439213657452,-9.949999999999818,1115,4,2024-04-11 00:00:00
3219,2024,k3p,SHORT,-0.022025234189375558,-1.0,-0.23434795263460803,0.8827926236444187,-1.0,-10.0,1115,4,2024-04-11 04:00:00
3230,2024,k3p,SHORT,-0.10486736797639343,-0.6016267468203567,-0.12425078944915309,0.8573941084676341,-0.1149454533832327,-4.140000000000327,1119,5,2024-04-15 04:00:00
3231,2024,k3p,SHORT,-0.14981113675947327,-0.9775543516641463,-0.20560165159054158,0.32725964211568254,-0.0485498108448926,-0.7699999999999818,1119,5,2024-04-15 08:00:00
3232,2024,k3p,SHORT,-0.14965693761063636,-0.9876465643788672,-0.1863764597790656,0.38585307143691955,-0.442056792018429,-5.760000000000218,1119,5,2024-04-15 12:00:00
3248,2024,k3p,SHORT,-0.09686865821836166,-1.0,-0.2094642592892202,0.18196698591065333,-0.4457717600470701,-5.450000000000273,1127,3,2024-04-18 04:00:00
3261,2024,k3p,SHORT,-0.08736980951808124,-0.35645452765341257,-0.18951614968079672,-0.10614766615755097,1.0410406769733864,29.25,1133,10,2024-04-22 12:00:00
3262,2024,k3p,SHORT,-0.04945641901454626,-0.32934529222967196,-0.1911724021076249,0.33730351883036863,0.1465021458727438,6.489999999999782,1133,10,2024-04-22 16:00:00
3263,2024,k3p,SHORT,-0.08163397182607829,-0.32934529222967196,-0.2183117024588843,-0.04197834528283406,-0.0109212174646857,-0.4600000000000364,1133,10,2024-04-22 20:00:00
3264,2024,k3p,SHORT,-0.005134934859634396,-0.46047436188985463,-0.07468978334409601,0.3210021646615357,-0.0839130580594769,-2.730000000000018,1133,10,2024-04-23 00:00:00
3265,2024,k3p,SHORT,-0.007330715216273136,-0.8668179401044165,-0.2761353536421839,0.8565940123733284,0.1523046659700838,2.269999999999982,1133,10,2024-04-23 04:00:00
3266,2024,k3p,SHORT,-0.026956392128921584,-0.3516652727386325,-0.11647177214719007,0.09641782287102078,-0.7562538350911495,-24.820000000000164,1133,10,2024-04-23 08:00:00
3267,2024,k3p,SHORT,-0.009172390862954481,-0.383222054449396,-0.14867433981170058,0.2258895787071693,-0.8674157303370882,-27.019999999999985,1133,10,2024-04-23 12:00:00
3268,2024,k3p,SHORT,-0.025899751028734735,-1.0,-0.16153879115074815,1.015999980391398,-1.0,-13.749917068952072,1133,10,2024-04-23 16:00:00
3278,2024,k3p,SHORT,-0.23163034656198309,-1.0,-0.9279222864834625,0.21127620811895173,-1.0,-6.970930094793857,1139,3,2024-04-25 08:00:00
