idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision,source,score,prior_q50,prior_q75,w
4304,2025,k3p,LONG,0.1312352805484087,-0.520273609751872,0.0216316799686071,0.9154672502165372,0.8237431203034897,17.45999999999958,1454,10,2025-01-02 12:00:00,q50,0.0216316799686071,-0.2740857038267423,-0.17756805490013175,3
4305,2025,k3p,LONG,0.1486738233206626,-0.5365775622189188,0.0132210882033489,1.03134056792376,0.4469753467830001,10.559999999999944,1454,10,2025-01-02 16:00:00,q50,0.0132210882033489,-0.2740857038267423,-0.17756805490013175,3
4306,2025,k3p,LONG,-0.0565025085937605,-0.4502503945001892,0.029792035907912,0.577692470404667,-0.1054779151702568,-3.090000000000145,1454,10,2025-01-02 20:00:00,q50,0.029792035907912,-0.2740857038267423,-0.17756805490013175,3
4307,2025,k3p,LONG,0.1124687124443615,-0.7566032420347029,-0.0622782276468815,0.4355334075207644,-0.1818266252155373,-4.440000000000055,1454,10,2025-01-03 00:00:00,q50,-0.0622782276468815,-0.2740857038267423,-0.17756805490013175,3
4308,2025,k3p,LONG,0.1234861533148479,-0.6976992942179455,-0.1705288039313011,0.6838834216742461,-0.33571089717286,-5.910000000000309,1454,10,2025-01-03 04:00:00,q50,-0.1705288039313011,-0.2740857038267423,-0.17756805490013175,3
4309,2025,k3p,LONG,-0.0097422726322281,-1.0,-0.5383892280679352,0.6739147611766153,-0.5582852871154709,-5.0600000000004,1454,10,2025-01-03 08:00:00,q50,-0.5383892280679352,-0.2740857038267423,-0.17756805490013175,0
4310,2025,k1,SHORT,-0.0179823345064383,-1.0,-0.3045545711169239,1.2944549322375811,1.4782237403928171,17.309999999999945,1455,9,2025-01-03 12:00:00,q50,-0.3045545711169239,-0.2999698855817012,-0.1470111604626776,0
4311,2025,k2,SHORT,0.15238625,-1.0,-0.4978468923992786,2.5851898500234207,1.2961904761904883,13.610000000000127,1455,9,2025-01-03 16:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
4312,2025,k3p,SHORT,-0.1267693432734414,-0.7443596380742893,-0.1518285587741482,0.3832436998814362,0.3213264722698922,5.620000000000346,1455,9,2025-01-03 20:00:00,q50,-0.1518285587741482,-0.2177506421320177,-0.1441166082294997,1
4313,2025,k3p,SHORT,-0.0537091895753531,-1.0,-0.4144152588152641,0.6869532375480455,0.5867431271724695,5.059999999999945,1455,9,2025-01-06 04:00:00,q50,-0.4144152588152641,-0.2177506421320177,-0.1441166082294997,0
4314,2025,k3p,SHORT,-0.2012347526400369,-1.0,-0.2693594922527117,0.4018153035946909,-1.0,-13.489999999999782,1455,9,2025-01-06 08:00:00,q50,-0.2693594922527117,-0.2177506421320177,-0.1441166082294997,0
4315,2025,k3p,SHORT,-0.1822299309080924,-1.0,-0.2514208040415374,0.1846113052108791,-1.0,-12.670000000000073,1455,9,2025-01-06 12:00:00,q50,-0.2514208040415374,-0.2177506421320177,-0.1441166082294997,0
4316,2025,k3p,SHORT,-0.2306596903281996,-0.7985996756001644,-0.2253743308613269,0.2507969452083787,-1.0,-16.596109505840104,1455,9,2025-01-06 16:00:00,q50,-0.2253743308613269,-0.2177506421320177,-0.1441166082294997,0
