stage,direction,year,alpha,raw_coverage,cal_coverage,correction
k1,LONG,2025,0.1,0.24537037037037038,0.24537037037037038,0.0
k1,LONG,2025,0.5,0.4212962962962963,0.46296296296296297,0.05818119086830198
k1,LONG,2025,0.9,0.8055555555555556,0.9027777777777778,0.873049638823784
k1,LONG,2026,0.1,0.23333333333333334,0.23333333333333334,0.0
k1,LONG,2026,0.5,0.4666666666666667,0.54,0.11245308954118935
k1,LONG,2026,0.9,0.88,0.9266666666666666,0.7989552564658309
k1,SHORT,2025,0.1,0.28837209302325584,0.28837209302325584,0.0
k1,SHORT,2025,0.5,0.4930232558139535,0.4604651162790698,-0.0009488162394364341
k1,SHORT,2025,0.9,0.8976744186046511,0.8930232558139535,-0.07304702758185476
k1,SHORT,2026,0.1,0.3287671232876712,0.3287671232876712,0.0
k1,SHORT,2026,0.5,0.5136986301369864,0.5136986301369864,0.006283639747332481
k1,SHORT,2026,0.9,0.8561643835616438,0.8493150684931506,-0.013011159117280874
k2,LONG,2025,0.1,0.26011560693641617,0.26011560693641617,0.0
k2,LONG,2025,0.5,0.47398843930635837,0.48554913294797686,0.013053254793810198
k2,LONG,2025,0.9,0.8728323699421965,0.8901734104046243,0.3543584733869113
k2,LONG,2026,0.1,0.22018348623853212,0.22018348623853212,0.0
k2,LONG,2026,0.5,0.44036697247706424,0.45871559633027525,0.0509477153303724
k2,LONG,2026,0.9,0.8440366972477065,0.8899082568807339,0.47652719712298935
k2,SHORT,2025,0.1,0.2905405405405405,0.2905405405405405,0.0
k2,SHORT,2025,0.5,0.4797297297297297,0.44594594594594594,-0.0469542628567593
k2,SHORT,2025,0.9,0.8851351351351351,0.9121621621621622,0.08469440239993077
k2,SHORT,2026,0.1,0.308411214953271,0.308411214953271,0.0
k2,SHORT,2026,0.5,0.5046728971962616,0.5046728971962616,0.01354259579988537
k2,SHORT,2026,0.9,0.7663551401869159,0.7850467289719626,0.03125788700506491
k3p,LONG,2025,0.1,0.18672199170124482,0.043568464730290454,-0.04807553643649898
k3p,LONG,2025,0.5,0.4004149377593361,0.4045643153526971,0.00648716100675184
k3p,LONG,2025,0.9,0.7863070539419087,0.9004149377593361,1.1042083016510542
k3p,LONG,2026,0.1,0.19047619047619047,0.19047619047619047,0.0
k3p,LONG,2026,0.5,0.4199134199134199,0.5714285714285714,0.17444489822656334
k3p,LONG,2026,0.9,0.9004329004329005,0.9567099567099567,1.075600240500677
k3p,SHORT,2025,0.1,0.3134920634920635,0.3134920634920635,0.0
k3p,SHORT,2025,0.5,0.6190476190476191,0.4801587301587302,-0.0387525395303631
k3p,SHORT,2025,0.9,0.9087301587301587,0.9404761904761905,0.24572105631670405
k3p,SHORT,2026,0.1,0.22784810126582278,0.22784810126582278,0.0
k3p,SHORT,2026,0.5,0.4177215189873418,0.3670886075949367,-0.02032511270266224
k3p,SHORT,2026,0.9,0.8185654008438819,0.810126582278481,-0.06386634741057379
