stage,direction,phase,family,preprocess,recency,score,lift,params
k2,LONG,family_preproc,lgb,raw,expanding,0.11074383479711725,0.5776670577260087,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,LONG,family_preproc,xgb,raw,expanding,0.12293304294991428,0.16552667210853397,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,family_preproc,cat,raw,expanding,0.07666651492152743,0.21387846419436013,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,LONG,family_preproc,lgb,eng,expanding,0.020595056621663155,0.011128267680865798,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,LONG,family_preproc,xgb,eng,expanding,0.08620196173382,0.03635746380808022,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,family_preproc,cat,eng,expanding,0.03543824745797353,-0.14411048235815763,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,LONG,family_preproc,lgb,eng_rank,expanding,0.02097198790639789,-0.025688690384733086,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,LONG,family_preproc,xgb,eng_rank,expanding,0.07356863370443753,0.014462195617354262,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,family_preproc,cat,eng_rank,expanding,0.06323191173309395,0.0883554548117901,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,LONG,hparam,xgb,raw,expanding,0.12296281418562793,0.36652482861641295,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k2,LONG,hparam,xgb,raw,expanding,0.15890336887384002,-0.0016560122279194803,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,recency,xgb,raw,expanding,0.15890336887384002,-0.0016560122279194803,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,recency,xgb,raw,roll730,0.15890336887384002,-0.0016560122279194803,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,recency,xgb,raw,exp365,0.14005684864112383,0.173557260918979,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,recency,xgb,raw,exp730,0.14857273562681514,0.25447974026507314,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,prune,xgb,top8,expanding,0.16584932862557444,0.5293856938462468,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,prune,xgb,top16,expanding,0.14073045563034536,0.2692963530644463,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,prune,xgb,top24,expanding,0.15800737355189745,-0.02153858356600529,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,prune,xgb,top38,expanding,0.15498397681261966,0.05619983833681063,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
