stage,direction,phase,family,preprocess,recency,score,lift,params
k3p,LONG,family_preproc,lgb,raw,expanding,0.09969030423829588,-0.07720228015495467,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,family_preproc,xgb,raw,expanding,0.11774073194914399,0.021435233699393867,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,LONG,family_preproc,cat,raw,expanding,0.08655560666031088,-0.06978888009370679,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,LONG,family_preproc,lgb,eng,expanding,0.15699812548433062,0.12226276140538432,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,family_preproc,xgb,eng,expanding,0.14314001432444778,0.08957903644999478,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,LONG,family_preproc,cat,eng,expanding,0.14653830527426406,0.09897422861685498,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,LONG,family_preproc,lgb,eng_rank,expanding,0.19049638966509452,0.14464909042793228,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,family_preproc,xgb,eng_rank,expanding,0.13729513384389197,0.10512569975573917,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,LONG,family_preproc,cat,eng_rank,expanding,0.12037392619335557,-0.0528199902384249,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,LONG,hparam,lgb,eng_rank,expanding,0.17412701653692395,0.14212151162957282,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,hparam,lgb,eng_rank,expanding,0.16199613632616996,0.06812611304779939,"{""n_estimators"": 200, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.03, ""min_child_samples"": 80, ""reg_lambda"": 20, ""reg_alpha"": 1}"
k3p,LONG,recency,lgb,eng_rank,expanding,0.17412701653692395,0.14212151162957282,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,recency,lgb,eng_rank,roll730,0.17412701653692395,0.14212151162957282,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,recency,lgb,eng_rank,exp365,0.14688968916356887,0.09242759549645443,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,recency,lgb,eng_rank,exp730,0.17770694962676117,0.15691308983831231,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top8,exp730,0.13250135315442227,-0.03354049612223965,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top16,exp730,0.1919784588984422,0.1346217510337635,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top24,exp730,0.1830254117038224,0.16124781623920642,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top46,exp730,0.17770694962676117,0.15691308983831231,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
