stage,direction,phase,family,preprocess,recency,score,lift,params
k3p,SHORT,family_preproc,lgb,raw,expanding,0.10371227762468342,0.10220217789276653,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,SHORT,family_preproc,xgb,raw,expanding,0.08840489843397613,-0.00929547738024053,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,SHORT,family_preproc,cat,raw,expanding,0.13122363703494921,0.06969599938377508,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,family_preproc,lgb,eng,expanding,0.13715282228961873,-0.008986266576008067,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,SHORT,family_preproc,xgb,eng,expanding,0.14227185244928825,0.0237045138587273,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,SHORT,family_preproc,cat,eng,expanding,0.13449111920845824,0.042199619227187075,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,family_preproc,lgb,eng_rank,expanding,0.08016042910696651,0.08454425918691189,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,SHORT,family_preproc,xgb,eng_rank,expanding,0.08283208259695805,-0.13290161238713963,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,SHORT,family_preproc,cat,eng_rank,expanding,0.1513306662575606,-0.060662432513534204,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,hparam,cat,eng_rank,expanding,0.14004815755046138,0.04399522483687902,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,hparam,cat,eng_rank,expanding,0.13802516167364,0.08853003890417108,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k3p,SHORT,recency,cat,eng_rank,expanding,0.14004815755046138,0.04399522483687902,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,recency,cat,eng_rank,roll730,0.14004815755046138,0.04399522483687902,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,recency,cat,eng_rank,exp365,0.117396592189669,-0.052434863991628396,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,recency,cat,eng_rank,exp730,0.12743650645205443,-0.03381468367116072,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,prune,cat,top8,expanding,0.12954957848894055,-0.13054272530023606,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,prune,cat,top16,expanding,0.10526271352126765,-0.01776127116633759,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,prune,cat,top24,expanding,0.12529052136189484,0.11559184938582537,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,prune,cat,top46,expanding,0.12623102032036881,0.07493524160204953,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
