variant,scope,events,units,pnl,R,pf,wr,ddR
BASE,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
BASE,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
BASE,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
BASE,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
BASE,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
K1_SEV_Q95,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
K1_SEV_Q95,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
K1_SEV_Q95,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
K1_SEV_Q95,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
K1_SEV_Q95,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
K1_SURV_Q25,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
K1_SURV_Q25,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
K1_SURV_Q25,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
K1_SURV_Q25,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
K1_SURV_Q25,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
K2_PERSIST_Q25,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
K2_PERSIST_Q25,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
K2_PERSIST_Q25,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
K2_PERSIST_Q25,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
K2_PERSIST_Q25,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
SEV_PLUS_K2,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
SEV_PLUS_K2,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
SEV_PLUS_K2,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
SEV_PLUS_K2,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
SEV_PLUS_K2,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
K1SURV_PLUS_K2,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
K1SURV_PLUS_K2,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
K1SURV_PLUS_K2,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
K1SURV_PLUS_K2,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
K1SURV_PLUS_K2,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
ALL_THREE,ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
ALL_THREE,LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
ALL_THREE,SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
ALL_THREE,2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
ALL_THREE,2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
