idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop,source,w
4304,2025,k3p,LONG,0.0548885849740303,0.2575804796778502,0.1885536666573708,0.8237431203034897,17.45999999999958,1454,10,2025-01-02 12:00:00,-0.0548885849740303,mu_nonstop,3
4305,2025,k3p,LONG,0.0628425473169007,0.2667206393132054,0.1871166875998705,0.4469753467830001,10.559999999999944,1454,10,2025-01-02 16:00:00,-0.0628425473169007,mu_nonstop,3
4306,2025,k3p,LONG,0.0630178199156842,0.2604689963172102,0.181036988097989,-0.1054779151702568,-3.090000000000145,1454,10,2025-01-02 20:00:00,-0.0630178199156842,mu_nonstop,3
4307,2025,k3p,LONG,0.0601158104936648,0.246368800999644,0.1714423303535331,-0.1818266252155373,-4.440000000000055,1454,10,2025-01-03 00:00:00,-0.0601158104936648,mu_nonstop,3
4308,2025,k3p,LONG,0.0838015979385851,0.2629948635685375,0.1571538758132687,-0.33571089717286,-5.910000000000309,1454,10,2025-01-03 04:00:00,-0.0838015979385851,mu_nonstop,3
4309,2025,k3p,LONG,0.3968313344382348,0.2784689510634806,-0.2288675888248907,-0.5582852871154709,-5.0600000000004,1454,10,2025-01-03 08:00:00,-0.3968313344382348,mu_nonstop,3
4310,2025,k1,SHORT,0.13565062,0.1719066589825597,0.0129367917066739,1.4782237403928171,17.309999999999945,1455,9,2025-01-03 12:00:00,-0.13565062,mu_nonstop,0
4311,2025,k2,SHORT,0.3276614807569917,0.3336677452746709,-0.1033238029798661,1.2961904761904883,13.610000000000127,1455,9,2025-01-03 16:00:00,-0.3276614807569917,EV,0
4312,2025,k3p,SHORT,0.10520376,0.1268151372094843,0.0082699468532114,0.3213264722698922,5.620000000000346,1455,9,2025-01-03 20:00:00,-0.10520376,neg_pstop,1
4313,2025,k3p,SHORT,0.38674435,0.2792976565113783,-0.2154634926857316,0.5867431271724695,5.059999999999945,1455,9,2025-01-06 04:00:00,-0.38674435,neg_pstop,0
4314,2025,k3p,SHORT,0.2146802,0.0855626075432735,-0.147486184571132,-1.0,-13.489999999999782,1455,9,2025-01-06 08:00:00,-0.2146802,neg_pstop,0
4315,2025,k3p,SHORT,0.19780213,0.0725563615165538,-0.139597567483444,-1.0,-12.670000000000073,1455,9,2025-01-06 12:00:00,-0.19780213,neg_pstop,0
4316,2025,k3p,SHORT,0.15337516,0.0623192375532343,-0.1006141484522795,-1.0,-16.596109505840104,1455,9,2025-01-06 16:00:00,-0.15337516,neg_pstop,0
4317,2025,k3p,SHORT,0.3188088,0.0342776236900173,-0.2954591782021299,0.0369496855346117,0.4700000000002546,1455,9,2025-01-06 20:00:00,-0.3188088,neg_pstop,0
4318,2025,k1,LONG,0.15307623,0.3806093866079365,0.1692709045605696,0.5372093023255898,11.550000000000182,1456,6,2025-01-07 00:00:00,-0.15307623,mu_nonstop,0
4319,2025,k2,LONG,0.447094836850592,0.5899634328675287,-0.1209010087487862,1.2174820251353746,8.829999999999927,1456,6,2025-01-07 04:00:00,-0.447094836850592,mu_nonstop,3
4320,2025,k3p,LONG,0.337089167290713,0.2987734983983524,-0.1390289786759944,0.2918118466898871,3.349999999999909,1456,6,2025-01-07 08:00:00,-0.337089167290713,mu_nonstop,3
