idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop
2813,2024,k3p,SHORT,0.036827173,0.0774879197106409,0.0378070876161708,-0.4305172080596318,-5.589999999999691,977,4,2024-01-03 00:00:00,-0.036827173
2814,2024,k3p,SHORT,0.23102336,0.5724208939345055,0.209154932942725,-0.3138190727416017,-1.639999999999873,977,4,2024-01-03 04:00:00,-0.23102336
2818,2024,k3p,SHORT,0.040140614,0.1274634433226094,0.0822063666432173,-0.3135685210449634,-8.850000000000136,979,4,2024-01-03 20:00:00,-0.040140614
2819,2024,k3p,SHORT,0.10761613,0.1010558076774225,-0.0174355534462453,-0.0876271331471494,-1.2300000000000182,979,4,2024-01-04 00:00:00,-0.10761613
2833,2024,k3p,SHORT,0.052949555,0.2047043612821486,0.1409158027079756,0.1003632257181262,1.5,985,4,2024-01-08 12:00:00,-0.052949555
2834,2024,k3p,SHORT,0.046685375,0.0990930921871681,0.0477815165032947,-0.4072521681985847,-8.639999999999873,985,4,2024-01-08 16:00:00,-0.046685375
2867,2024,k3p,SHORT,0.08872691,0.0156417340767547,-0.0744730161255026,0.8933345447178623,10.930000000000064,999,6,2024-01-16 12:00:00,-0.08872691
2868,2024,k3p,SHORT,0.10535921,0.1302796435035247,0.0111942733584,0.522734323762972,7.299999999999954,999,6,2024-01-16 16:00:00,-0.10535921
2869,2024,k3p,SHORT,0.10111922,0.1567495045866543,0.0397798966504058,-0.2154585887419601,-4.920000000000073,999,6,2024-01-16 20:00:00,-0.10111922
2870,2024,k3p,SHORT,0.039987322,0.162830243505593,0.1163317755868359,-0.1653648158021531,-2.6200000000001182,999,6,2024-01-17 00:00:00,-0.039987322
2874,2024,k3p,SHORT,0.40503275,0.5115682357216319,-0.100666409567574,1.8772986454151832,10.86999999999989,1001,5,2024-01-17 16:00:00,-0.40503275
2875,2024,k3p,SHORT,0.09921026,0.0874923752430166,-0.0203980285525531,-0.2010050251256313,-4.400000000000091,1001,5,2024-01-17 20:00:00,-0.09921026
