stage,direction,year,source,spearman
k1,LONG,2025,EV,-0.026425663238069143
k1,LONG,2025,mu_nonstop,-0.09812807100979658
k1,LONG,2025,neg_pstop,0.09013950218744203
k1,LONG,2026,EV,-0.015175442372439837
k1,LONG,2026,mu_nonstop,-0.13882686387165646
k1,LONG,2026,neg_pstop,0.18425304666033387
k1,SHORT,2025,EV,0.09678620323685909
k1,SHORT,2025,mu_nonstop,-0.23340284358749855
k1,SHORT,2025,neg_pstop,0.3182660556360722
k1,SHORT,2026,EV,-0.10615035358086387
k1,SHORT,2026,mu_nonstop,-0.2044471942774308
k1,SHORT,2026,neg_pstop,0.06169333784538348
k2,LONG,2025,EV,0.2772866348264485
k2,LONG,2025,mu_nonstop,-0.2500174024368263
k2,LONG,2025,neg_pstop,0.2920949374688644
k2,LONG,2026,EV,0.13673757944270357
k2,LONG,2026,mu_nonstop,-0.34305434526531475
k2,LONG,2026,neg_pstop,0.26908979868402394
k2,SHORT,2025,EV,0.13856911606068592
k2,SHORT,2025,mu_nonstop,-0.2954854729037897
k2,SHORT,2025,neg_pstop,0.27196649755027497
k2,SHORT,2026,EV,0.06808967731075463
k2,SHORT,2026,mu_nonstop,-0.19678817216668756
k2,SHORT,2026,neg_pstop,0.18621158446991048
k3p,LONG,2025,EV,0.18486465492599666
k3p,LONG,2025,mu_nonstop,-0.15616445017763111
k3p,LONG,2025,neg_pstop,0.22208418272285585
k3p,LONG,2026,EV,0.07323277657854546
k3p,LONG,2026,mu_nonstop,-0.14859678315161262
k3p,LONG,2026,neg_pstop,0.21274570100041038
k3p,SHORT,2025,EV,0.05909954733924978
k3p,SHORT,2025,mu_nonstop,-0.17671119695331586
k3p,SHORT,2025,neg_pstop,0.20767371976671328
k3p,SHORT,2026,EV,0.18382351443701314
k3p,SHORT,2026,mu_nonstop,-0.21694535782918886
k3p,SHORT,2026,neg_pstop,0.23910905915281855
