phase,family,preprocess,recency,score,params
family,lgb,raw,expanding,0.7531713354719745,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,raw,expanding,0.6436857460405668,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,raw,expanding,0.7842468867614742,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
family,lgb,eng,expanding,0.7423627775392154,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,eng,expanding,0.6487218671853292,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,eng,expanding,0.7664136502563843,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
family,lgb,eng_rank,expanding,0.7429860567329308,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
family,xgb,eng_rank,expanding,0.6465684912475687,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
family,cat,eng_rank,expanding,0.7671247063578266,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
hparam,cat,raw,expanding,0.7771375887241405,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
hparam,cat,raw,expanding,0.7829965394427745,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
recency,cat,raw,expanding,0.7829965394427745,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
recency,cat,raw,roll730,0.7829965394427745,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
recency,cat,raw,exp365,0.7719795902902322,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
recency,cat,raw,exp730,0.7758304074364091,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
prune,cat,top16,roll730,0.7831038924953901,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
prune,cat,top38,roll730,0.7817878703680314,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
